ID	Waveform	PeriodMean	PeriodStdDev	PhaseMean	PhaseStdDev	NadirMean	NadirStdDev	Mean	Std_Dev	Max	Min	Max_Amp	FC	IQR_FC	NumBoots	TauMean	TauStdDev	empP	GammaP	GammaBH
Rbms1	cosine	24.0	0.0	8.0	-0.0	16.0	-0.0	2.449860135010508	0.4286108118017887	3.19306526068	1.7035726186200002	1.48949264205	1.87433469273	1.2453406162799998	25	1.8685511211	0.0	0.000999000999000999	1.905195199477652e-06	0.017445329018369836
Tars	cosine	24.0	0.0	20.0	5.69182430834e-08	12.0	-0.0	3.994082953687711	0.3904464527892289	4.4527624245699995	3.3653520987	1.08741032587	1.32311933313	1.21470617999	25	1.83633451262	0.08724298818839998	0.000999000999000999	2.711428196824656e-06	0.017445329018369836
Insig2	cosine	24.0	0.0	0.0	-0.0	12.0	-0.0	4.386887796090951	0.7489398362937992	5.36622541482	2.96820877033	2.39801664449	1.80790026243	1.2637252856799999	25	1.78268087412	0.158949123616	0.000999000999000999	4.870779903419059e-06	0.018388613565703628
Rorc	cosine	24.0	0.0	19.865036871199997	0.755848054419	4.0	-0.0	1.2429977308445097	0.5089505045768088	2.01305649937	0.57709416457	1.4359623348	3.48826348101	2.5489562509400003	25	1.7442586314300002	0.19807122952999998	0.000999000999000999	7.397766521211097e-06	0.018388613565703628
Abhd6	cosine	24.0	0.0	12.0	-0.0	4.0	-0.0	2.6386260177452057	0.3110601402037705	3.29932034465	2.17223686527	1.12708347938	1.51885846217	1.1970489633499999	25	1.73972539615	0.16605657953	0.000999000999000999	7.770986328370605e-06	0.018388613565703628
Fkbp5	cosine	24.0	0.0	12.0	-0.0	4.0	-0.0	0.1527244774556751	0.4412778883178912	0.9790504471029999	-0.462646926678	1.4416973737799998	-2.1161935606799998	-2.01127962205	25	1.7209628072599998	0.215559528131	0.000999000999000999	9.524832688071277e-06	0.018388613565703628
Per3	cosine	24.0	0.0	8.0	-0.0	0.0	-0.0	-0.9801602353108336	0.409971201200962	-0.183141018339	-1.4966574777200001	1.31351645938	0.122366687812	0.46699604085199997	25	1.70395630382	0.18185777606400003	0.000999000999000999	1.1450887447481589e-05	0.018388613565703628
Dbp	cosine	24.0	0.0	8.0	-0.0	0.0	-0.0	1.8971739943778276	2.037547267315715	4.964727794080001	-1.21412035832	6.1788481524000005	-4.08915620273	11.4768991768	25	1.6995257772499999	0.23456060879700003	0.000999000999000999	1.2013117048644982e-05	0.018388613565703628
Hacl1	cosine	24.0	0.0	20.0	5.69182430834e-08	12.0	-0.0	6.175934330873612	0.3966115269423837	6.73209551238	5.5775368798	1.15455863258	1.20700152369	1.13648535179	25	1.69321743433	0.179735599764	0.000999000999000999	1.2861168953320846e-05	0.018388613565703628
Chka	cosine	24.0	0.0	0.0	-0.0	8.0	-0.0	1.067663730126184	1.1306252828938448	2.73250538352	-0.658420031042	3.3909254145700003	-4.1500945516500005	12.6002580071	25	1.6816005221099999	0.21693382579700002	0.000999000999000999	1.458107016918396e-05	0.01876292109370592
Vcam1	cosine	24.0	0.0	12.0	-0.0	4.0	-0.0	0.7783050065351705	0.3195142301461591	1.3639650123299998	0.353081666312	1.0108833460200002	3.86302983833	2.02815902234	25	1.6334201613600001	0.26363463043900004	0.000999000999000999	2.45026310347534e-05	0.028398070159201014
Jade1	cosine	24.0	0.0	8.0	-0.0	16.0	-0.0	0.7635804321752571	0.3681344837126545	1.4487932212399999	0.265534730048	1.18325849119	5.4561345741	2.16673408595	25	1.61538992894	0.229333379667	0.000999000999000999	2.97366736646926e-05	0.028398070159201014
Mthfr	cosine	24.0	0.0	0.0	-0.0	8.0	-0.0	-0.40372906746170695	0.2524506681610856	-0.000140113388709	-0.76486372498	0.764723611592	0.00018318738898599998	0.20268658098499998	25	1.61444988648	0.209373421802	0.000999000999000999	3.003805052440712e-05	0.028398070159201014
Thrsp	cosine	24.0	0.0	16.0	-0.0	4.0	-0.0	4.852364685359002	0.55211421503956	5.82079496991	4.18108258175	1.63971238817	1.3921741214399999	1.20718080559	25	1.6118233152	0.268998185219	0.000999000999000999	3.0896252893131346e-05	0.028398070159201014
Bnip3	cosine	24.0	0.0	12.2751873536	1.0561309426999999	0.0	-0.0	6.10904429577609	0.3674989683538202	6.87908446452	5.58197295347	1.29711151105	1.23237509781	1.0941681109899999	25	1.5779878649799999	0.275682189126	0.000999000999000999	4.438110916898045e-05	0.038073074185762695
Nampt	cosine	24.0	0.0	12.0	-0.0	3.57941354806	1.27605004074	1.8263067165539968	0.6468707007568371	2.8764832689	0.9401422421179999	1.93634102678	3.0596255970899997	2.2839449591	25	1.54307867884	0.255629968895	0.000999000999000999	6.439668005240043e-05	0.05179102993214305
Fbxo21	cosine	24.0	0.0	8.0	-0.0	16.134963128800003	0.755848054419	2.190862525689037	0.6338159465421096	3.1949461223	1.02230435592	2.17264176638	3.1252396644700005	1.4725518944999998	25	1.53393381007	0.235748561058	0.000999000999000999	7.097502649726543e-05	0.05372282147949217
Sorbs1	cosine	24.0	0.0	8.0	-0.0	16.0	-0.0	1.1780906009111949	0.3064441434499133	1.8725826754400003	0.724085291896	1.14849738355	2.5861354959200002	1.40107313981	25	1.52180916558	0.28393254192899997	0.000999000999000999	8.073106253411222e-05	0.05372282147949217
Mad2l2	cosine	24.0	0.0	0.134963128829	0.755848054419	12.0	-0.0	1.2343926096690232	0.4546961996950501	1.88380018628	0.455447373226	1.42835281305	4.13615336704	1.7679169262099999	25	1.51994667746	0.261693971353	0.000999000999000999	8.234280921000599e-05	0.05372282147949217
Slc17a3	cosine	24.0	0.0	19.865036871199997	0.755848054419	8.13496312883	0.755848054419	4.142941083806268	0.3944367886757827	4.66907568741	3.5457881021900004	1.1232875852200002	1.3167948994299998	1.1815452768299999	25	1.51863344551	0.256825337935	0.000999000999000999	8.349832371696017e-05	0.05372282147949217
Sdr9c7	cosine	24.0	0.0	20.2751873536	1.0561309426999999	11.7248126464	1.0561309426999999	1.979724031612467	0.33186429611250423	2.38620163	1.2429662103899999	1.14323541961	1.91976387616	1.2823934579	25	1.5087791917500002	0.22339434505800002	0.000999000999000999	9.269583699514132e-05	0.054263234692784795
Sult1c2	cosine	24.0	0.0	8.0	-0.0	0.0	-0.0	0.7329068656517447	0.3822031859374471	1.4872606421899999	0.0862482083842	1.40101243381	17.2439598463	2.41015042138	25	1.50543311222	0.299275469731	0.000999000999000999	9.604119047102476e-05	0.054263234692784795
Kynu	cosine	24.0	0.0	0.0	-0.0	12.0	-0.0	1.6007143542454942	0.23149258631005226	1.8794616542500002	1.14967378432	0.72978786993	1.63477821264	1.1968761271600001	25	1.50450602745	0.253627820503	0.000999000999000999	9.698899579841858e-05	0.054263234692784795
Dclre1a	cosine	24.0	0.0	12.0	-0.0	0.0	-0.0	-0.6176566490230972	0.2183867927004159	-0.255767461556	-0.9206611207500001	0.664893659194	0.277808474575	0.422291783786	25	1.4980403222499998	0.21200402223099998	0.000999000999000999	0.00010386117190309107	0.055686898335374
Dtx4	cosine	24.0	0.0	0.0	-0.0	12.0	-0.0	0.4940135108787576	0.5546031836788894	1.3995105663999998	-0.46286282535800005	1.86237339176	-3.0235968190400007	5.714990483969999	25	1.4651054872	0.214584225238	0.000999000999000999	0.00014706547444508567	0.07145264073768284
Fmo2	cosine	24.0	0.0	12.1349631288	0.755848054419	4.0	-0.0	0.5226671137763647	0.4719005429418107	1.61393564144	-0.04673698115949999	1.6606726226	-34.532303999899995	3.90669152786	25	1.46296108933	0.278088498254	0.000999000999000999	0.00015042615334903155	0.07145264073768284
Gabarapl1	cosine	24.0	0.0	8.13496312883	0.755848054419	16.0	-0.0	4.897479717224992	0.4831736866102148	5.57950454482	3.91142209009	1.66808245473	1.426464446	1.12874382375	25	1.4612219682299998	0.308380041915	0.000999000999000999	0.00015320726686842508	0.07145264073768284
Rgs16	cosine	24.0	0.0	8.0	-0.0	0.0	-0.0	-1.392205556206818	0.7950169110335044	0.5758111055189999	-2.02300860957	2.59881971509	-0.284631070177	0.405027641135	25	1.45982576555	0.278697574292	0.000999000999000999	0.00015547668174192722	0.07145264073768284
Tmem86a	cosine	24.0	0.0	11.8650368712	0.755848054419	16.134963128800003	0.755848054419	0.7676813480168929	0.177847053035339	1.07979349075	0.400030023992	0.6797634667579999	2.69928111889	1.43987314739	25	1.45520451733	0.209409447441	0.000999000999000999	0.0001632274119113424	0.07242794263707429
Rnf152	cosine	24.0	0.0	8.0	-0.0	16.134963128800003	0.755848054419	1.4810346372437542	0.4867138475958472	2.3517638969799997	0.764967071521	1.58679682546	3.0743335034099997	1.89512025095	25	1.45121102338	0.25872830368	0.000999000999000999	0.00017023158207800176	0.07301799993932423
Coq8a	cosine	24.0	0.0	0.275187353634	1.0561309426999999	12.0	-0.0	3.0513573104117686	0.6504456941560876	3.76322957945	1.9229932682599997	1.8402363111900002	1.95696451026	1.22729116126	25	1.4480371538799999	0.27497013874000004	0.000999000999000999	0.0001760090453241989	0.07306078694296102
Ptbp2	cosine	24.0	0.0	8.0	-0.0	16.0	-0.0	-0.2768545987074973	0.2047038842619633	0.0356322656966	-0.765014829173	0.800647094869	-0.0465772222156	0.259560436766	25	1.4303960009099999	0.241611421983	0.000999000999000999	0.0002118281370324593	0.08268530780121143
Slc37a4	cosine	24.0	0.0	12.5710078892	1.4511531409600003	3.42899211083	1.4511531409600003	5.03367524951375	0.40750356109153213	5.55761731387	4.33136963219	1.2262476816799999	1.2831085281999999	1.1492196591	25	1.4302977280899998	0.236237392399	0.000999000999000999	0.00021204656181535414	0.08268530780121143
Stx7	cosine	24.0	0.0	23.5794135481	1.27605004074	8.27518735363	1.0561309426999999	2.2989110190307582	0.16667744364175902	2.53689800153	1.99624629955	0.540651701985	1.27083416616	1.1124605996999999	25	1.41827146588	0.290841120528	0.000999000999000999	0.000240523485730893	0.08821655601936393
Aqp8	cosine	24.0	0.0	20.0	5.69182430834e-08	12.0	-0.0	4.151839486039893	0.934730450659386	5.210975492809999	2.1282527828299997	3.0827227099799996	2.4484758271400002	1.29793846015	25	1.41794885542	0.22039107321100002	0.000999000999000999	0.00024133717729198429	0.08821655601936393
Serp1	cosine	24.0	0.0	16.4205864519	1.27605004074	7.579413548060002	1.27605004074	5.893350061485638	0.2163691567364254	6.27401854606	5.595072930669999	0.6789456153929999	1.1213470537	1.07091592345	25	1.4158111379499998	0.22521347664500002	0.000999000999000999	0.00024679794969669736	0.08821655601936393
Tk1	cosine	24.0	0.0	20.0	5.69182430834e-08	0.0	-0.0	2.2478902159318763	0.2584209327811945	2.6741294383099996	1.74082202545	0.93330741286	1.5361302874200002	1.1442077941600002	25	1.4077254188100001	0.200419298739	0.000999000999000999	0.0002685768888421026	0.09340668663838314
Pter	cosine	24.0	0.0	20.0	5.69182430834e-08	12.0	-0.0	2.176624298917448	0.34357957822670776	2.62071569052	1.5707253405700001	1.04999034995	1.66847482678	1.26234579425	25	1.38896427532	0.27424905352699996	0.000999000999000999	0.00032667338015880475	0.1031161352016967
Cck	cosine	24.0	0.0	16.0	-0.0	12.0	-0.0	-2.412239902072803	0.12348657209482465	-2.2396648409799997	-2.6583669628999997	0.418702121926	0.8424964921060001	0.938745811196	25	1.38838399511	0.257837321	0.000999000999000999	0.00032865503221603856	0.1031161352016967
Agxt	cosine	24.0	0.0	7.114061352899999	1.71412213206	16.0	-0.0	4.8154474427231015	0.32132638927744905	5.1876355749	4.19481840826	0.992817166634	1.23667703104	1.11462330903	25	1.3881773152899999	0.174353772767	0.000999000999000999	0.0003293636982487168	0.1031161352016967
Rdh11	cosine	24.0	0.0	20.0	5.69182430834e-08	12.0	-0.0	2.798450032373573	0.6547190262476519	3.51221609514	0.9926503350839999	2.51956576006	3.5382208326599995	1.3186258312299999	25	1.3802377388299998	0.24622266790999997	0.000999000999000999	0.00035775676608072634	0.1031161352016967
Mrap	cosine	24.0	0.0	16.0	-0.0	12.0	-0.0	0.5192157580412574	0.1816979318723259	0.729257493555	0.13797855207999998	0.591278941475	5.28529603015	1.66828715747	25	1.3780351446599999	0.282630017777	0.000999000999000999	0.0003660518875114238	0.1031161352016967
Homer2	cosine	24.0	0.0	12.1349631288	0.755848054419	1.2172312669399998	1.89216524241	0.7794796976799608	0.2506238078440787	1.23478779456	0.441508699246	0.793279095318	2.79674624005	1.98655865711	25	1.37029276913	0.144545047863	0.000999000999000999	0.00039674117812311575	0.1031161352016967
