ID	Waveform	PeriodMean	PeriodStdDev	PhaseMean	PhaseStdDev	NadirMean	NadirStdDev	Mean	Std_Dev	Max	Min	Max_Amp	FC	IQR_FC	NumBoots	TauMean	TauStdDev	empP	GammaP	GammaBH
Clock	cosine	24.0	0.0	0.0	-0.0	10.0	5.69182430834e-08	2.490055771042785	0.40138709716357396	2.98686613912	1.6839092557799997	1.3029568833399998	1.7737690608099996	1.25213756185	25	1.56172976758	0.180282933413	0.000999000999000999	4.1977308254637597e-11	2.7773553717360285e-07
Tars	cosine	24.0	0.0	0.0	-0.0	10.0	5.69182430834e-08	2.363135198089234	0.38502821665924	2.88142017371	1.50974382459	1.37167634913	1.9085490709000001	1.32098831376	25	1.5605085222600001	0.149252933733	0.000999000999000999	4.316685377270793e-11	2.7773553717360285e-07
Trim65	cosine	24.0	0.0	16.0	-0.0	6.0	-0.0	0.18665191302855094	0.16185793109107824	0.5321556841089999	-0.0603729153436	0.592528599453	-8.8144771721	6.105871486919999	25	1.53041835524	0.14731646848899999	0.000999000999000999	8.58538818748974e-11	2.984475678949389e-07
Dtx4	cosine	24.0	0.0	23.9232043743	0.38845898579599997	10.0	5.69182430834e-08	0.4101635921727188	0.5748268452995402	1.25112791914	-0.618488398222	1.8696163173599998	-2.0228801748599996	-3.9079740092	25	1.52501482881	0.155426051836	0.000999000999000999	9.711804525520875e-11	2.984475678949389e-07
Tef	cosine	24.0	0.0	8.0	-0.0	2.0	5.69182430834e-08	1.5509330101104963	0.6338940881791179	2.47166339545	0.403535132001	2.0681282634400002	6.12502654525	2.0408390892200003	25	1.5172362595200002	0.128959445065	0.000999000999000999	1.159650170558513e-10	2.984475678949389e-07
Ppp1r3c	cosine	24.0	0.0	22.0	-0.0	10.0	5.69182430834e-08	2.179518283114453	0.8207385739118452	3.44495719007	0.619190874932	2.82576631514	5.56364334414	1.76303335001	25	1.47264755676	0.158924847878	0.000999000999000999	3.197385562492058e-10	6.094356996638388e-07
Cry1	cosine	24.0	0.0	20.0767956257	0.38845898579599997	5.528810528280001	0.8550426498070001	0.6141448399997659	0.6903686210894191	1.6259753836700002	-0.504694145225	2.1306695289	-3.22170447004	27.9295867009	25	1.4710527186000002	0.108740269265	0.000999000999000999	3.315239273894056e-10	6.094356996638388e-07
Nicn1	cosine	24.0	0.0	22.0	-0.0	10.471189471699999	0.8550426498070001	1.7709212585004046	0.30992036501525405	2.29566203335	1.17602777355	1.1196342598	1.95204746434	1.30122950285	25	1.44117016071	0.11680547415999999	0.000999000999000999	6.525268917340821e-10	1.026761605326551e-06
Eps8l2	cosine	24.0	0.0	2.0	5.69182430834e-08	10.0	5.69182430834e-08	2.1003480585941245	0.5106878924889631	2.67341479865	1.16593780605	1.5074769926	2.29293087914	1.47687511721	25	1.4369354918200001	0.09464232588789999	0.000999000999000999	7.181267056216164e-10	1.026761605326551e-06
Lnx2	cosine	24.0	0.0	21.367320114	0.936217840179	8.07679562573	0.38845898579599997	1.4641243970340143	0.34830586721463674	1.9555274816	0.713596677576	1.24193080403	2.7403819875499997	1.4944106237099999	25	1.4314863268900002	0.10431415798900001	0.000999000999000999	8.122850542054154e-10	1.0452484077515284e-06
Avpr1a	cosine	24.0	0.0	23.7673601915	0.64714044552	10.0	5.69182430834e-08	1.6841480921405465	0.6367177366066957	2.51956152925	0.424613935409	2.09494759384	5.93377023018	1.9622634109200001	25	1.42159104431	0.12306971359999999	0.000999000999000999	1.0157711403918973e-09	1.129962068160119e-06
Nampt	cosine	24.0	0.0	11.6088840807	0.799572224589	2.3911159193000002	0.799572224589	3.151204847057734	0.4816936941628162	3.9207601460800006	2.38562560816	1.5351345379199999	1.6434934855899999	1.3605627126299997	25	1.4147193035899999	0.10522421978299999	0.000999000999000999	1.1861999634904697e-09	1.129962068160119e-06
Nr1d2	cosine	24.0	0.0	6.8772234373500005	0.998278366404	23.1227765627	0.998278366404	2.1360206068720595	0.8775086560843353	3.29833631416	0.637509641888	2.66082667227	5.173782633919999	1.7768855089099997	25	1.4141504698899998	0.11399195496200001	0.000999000999000999	1.2015222718915035e-09	1.129962068160119e-06
Nr1d1	cosine	24.0	0.0	4.07679562573	0.38845898579599997	21.922368061300002	0.683314273756	1.764987693602161	1.597724483034319	4.18886544825	-0.648512319525	4.8373777677800005	-6.45919178732	13.189503605699999	25	1.41313505831	0.16900074421100003	0.000999000999000999	1.2293650104322089e-09	1.129962068160119e-06
Crem	cosine	24.0	0.0	22.632679886	0.936217840179	10.0	5.69182430834e-08	0.2386268373520773	0.2643024007905496	0.628508895247	-0.29938309586399997	0.9278919911110001	-2.09934663623	25.2231069181	25	1.38627383872	0.118803282466	0.000999000999000999	2.2514724179444553e-09	1.631789847208156e-06
Clpx	cosine	24.0	0.0	0.0767956257265	0.38845898579599997	9.92320437427	0.38845898579599997	3.0490178501342924	0.7307055583752142	3.97780358715	1.8493851668	2.1284184203599996	2.15087892915	1.6503687192299998	25	1.3861781639700002	0.0882896182464	0.000999000999000999	2.2563227574533994e-09	1.631789847208156e-06
Nrg4	cosine	24.0	0.0	8.0	-0.0	2.0	5.69182430834e-08	0.7830534074521968	0.8176408233629986	2.08141390657	-0.655040651591	2.73645455817	-3.1775339462	7.49247120403	25	1.38493322305	0.11989487793800001	0.000999000999000999	2.3203923773579127e-09	1.631789847208156e-06
Coq10b	cosine	24.0	0.0	8.0	-0.0	2.0	5.69182430834e-08	1.6291766930421696	0.6509544273793122	2.6929544509	0.39660730321599996	2.29634714769	6.789976959750001	2.01911698696	25	1.3816070362600001	0.116553517433	0.000999000999000999	2.500588346327836e-09	1.631789847208156e-06
Fkbp5	cosine	24.0	0.0	12.0	-0.0	2.07679562573	0.38845898579599997	1.11088413636427	0.6353865275048121	2.27382537461	-0.185378854297	2.4592042289099996	-12.2658292567	1.80730390345	25	1.3807041552000001	0.13516943180500002	0.000999000999000999	2.5518601429437324e-09	1.631789847208156e-06
S100a10	cosine	24.0	0.0	2.0	5.69182430834e-08	10.0	5.69182430834e-08	4.433185536802552	0.2963068142952854	4.79121676849	3.8109815233499997	0.980235245139	1.2572133292	1.13226257313	25	1.38044157189	0.10804934804500001	0.000999000999000999	2.566966803293477e-09	1.631789847208156e-06
Rorc	cosine	24.0	0.0	20.0	5.69182430834e-08	4.0	-0.0	3.6369339468375	0.5623420406461804	4.30115509001	2.54612178724	1.75503330277	1.68929668312	1.3462330263999998	25	1.37880731018	0.140892552035	0.000999000999000999	2.663007988138893e-09	1.631789847208156e-06
Pid1	cosine	24.0	0.0	23.7673601915	0.64714044552	10.0	5.69182430834e-08	2.4292175700997736	0.3075376937780199	2.9038985341799997	1.7425601153999999	1.16133841878	1.6664552967299997	1.2304594792299999	25	1.3741716012	0.117209261032	0.000999000999000999	2.9553294647824965e-09	1.7190255532616883e-06
