annot	BH.Q	ADJ.P	PER	LAG	AMP
0610009B22Rik	1	0.661201521735224	23	6	0.126642398718058
0610010F05Rik	1.89898681688715e-06	7.20162858751111e-08	24	20	0.137796896293159
0610012G03Rik	0.659250617558045	0.268147166016382	25	19	0.0459094073230656
0610040J01Rik	6.0346812762656e-06	2.80911880982522e-07	23	17.5	0.114679326633761
1110004F10Rik	1	1	24	7	0.0705082682767498
1110006O24Rik	0.690893588953688	0.284454012610867	25	2.5	0.0473264737074361
1110008L16Rik	0.0324687931655966	0.0068303561625171	25	8	0.0289797791427614
1110008P14Rik	0.000748688816404904	7.82550868872082e-05	23	3	0.0903816436013352
1110012L19Rik	1	1	23	15.5	0.124127533747253
1110017D15Rik	1	1	23	2.5	0.0539975760693658
1110038F14Rik	0.520749719270622	0.19853886561561	25	6	0.125105235613699
1110051M20Rik	1	1	25	10.5	0.0676746900797554
1110059G10Rik	0.0482674010855993	0.0109490630843072	25	17	0.117562694556487
1300017J02Rik	1	0.532052410922756	25	6.5	0.0149054208074045
1500002F19Rik	1	1	24	2	0.0515346788452169
1500015O10Rik	1	1	25	18	0.0308878897936035
1600002K03Rik	0.10855990829841	0.0289116261842283	23	1.5	0.08458289663722
1600012H06Rik	1	1	23	8.5	0.0790294124321547
1600014C10Rik	0.0706453602571782	0.0172880198515585	25	14.5	0.0785047198045927
1600015I10Rik	1	1	24	2	0.0710908145231056
1700001C02Rik	0.181687106275593	0.0544157683856182	23	1.5	0.0593127608248965
1700001C19Rik	0.00244165830725483	0.000315927967172776	23	12	0.118367834828617
1700001G17Rik	0.137042420866262	0.0384460008802617	25	23	0.0501850438912424
1700001K19Rik	1	1	24	19	0.0548364879916512
1700001O22Rik	0.10855990829841	0.0289116261842283	25	22	0.0229106174419449
1700001P01Rik	0.38454073355118	0.136776728121212	23	1	0.0298454737009406
1700007K13Rik	0.348446016543765	0.120445126016993	23	1.5	0.0629071633847544
1700009J07Rik	1	1	25	1.5	0.0628257653308447
1700010I14Rik	0.00176712510741012	0.00021423027413427	24	7	0.0452550630412851
1700012A03Rik	1	1	25	17	0.0435730195696378
1700012B09Rik	1	1	25	18.5	0.0554949775395768
1700013G24Rik	1	1	24	2	0.0726923846815763
1700016H13Rik	1	1	25	14	0.0612306256502898
1700016K19Rik	0.995676536912925	0.450406677134764	25	21.5	0.0333802628017124
1700018B08Rik	0.38454073355118	0.136776728121212	25	23.5	0.0332994369167676
1700018B24Rik	1	0.775477597440774	25	21.5	0.0600747219770024
1700019D03Rik	1	1	25	19	0.0281049740500747
1700019M22Rik	1	0.906755452322057	25	20.5	0.0409717731340874
1700019N19Rik	1	1	24	0	0.0571417362936983
1700020D05Rik	1	1	24	1	0.0310011762924911
1700020L24Rik	0.0802092962641149	0.0200647905404248	25	22.5	0.0180940395887083
1700020N01Rik	1	1	24	19	0.0473634153059579
1700021F05Rik	0.115201424768642	0.0310653515656813	25	11.5	0.12949675447383
1700021F07Rik	0.794947680486615	0.33884737546387	25	22.5	0.0313927497063752
1700025F22Rik	1	1	25	4	0.0256869411671123
1700025G04Rik	1	1	25	13	0.0466157840263399
1700028P14Rik	1	1	24	20	0.0367001520520223
1700029H14Rik	0.995676536912925	0.450406677134764	25	21.5	0.0463848594430776
1700029I15Rik	1	1	25	10	0.0463293998733975
1700029M20Rik	1	0.775477597440774	25	20.5	0.0159680375078614
1700030J22Rik	1	1	25	1.5	0.0439456533247022
1700030K09Rik	1	1	23	9.5	0.0797434107087987
1700034E13Rik	0.995676536912925	0.450406677134764	23	1	0.0442708262490009
1700034J05Rik	1	1	25	18.5	0.0599202978116004
1700037H04Rik	1	1	24	20	0.0335850114190092
1700052K11Rik	1	1	25	3	0.122107001520351
1700065D16Rik	1	1	25	9.5	0.0676787841702507
1700067K01Rik	1	0.735592731475724	25	22	0.0053371474775595
1700067P10Rik	1	1	25	9.5	0.0409014178925828
1700073E17Rik	0.00395188060289207	0.000557403115810469	25	22.5	0.023885077465442
1700074P13Rik	1	1	25	2	0.0532297845190799
1700088E04Rik	1	1	25	1.5	0.0631104640619633
1700093K21Rik	1	1	25	8	0.0556112685409969
1700102P08Rik	0.600345020847804	0.238029242801173	25	21.5	0.0464740290049211
1700120K04Rik	1	1	23	2	0.0651915536226893
1700123O20Rik	0.00851029235330066	0.00138156673345081	23	1	0.125988272123899
1700125H20Rik	1	1	25	17.5	0.105845842580432
1700129C05Rik	1	0.735592731475724	23	22.5	0.016192022981016
1810030O07Rik	0.313286523359596	0.105905842136637	25	8	0.0512184422113813
1810032O08Rik	1	1	25	9	0.0382065092692241
1810065E05Rik	1	1	23	1.5	0.0768048504093857
2010003K11Rik	0.00190965157233227	0.000236257794774089	23	14	0.0914536767553153
2010106E10Rik	1	0.476289842525311	23	1.5	0.0561201003073196
2010204K13Rik	1	1	23	2.5	0.0283195764067666
2010300C02Rik	1	1	23	0.5	0.0429007295112643
2200002J24Rik	0.122219299167834	0.0333662105981195	25	23	0.0743205700622203
2210010C04Rik	1	1	25	2.5	0.0442570078890325
2210016L21Rik	1	1	24	13	0.0388260037635158
2210407C18Rik	1	1	24	1	0.0816523765421319
2210408I21Rik	1	1	23	22.5	0.0395112643633936
2300002M23Rik	1	0.697523922498372	23	1.5	0.049153503148905
2310002L09Rik	1	1	24	20	0.0341244074061856
2310011J03Rik	1	1	23	16	0.0677344004762334
2310022A10Rik	1	1	25	0.5	0.0742525826726703
2310022B05Rik	0.000399098472986234	3.74658808958168e-05	23	13	0.209381346790423
2310030G06Rik	1	1	23	15.5	0.0589105867135085
2310033P09Rik	1	1	23	9.5	0.0265767979442347
2310034C09Rik	1	1	25	15.5	0.0930702097622197
2310039H08Rik	1	1	25	13.5	0.067768677637378
2310057M21Rik	1	1	23	0.5	0.0440680171463583
2310057N15Rik	1	1	24	1	0.0649265871619634
2310067E19Rik	1	1	25	9.5	0.28313292951572
2410004B18Rik	0.00365997322021021	0.00050769755968878	23	0.5	0.147686514632398
2410137M14Rik	1	1	24	2	0.0768191093361592
2510009E07Rik	0.181687106275593	0.0544157683856182	23	4.5	0.0755071385620948
2510039O18Rik	0.0152060079212602	0.00276161334410825	25	14	0.127470296075913
2610001J05Rik	1	1	25	5	0.050163853157732
2610008E11Rik	1	1	25	4	0.108053140024629
2610028H24Rik	1	0.626557877717806	23	22.5	0.0365450060693713
2610507B11Rik	0.00539336638977684	0.000805987221599383	25	7	0.219359433090077
2610528J11Rik	8.47261154826556e-06	4.16782958505759e-07	25	8	0.192672164724685
2700097O09Rik	1	1	25	0	0.107572849353341
2810004N23Rik	0.191942436612333	0.0582629124500913	25	9	0.00858126597172915
2810006K23Rik	0.495392689223876	0.186753958301602	25	17.5	0.0452186571925616
2810025M15Rik	0.0265361167674225	0.00536372705253855	25	23	0.148280261808565
2810032G03Rik	1	1	24	18	0.0347719301592595
2810408A11Rik	1	1	24	3	0.0210594709066811
2900005J15Rik	1	1	25	6	0.080633215608129
2900026A02Rik	0.0370113744443251	0.00800743444614556	23	13	0.181294776077617
3110009E18Rik	0.0752864368205143	0.018628537055993	25	24.5	0.095162721857857
3110040N11Rik	1	1	25	5	0.123511819329735
3110070M22Rik	1	1	24	7	0.0520115146254513
3110082I17Rik	0.00224841585570308	0.000286905411490865	25	15	0.242114697382563
3300002I08Rik	0.912035516666599	0.402364441103224	25	22.5	0.126784581839555
3830406C13Rik	0.954524090387495	0.425782427636324	24	4.5	0.0656484798393969
3830417A13Rik	1	1	25	1.5	0.10349905448312
4430402I18Rik	0.995676536912925	0.450406677134764	23	7	0.0700243665851537
4632404H12Rik	1	1	25	9.5	0.0479786379138043
4632415L05Rik	1	1	25	9	0.0566522064910895
4833420G17Rik	0.00162024804104602	0.000194157792919875	23	13	0.194918994034665
4833427G06Rik	1	1	25	21.5	0.0374506631652269
4921504E06Rik	1	1	23	2	0.0455318374077805
4921507P07Rik	1	1	23	20	0.0753508245015451
