annot	BH.Q	ADJ.P	PER	LAG	AMP
0610009B22Rik	1	1	24	0	0.0721822154850093
0610010F05Rik	1	0.272744571208113	28	18	0.197048629115869
0610012G03Rik	1	0.581579681571001	28	18	0.0631645417568754
0610040J01Rik	0.279135435295597	0.012668254135268	24	18	0.0737168839031238
1110004F10Rik	1	1	28	16	0.130566492279131
1110006O24Rik	1	0.272744571208113	24	4	0.0398830280104291
1110008L16Rik	1	1	24	6	0.0856689945479943
1110008P14Rik	1	0.817298910901341	24	4	0.0398910680393755
1110012L19Rik	1	0.817298910901341	24	18	0.135273091481985
1110017D15Rik	1	1	28	12	0.142663646279603
1110038F14Rik	1	1	24	6	0.17354676690594
1110051M20Rik	1	0.272744571208113	28	20	0.00379116777928223
1110059G10Rik	1	1	28	18	0.144877239789935
1300017J02Rik	1	1	24	12	0.0611525312902733
1500002F19Rik	1	0.403653156899685	24	22	0.0432248806718468
1500015O10Rik	1	0.272744571208113	28	18	0.0580435475272326
1600002K03Rik	1	1	24	0	0.0483592558283142
1600012H06Rik	1	0.581579681571001	24	12	0.0621109350486463
1600014C10Rik	1	0.817298910901341	28	12	0.0521790222709399
1600015I10Rik	1	1	24	0	0.122702826066612
1700001C02Rik	1	0.581579681571001	28	22	0.0281812212196232
1700001C19Rik	1	1	24	12	0.0890475454256876
1700001G17Rik	1	0.581579681571001	28	22	0.122961360848183
1700001K19Rik	0.594477803439256	0.0699440001870557	28	20	0.084392322877143
1700001O22Rik	1	1	24	18	0.060887562365286
1700001P01Rik	1	0.403653156899685	24	2	0.0723774114228593
1700007K13Rik	1	0.403653156899685	24	2	0.101790241247048
1700009J07Rik	1	1	28	6	0.0848018421552275
1700010I14Rik	0.204547130539692	0.00648548564347175	24	8	0.0605586605510581
1700012A03Rik	1	1	28	16	0.0591371136111341
1700012B09Rik	1	1	28	22	0.0665030860554622
1700013G24Rik	0.594477803439256	0.0699440001870557	28	22	0.0471228117196126
1700016H13Rik	1	1	28	20	0.0710726946899749
1700016K19Rik	0.896005129214078	0.17901998657207	28	20	0.140602760710006
1700018B08Rik	1	1	28	0	0.071973738657724
1700018B24Rik	1	1	28	18	0.0845669862967157
1700019D03Rik	1	1	28	2	0.0200886077390268
1700019M22Rik	1	1	28	16	0.0288087604016815
1700019N19Rik	1	0.272744571208113	24	4	0.0212296022722694
1700020D05Rik	1	1	28	8	0.102562639969287
1700020L24Rik	1	1	24	0	0.0723782835635925
1700020N01Rik	1	1	28	2	0.0833566979475073
1700021F05Rik	1	0.581579681571001	28	16	0.0495149763004032
1700021F07Rik	1	0.581579681571001	24	0	0.0751450390723899
1700025F22Rik	0.594477803439256	0.0699440001870557	24	6	0.0636194957566811
1700025G04Rik	1	1	24	18	0.0356394050902158
1700028P14Rik	1	1	24	0	0.0730312049115235
1700029H14Rik	1	1	24	18	0.110576273528143
1700029I15Rik	1	1	28	4	0.0621125073970091
1700029M20Rik	1	1	24	18	0.0639946219906028
1700030J22Rik	1	1	28	20	0.0441570432509792
1700030K09Rik	1	0.581579681571001	24	4	0.0507929586471599
1700034E13Rik	1	1	28	26	0.0374313217449576
1700034J05Rik	1	1	28	20	0.0473901517936466
1700037H04Rik	1	1	28	14	0.0570163873366769
1700052K11Rik	1	1	28	2	0.155575692712012
1700065D16Rik	0.896005129214078	0.17901998657207	28	24	0.0648950910412306
1700067K01Rik	1	1	28	4	0.129533849931494
1700067P10Rik	1	1	28	8	0.0426310256194104
1700073E17Rik	0.36040524637722	0.0234425855780022	24	0	0.0720550652177712
1700074P13Rik	1	1	28	2	0.0848367162605901
1700088E04Rik	1	1	28	10	0.162532522980911
