annot	BH.Q	ADJ.P	PER	LAG	AMP
0610009B22Rik	1	1	28	26	0.17517781648228
0610010F05Rik	0.688776946630405	0.113850525760248	24	20	0.171417603789669
0610012G03Rik	1	1	28	16	0.107260329334583
0610040J01Rik	1	0.403653156899685	24	18	0.046218433004236
1110004F10Rik	1	1	28	22	0.196361006749611
1110006O24Rik	1	1	28	6	0.0364522179726664
1110008L16Rik	1	0.272744571208113	24	10	0.110840129415852
1110008P14Rik	0.442058667340915	0.0413614109013415	28	24	0.129891014680086
1110012L19Rik	1	0.817298910901341	24	18	0.101294040766762
1110017D15Rik	0.688776946630405	0.113850525760248	28	24	0.148886557842362
1110038F14Rik	1	0.817298910901341	28	4	0.245037068636502
1110051M20Rik	1	0.817298910901341	24	6	0.0606790981262899
1110059G10Rik	0.554211449758025	0.0699440001870557	28	14	0.131389549920208
1300017J02Rik	1	1	28	0	0.0650691622571996
1500002F19Rik	1	1	24	22	0.0347022641148929
1500015O10Rik	0.442058667340915	0.0413614109013415	28	20	0.0246898411519215
1600002K03Rik	0.860205073640551	0.17901998657207	28	26	0.218932507466648
1600012H06Rik	1	1	28	22	0.0285492842243891
1600014C10Rik	1	1	28	12	0.114229904472721
1600015I10Rik	1	1	28	24	0.0778489343539171
1700001C02Rik	1	1	28	0	0.070323072452446
1700001C19Rik	0.442058667340915	0.0413614109013415	28	10	0.097980782476849
1700001G17Rik	1	0.817298910901341	24	4	0.0653609898072625
1700001K19Rik	1	1	28	18	0.0658655262352313
1700001O22Rik	1	0.581579681571001	24	0	0.104405953460982
1700001P01Rik	1	1	28	22	0.0673193310374423
1700007K13Rik	1	1	24	6	0.106764276578516
1700009J07Rik	0.554211449758025	0.0699440001870557	28	24	0.0873122916121663
1700010I14Rik	0.688776946630405	0.113850525760248	24	6	0.078193193171792
1700012A03Rik	1	1	28	24	0.0403993627447426
1700012B09Rik	1	1	28	20	0.0912182992158662
1700013G24Rik	0.554211449758025	0.0699440001870557	28	24	0.108295352633019
1700016H13Rik	1	1	28	8	0.13837921138861
1700016K19Rik	1	0.581579681571001	24	20	0.0730121822112355
1700018B08Rik	1	0.581579681571001	28	24	0.0592533900329384
1700018B24Rik	0.28954723661213	0.012668254135268	28	22	0.184422397347182
1700019D03Rik	1	1	28	12	0.0710875946601289
1700019M22Rik	0.860205073640551	0.17901998657207	28	18	0.0942830030541446
1700019N19Rik	1	1	28	18	0.0952810921465347
1700020D05Rik	1	1	28	12	0.0861750312719769
1700020L24Rik	1	1	28	26	0.16439885867329
1700020N01Rik	1	1	24	18	0.055068092007519
1700021F05Rik	1	0.403653156899685	28	8	0.119001072900097
1700021F07Rik	1	1	24	0	0.0989312691179996
1700025F22Rik	0.554211449758025	0.0699440001870557	28	20	0.050326413580277
1700025G04Rik	1	1	28	8	0.110823692470183
1700028P14Rik	1	1	28	20	0.0704267688587223
1700029H14Rik	1	0.403653156899685	24	0	0.143009079973109
1700029I15Rik	1	1	28	24	0.0614555208620713
1700029M20Rik	1	1	24	22	0.0817068293894502
1700030J22Rik	1	1	24	10	0.0699825854740852
1700030K09Rik	1	1	28	26	0.097616217249248
1700034E13Rik	1	0.817298910901341	24	0	0.107679757379996
1700034J05Rik	1	1	28	18	0.0922833425014167
1700037H04Rik	1	1	28	20	0.0694206600107578
1700052K11Rik	1	1	24	6	0.068108314442591
1700065D16Rik	0.860205073640551	0.17901998657207	28	8	0.0550233905801994
1700067K01Rik	1	1	24	0	0.0967020858764811
1700067P10Rik	1	1	24	10	0.0704187654302507
1700073E17Rik	1	1	28	20	0.0582342730794806
1700074P13Rik	1	0.403653156899685	24	0	0.0676348096234904
1700088E04Rik	1	0.403653156899685	24	0	0.11962122479696
1700093K21Rik	1	1	24	6	0.0350246541857605
1700102P08Rik	0.442058667340915	0.0413614109013415	28	22	0.208234290315336
1700120K04Rik	1	1	24	0	0.0731223833734834
1700123O20Rik	0.860205073640551	0.17901998657207	24	22	0.141064824291478
1700125H20Rik	1	1	28	26	0.181024440132191
1700129C05Rik	1	1	28	4	0.0631356110013244
1810030O07Rik	1	1	28	0	0.0962051813777484
1810032O08Rik	1	1	28	8	0.133394606560518
1810065E05Rik	1	1	24	0	0.12413456479589
2010003K11Rik	1	1	28	14	0.17170413123593
2010106E10Rik	1	1	24	0	0.0524008223805093
2010204K13Rik	1	1	24	0	0.0736753746351798
2010300C02Rik	1	1	28	4	0.0436017755956294
2200002J24Rik	1	1	28	26	0.232984594307329
2210010C04Rik	1	1	28	18	0.0967667684533999
2210016L21Rik	1	1	24	12	0.111707532671202
2210407C18Rik	1	1	28	0	0.109947048435874
2210408I21Rik	1	1	28	4	0.132317261132999
2300002M23Rik	1	1	28	4	0.108736247778496
2310002L09Rik	1	1	28	24	0.0491732314960975
2310011J03Rik	1	0.817298910901341	24	16	0.0533944399902107
2310022A10Rik	1	1	28	26	0.116906038234984
2310022B05Rik	1	0.581579681571001	24	12	0.235059433425419
2310030G06Rik	1	1	24	18	0.0988483955734367
2310033P09Rik	1	1	28	18	0.0777970563972128
2310034C09Rik	1	1	28	18	0.175234139931042
2310039H08Rik	1	1	28	12	0.100829150054402
2310057M21Rik	1	1	28	6	0.0906571947940695
2310057N15Rik	1	0.817298910901341	28	22	0.0487347535792213
2310067E19Rik	1	1	28	6	0.618673000427828
2410004B18Rik	1	0.272744571208113	24	0	0.147754844702545
2410137M14Rik	1	1	28	20	0.170054633227514
2510009E07Rik	1	1	28	2	0.120329817151845
2510039O18Rik	0.554211449758025	0.0699440001870557	28	12	0.233860866355808
2610001J05Rik	1	1	28	0	0.0522006335961684
2610008E11Rik	1	0.581579681571001	24	10	0.0893504793014113
2610028H24Rik	1	1	24	0	0.109770074593558
2610507B11Rik	1	0.272744571208113	24	8	0.161461028593371
2610528J11Rik	1	0.272744571208113	28	6	0.0820789634548667
2700097O09Rik	1	1	28	24	0.0809290828715725
2810004N23Rik	1	0.581579681571001	28	6	0.0602104060923283
2810006K23Rik	1	0.581579681571001	28	18	0.0723614630019983
2810025M15Rik	0.359546115873341	0.0234425855780022	28	24	0.280296046705299
2810032G03Rik	1	0.817298910901341	28	20	0.0526156229987346
2810408A11Rik	1	0.817298910901341	24	2	0.0561463980005709
2900005J15Rik	1	1	28	2	0.108620485683611
2900026A02Rik	1	1	28	8	0.172018963193238
3110009E18Rik	0.442058667340915	0.0413614109013415	24	2	0.123088233064054
3110040N11Rik	1	1	28	26	0.12132132972365
3110070M22Rik	1	0.272744571208113	28	2	0.070493298580147
3110082I17Rik	1	1	28	18	0.174348378246261
3300002I08Rik	1	1	28	22	0.254990467912786
3830406C13Rik	1	0.581579681571001	28	4	0.126237666252121
3830417A13Rik	0.860205073640551	0.17901998657207	28	2	0.0416241278135264
4430402I18Rik	1	1	28	8	0.134567541587254
4632404H12Rik	1	0.272744571208113	28	12	0.0250568976410484
4632415L05Rik	1	1	24	0	0.0222032920287986
4833420G17Rik	0.359546115873341	0.0234425855780022	28	12	0.253888929596959
4833427G06Rik	1	1	24	10	0.0483564551262649
4921504E06Rik	1	1	24	0	0.0668495337830799
4921507P07Rik	1	1	24	18	0.050115325461143
4921517D22Rik	1	1	24	6	0.0395552163964946
4921524J17Rik	1	0.817298910901341	28	22	0.13192398793373
4921524L21Rik	0.359546115873341	0.0234425855780022	28	18	0.100878824760883
4921530L21Rik	1	0.581579681571001	24	12	0.0545832179333077
4921536K21Rik	0.860205073640551	0.17901998657207	24	20	0.0975517201435443
4922502D21Rik	1	1	28	10	0.101088309706526
4930415O20Rik	1	1	28	24	0.135523516457376
4930429B21Rik	1	1	24	0	0.0452300984077042
4930430A15Rik	1	0.817298910901341	24	22	0.0935394532399737
4930430F08Rik	1	1	24	0	0.109163508410707
4930432K21Rik	1	1	28	18	0.14135080208036
4930433N12Rik	0.860205073640551	0.17901998657207	28	20	0.197669905226165
4930447C04Rik	1	0.581579681571001	24	22	0.0294689453059214
4930451I11Rik	1	1	24	0	0.0435866105173877
4930452B06Rik	1	1	28	22	0.0607280321647087
4930465K10Rik	0.860205073640551	0.17901998657207	24	6	0.0915780275406081
4930470P17Rik	1	1	28	24	0.0819827210617661
4930471G03Rik	1	1	28	26	0.0905641602680999
4930474N05Rik	1	1	24	0	0.1112281519813
4930483J18Rik	1	1	28	18	0.173645296341515
4930486L24Rik	1	1	24	18	0.0719602856540436
4930503B20Rik	1	0.272744571208113	28	22	0.103663723583224
4930503L19Rik	1	1	28	16	0.0430606956030375
4930505A04Rik	1	1	28	26	0.0806601395216103
4930515G01Rik	0.28954723661213	0.012668254135268	24	22	0.122290828410564
4930519G04Rik	1	0.581579681571001	24	22	0.047613828391976
4930522H14Rik	1	0.817298910901341	28	16	0.0305775190768387
4930524B15Rik	0.554211449758025	0.0699440001870557	28	18	0.207148976900671
4930539E08Rik	1	0.403653156899685	28	20	0.0735092683326347
4930544G11Rik	1	1	24	18	0.0528928525761983
4930544M13Rik	1	0.817298910901341	28	18	0.0217869124864761
4930548H24Rik	1	1	28	0	0.0450176068682911
4930550C14Rik	1	1	28	24	0.0783452952396517
4930556L07Rik	1	0.403653156899685	28	22	0.0803465913087761
4930578I06Rik	1	1	28	14	0.0955719685713299
4930579K19Rik	1	0.817298910901341	28	12	0.0292364769139773
4930591A17Rik	1	0.817298910901341	28	22	0.0685338712540808
4931406B18Rik	1	1	28	18	0.0792422159968564
4931406C07Rik	1	0.272744571208113	24	0	0.0681295329911978
4931406H21Rik	1	0.581579681571001	24	6	0.0504809253900344
4931414P19Rik	0.28954723661213	0.012668254135268	28	24	0.176142230936902
4931417E11Rik	1	1	24	22	0.0311842731585987
4931428F04Rik	1	1	28	0	0.100229690242018
4931428L18Rik	1	1	28	18	0.0778007942688612
4931429L15Rik	1	1	28	0	0.160063535494446
4931431C16Rik	1	1	28	16	0.0972168063922894
4932414N04Rik	1	1	28	6	0.0940824438861419
4932435O22Rik	1	0.817298910901341	28	14	0.0376426109325174
4932438A13Rik	1	0.272744571208113	28	6	0.415211604183094
4932438H23Rik	1	1	24	14	0.0373498273100353
4933400A11Rik	1	1	28	0	0.117353436756871
4933402J07Rik	0.554211449758025	0.0699440001870557	24	12	0.0425962514620917
4933404G15Rik	1	1	28	26	0.10180410366563
4933411K16Rik	1	1	28	18	0.208777200298249
4933414I15Rik	1	0.581579681571001	28	20	0.0700436186624598
4933415F23Rik	1	1	24	22	0.0881840017421458
4933425L06Rik	1	0.403653156899685	24	10	0.0587856259183451
4933427D06Rik	1	1	28	18	0.032496073396329
4933427D14Rik	1	0.817298910901341	28	8	0.223348823511145
4933427E11Rik	1	1	24	10	0.0406920216089086
4933430I17Rik	1	0.403653156899685	24	4	0.0759707971117595
4933431E20Rik	1	1	28	26	0.0796524199820621
4933434E20Rik	1	1	24	18	0.0983314624219554
4933436I01Rik	1	1	28	12	0.0755394156840696
4933440M02Rik	1	0.817298910901341	28	22	0.030242113191831
5330439B14Rik	1	1	28	12	0.0476887513496301
5430419D17Rik	1	0.272744571208113	24	22	0.151908184856124
5730455P16Rik	1	1	28	2	0.0740838162635688
6030458C11Rik	1	1	28	10	0.136818486700435
6030498E09Rik	1	1	28	24	0.106145588613364
6330403K07Rik	1	0.403653156899685	24	4	0.145135922458478
6330549D23Rik	1	1	28	24	0.098477056684248
6430548M08Rik	1	1	28	26	0.0964069992355287
6820408C15Rik	1	0.403653156899685	24	22	0.0457068719348709
8030451A03Rik	1	1	28	14	0.0511116614137769
8030462N17Rik	0.226165932954457	0.00648548564347175	28	12	0.295767088132409
9030612E09Rik	1	1	28	26	0.102172326685476
9130008F23Rik	1	1	24	18	0.0837486296529847
9130401M01Rik	1	0.272744571208113	28	16	0.16844893560713
9330133O14Rik	1	0.581579681571001	24	0	0.137929153811081
9330175E14Rik	0.860205073640551	0.17901998657207	28	14	0.0341857030238199
9330182L06Rik	1	1	28	12	0.0982200116293162
9530002B09Rik	1	0.581579681571001	24	2	0.145208705754176
9530003J23Rik	1	1	28	24	0.0810501868101274
9530068E07Rik	0.554211449758025	0.0699440001870557	28	8	0.169692457781872
9530077C05Rik	1	1	24	6	0.0202019854911968
9630013D21Rik	0.688776946630405	0.113850525760248	28	16	0.149564707442581
9930012K11Rik	1	0.817298910901341	24	4	0.0393066948862458
9930021J03Rik	1	1	24	0	0.18563249253706
9930104L06Rik	1	0.403653156899685	24	2	0.081950671667229
a	1	1	28	20	0.103259871015488
A130010J15Rik	0.688776946630405	0.113850525760248	28	12	0.0495339047251317
A1cf	0.442058667340915	0.0413614109013415	28	0	0.249259171771836
A230050P20Rik	1	0.272744571208113	28	4	0.477480240809354
A2m	1	1	24	18	0.0499814268363447
A2ml1	1	0.272744571208113	28	12	0.293543336612717
A330008L17Rik	1	1	28	12	0.0717269190540962
A430005L14Rik	1	1	24	22	0.0590618552715001
A430033K04Rik	1	0.581579681571001	28	12	0.082096734034481
A430093F15Rik	1	1	28	20	0.0889855630305962
A4galt	1	0.817298910901341	28	22	0.0810184542559475
