annot	BH.Q	ADJ.P	PER	LAG	AMP
0610009B22Rik	1	0.272744571208113	24	4	0.170319238672394
0610010F05Rik	0.252736580174619	0.012668254135268	24	20	0.179369420045046
0610012G03Rik	1	1	28	14	0.0764183287879941
0610040J01Rik	0.870608158431367	0.17901998657207	24	16	0.140918418620903
1110004F10Rik	1	1	24	6	0.0800186013763816
1110006O24Rik	0.870608158431367	0.17901998657207	28	22	0.123358154906994
1110008L16Rik	1	0.817298910901341	28	6	0.0525542311507172
1110008P14Rik	1	0.581579681571001	24	2	0.100324130694122
1110012L19Rik	1	1	28	2	0.178156142286836
1110017D15Rik	1	1	28	20	0.0711741586191762
1110038F14Rik	1	0.817298910901341	28	0	0.193183693624942
1110051M20Rik	1	1	28	8	0.103367398275769
1110059G10Rik	0.870608158431367	0.17901998657207	28	14	0.182946611723082
1300017J02Rik	1	1	24	10	0.0495638692783152
1500002F19Rik	1	1	28	0	0.0833203247224578
1500015O10Rik	1	1	28	20	0.0362698751443489
1600002K03Rik	1	0.581579681571001	28	24	0.127420511081321
1600012H06Rik	1	1	28	2	0.10168697777534
1600014C10Rik	0.870608158431367	0.17901998657207	24	12	0.091491830057376
1600015I10Rik	0.548136050186987	0.0699440001870557	28	20	0.0452376967679514
1700001C02Rik	1	1	28	4	0.0787779152932514
1700001C19Rik	1	1	24	12	0.117695219719794
1700001G17Rik	1	1	28	20	0.124342667381143
1700001K19Rik	1	1	28	26	0.157079081931177
1700001O22Rik	0.548136050186987	0.0699440001870557	24	0	0.0991485348976895
1700001P01Rik	1	1	28	22	0.0718721847549835
1700007K13Rik	1	0.403653156899685	24	22	0.0795977084082986
1700009J07Rik	1	1	28	24	0.0661129516634268
1700010I14Rik	1	1	24	10	0.0663877104386985
1700012A03Rik	1	0.817298910901341	28	24	0.0665843790647902
1700012B09Rik	1	0.403653156899685	28	20	0.0466158717389887
1700013G24Rik	1	1	28	0	0.183713838293127
1700016H13Rik	1	1	28	20	0.0843303874719113
1700016K19Rik	1	1	28	8	0.0549272182285044
1700018B08Rik	1	1	28	24	0.0517919210642789
1700018B24Rik	1	0.817298910901341	28	20	0.0260025296592908
1700019D03Rik	1	1	28	24	0.0195978735608275
1700019M22Rik	1	0.581579681571001	28	18	0.123332274816372
1700019N19Rik	1	1	28	10	0.0996673771649911
1700020D05Rik	1	1	24	0	0.0586227381127271
1700020L24Rik	1	0.272744571208113	28	22	0.0564714668503955
1700020N01Rik	0.438417327412242	0.0413614109013415	28	14	0.0581929807431174
1700021F05Rik	1	1	28	6	0.163639397759128
1700021F07Rik	1	1	28	14	0.0665494681898621
1700025F22Rik	1	1	28	10	0.0836925130592101
1700025G04Rik	1	1	24	18	0.0510942408597026
1700028P14Rik	1	0.817298910901341	28	10	0.0156220292983331
1700029H14Rik	1	1	24	18	0.0416818787012567
1700029I15Rik	1	0.272744571208113	24	12	0.0730524666647674
1700029M20Rik	1	1	28	24	0.0639555416885709
1700030J22Rik	1	1	28	24	0.115793518536817
1700030K09Rik	1	1	24	10	0.104632308783009
1700034E13Rik	1	1	28	16	0.0697355004366586
1700034J05Rik	1	1	28	18	0.0680189108869735
1700037H04Rik	1	1	24	18	0.0563456358892505
1700052K11Rik	1	1	24	0	0.0580414525991501
1700065D16Rik	1	1	28	8	0.149632468141603
1700067K01Rik	1	1	28	16	0.0728543887617545
1700067P10Rik	1	1	24	10	0.0736639671218352
1700073E17Rik	1	1	24	0	0.04129207888339
1700074P13Rik	1	1	28	26	0.0780419905056446
1700088E04Rik	1	0.581579681571001	24	22	0.0344673738444536
1700093K21Rik	1	0.581579681571001	28	6	0.0653877833550954
1700102P08Rik	1	1	28	24	0.0848306364324997
1700120K04Rik	1	1	28	26	0.0450223269303208
1700123O20Rik	1	0.403653156899685	24	22	0.163702854435625
1700125H20Rik	1	1	28	16	0.179887997378517
1700129C05Rik	1	1	24	18	0.112120343651268
1810030O07Rik	1	1	28	4	0.0924496252043564
1810032O08Rik	0.870608158431367	0.17901998657207	28	12	0.104262743024443
1810065E05Rik	1	1	24	18	0.0269591480031441
2010003K11Rik	1	0.272744571208113	28	8	0.152949444548828
2010106E10Rik	1	1	28	20	0.0966797377869524
2010204K13Rik	1	1	28	0	0.092929830851172
