annot	BH.Q	ADJ.P	PER	LAG	AMP
0610009B22Rik	1	1	24	22	0.100769844201896
0610010F05Rik	0.711524315436071	0.113850525760248	24	18	0.140859615363865
0610012G03Rik	1	1	28	22	0.0784614618033916
0610040J01Rik	0.872586813336892	0.17901998657207	24	14	0.129677016878297
1110004F10Rik	1	1	28	4	0.15236091505933
1110006O24Rik	1	0.403653156899685	28	26	0.105886975181068
1110008L16Rik	1	0.272744571208113	28	2	0.0528913909971763
1110008P14Rik	0.563228657326053	0.0699440001870557	24	22	0.0975687485316255
1110012L19Rik	1	1	28	4	0.194532752760888
1110017D15Rik	1	1	28	2	0.0865186557922379
1110038F14Rik	1	1	24	6	0.207945394988781
1110051M20Rik	1	1	24	18	0.0614578422519761
1110059G10Rik	1	0.581579681571001	28	14	0.137887363069553
1300017J02Rik	0.711524315436071	0.113850525760248	28	0	0.0437809417957144
1500002F19Rik	1	1	28	6	0.0872745002200475
1500015O10Rik	1	1	24	18	0.0416741485367056
1600002K03Rik	1	1	24	18	0.111352003565156
1600012H06Rik	1	1	28	4	0.101119139750491
1600014C10Rik	1	0.272744571208113	24	14	0.0752411165318958
1600015I10Rik	1	1	24	16	0.0885416172153589
1700001C02Rik	1	0.272744571208113	24	22	0.0574826679456394
1700001C19Rik	1	0.581579681571001	24	8	0.149904332409389
1700001G17Rik	0.711524315436071	0.113850525760248	28	20	0.131902535037166
1700001K19Rik	1	1	24	18	0.114549270832544
1700001O22Rik	1	0.272744571208113	28	20	0.0933515777791034
1700001P01Rik	1	0.581579681571001	24	22	0.0414325108883497
1700007K13Rik	1	1	28	26	0.0687298753448664
1700009J07Rik	1	1	24	18	0.0802977462791446
1700010I14Rik	1	0.817298910901341	24	2	0.0294845481871074
1700012A03Rik	1	0.403653156899685	28	10	0.0555358129502789
1700012B09Rik	1	0.403653156899685	0	0	0
1700013G24Rik	1	1	24	0	0.0873141415223809
1700016H13Rik	1	0.817298910901341	28	14	0.0863198622204336
1700016K19Rik	1	1	28	26	0.0920641044392408
1700018B08Rik	1	0.581579681571001	24	22	0.097847713142618
1700018B24Rik	1	1	28	24	0.0765755540976527
1700019D03Rik	0.269446436715089	0.012668254135268	24	18	0.0840927867776772
1700019M22Rik	1	1	24	18	0.104511803930782
1700019N19Rik	0.711524315436071	0.113850525760248	24	22	0.115214113153073
1700020D05Rik	0.711524315436071	0.113850525760248	24	20	0.102169969429987
1700020L24Rik	1	0.581579681571001	24	22	0.131465004692776
1700020N01Rik	1	1	24	18	0.0870642768914446
1700021F05Rik	0.151517798908522	0.00312031525573192	28	10	0.152802479327111
1700021F07Rik	1	0.272744571208113	28	20	0.114589683695688
1700025F22Rik	1	1	28	24	0.0795283393721804
1700025G04Rik	1	1	28	20	0.0452583191324466
1700028P14Rik	1	1	28	14	0.0847768913278141
1700029H14Rik	1	0.581579681571001	28	20	0.0498902892229255
1700029I15Rik	1	1	28	10	0.124948444686122
1700029M20Rik	1	0.403653156899685	28	18	0.0544895150955836
1700030J22Rik	1	1	28	16	0.0562335796189614
1700030K09Rik	1	1	24	0	0.1303823653182
1700034E13Rik	0.711524315436071	0.113850525760248	24	22	0.129665052563051
1700034J05Rik	0.351994388818825	0.0234425855780022	24	18	0.0800760160292142
1700037H04Rik	1	1	28	8	0.0451325465971504
1700052K11Rik	1	0.581579681571001	28	22	0.143710297584741
1700065D16Rik	1	1	28	8	0.0801274207958255
1700067K01Rik	1	0.403653156899685	28	20	0.0513744460691432
1700067P10Rik	1	1	24	18	0.0658123877128436
1700073E17Rik	0.269446436715089	0.012668254135268	28	18	0.0584496013260834
1700074P13Rik	0.443532196232051	0.0413614109013415	28	8	0.0684640817162195
1700088E04Rik	1	1	28	14	0.043752793481162
1700093K21Rik	1	1	24	22	0.0356213469973125
1700102P08Rik	1	1	28	14	0.0680649584632011
1700120K04Rik	1	0.581579681571001	24	18	0.0983422806869261
1700123O20Rik	1	0.817298910901341	24	22	0.128889684766718
1700125H20Rik	1	1	28	18	0.078194263142549
1700129C05Rik	1	0.403653156899685	28	14	0.0251724740813431
1810030O07Rik	1	0.403653156899685	28	4	0.102618428694307
1810032O08Rik	1	0.817298910901341	24	18	0.0740078667198253
1810065E05Rik	1	1	28	26	0.0797005557968402
2010003K11Rik	0.269446436715089	0.012668254135268	28	10	0.231369659284084
2010106E10Rik	1	1	24	22	0.0673344897657457
2010204K13Rik	1	1	24	0	0.0273812630463652
2010300C02Rik	1	0.817298910901341	28	14	0.0216352077730254
2200002J24Rik	0.711524315436071	0.113850525760248	24	22	0.168551940640384
2210010C04Rik	1	0.581579681571001	24	22	0.0690214624826651
2210016L21Rik	1	1	24	10	0.0323130560028267
2210407C18Rik	0.872586813336892	0.17901998657207	28	18	0.0927796518027537
2210408I21Rik	1	1	28	0	0.0856259873396749
2300002M23Rik	1	1	28	4	0.120796770243191
