annot	BH.Q	ADJ.P	PER	LAG	AMP
0610009B22Rik	0.537384883946074	0.107618965334864	26	22	0.0810423684421033
0610010F05Rik	1	1	24	10	0.138906910919237
0610012G03Rik	1	0.293670538780989	26	15	0.105797803590429
0610040J01Rik	0.02599567214679	0.00181412135435323	24	11	0.165239342580424
1110004F10Rik	1	1	26	25	0.122855883738868
1110006O24Rik	1	1	26	6	0.216440606562217
1110008L16Rik	1	0.538016926326593	22	2	0.137951190828526
1110008P14Rik	1	1	22	17	0.0584884510258495
1110012L19Rik	1	1	22	10	0.08980163361742
1110017D15Rik	1	1	26	21	0.0634280096208668
1110038F14Rik	0.412295819695125	0.0749424869650993	22	1	0.0986579655239413
1110051M20Rik	1	1	26	5	0.0819423985866908
1110059G10Rik	1	1	26	2	0.144478354533409
1300017J02Rik	0.890804553597098	0.212940224344473	22	4	0.0341859009317898
1500002F19Rik	1	0.715243697753171	22	17	0.164758727825656
1500015O10Rik	1	1	26	4	0.101299286769925
1600002K03Rik	1	1	26	14	0.11196567839077
1600012H06Rik	1	1	22	0	0.0462723648527591
1600014C10Rik	1	0.399929952143191	22	11	0.0650654134208297
1600015I10Rik	1	1	22	16	0.0593757530739882
1700001C02Rik	1	1	26	4	0.153150213271615
1700001C19Rik	1	0.399929952143191	22	7	0.150051720679534
1700001G17Rik	1	1	26	21	0.106902471292738
1700001K19Rik	1	1	26	5	0.143533847762389
1700001O22Rik	1	1	22	13	0.0547735317572243
1700001P01Rik	1	1	26	16	0.10654907916491
1700007K13Rik	1	1	26	20	0.177389576679132
1700009J07Rik	1	1	26	6	0.0769245070962067
1700010I14Rik	1	1	26	25	0.0960284063845389
1700012A03Rik	1	1	26	10	0.124246607313256
1700012B09Rik	1	1	26	21	0.0719859532194418
1700013G24Rik	1	1	26	5	0.154045220833264
1700016H13Rik	1	1	26	11	0.14014450480941
1700016K19Rik	1	1	26	6	0.165984527915601
1700018B08Rik	1	1	26	24	0.0878544510777192
1700018B24Rik	1	1	26	13	0.0731417840869507
1700019D03Rik	1	1	26	21	0.12441937357633
1700019M22Rik	1	1	22	13	0.0801584849155146
1700019N19Rik	1	1	26	12	0.0702827397115345
1700020D05Rik	1	1	26	25	0.14768465068966
1700020L24Rik	1	1	26	22	0.095438165666426
1700020N01Rik	1	1	26	22	0.0930667967360558
1700021F05Rik	1	1	26	4	0.121581610258546
1700021F07Rik	1	1	26	21	0.105028074084965
1700025F22Rik	1	1	24	14	0.0409839036657895
1700025G04Rik	1	1	26	9	0.310390801235259
1700028P14Rik	1	1	22	17	0.0414911613828444
1700029H14Rik	1	1	26	15	0.112646090637548
1700029I15Rik	1	1	26	11	0.108396570740429
1700029M20Rik	1	1	22	16	0.141900820492816
1700030J22Rik	1	1	26	24	0.126603158689533
1700030K09Rik	1	1	24	22	0.0659003664230317
1700034E13Rik	1	1	22	0	0.0818897030468354
1700034J05Rik	1	1	26	4	0.234644802475353
1700037H04Rik	1	0.715243697753171	26	6	0.135755663983114
1700052K11Rik	1	0.464562129644362	26	19	0.0932565105478903
1700065D16Rik	1	0.399929952143191	22	15	0.0603996113285858
1700067K01Rik	1	1	26	15	0.112498398027057
1700067P10Rik	1	1	26	10	0.0964474089667063
1700073E17Rik	1	0.821102067263864	24	23	0.0995790368491726
1700074P13Rik	1	1	26	14	0.0550823873038271
1700088E04Rik	1	1	26	10	0.0724171526733114
1700093K21Rik	1	1	24	12	0.108650505292045
1700102P08Rik	1	0.464562129644362	22	15	0.159980580958198
1700120K04Rik	1	1	26	7	0.206659173603736
1700123O20Rik	1	1	26	18	0.141414312846195
1700125H20Rik	1	0.939954532354526	22	10	0.078593336825126
1700129C05Rik	1	1	26	2	0.100440226747151
1810030O07Rik	1	0.538016926326593	24	3	0.162186278596647
1810032O08Rik	1	1	22	16	0.126422809563474
1810065E05Rik	1	1	26	6	0.0768034471053073
2010003K11Rik	0.0375966255397353	0.00300644448868415	22	8	0.11339061469473
2010106E10Rik	1	1	26	15	0.0978266699010988
2010204K13Rik	1	1	26	10	0.155244713990764
2010300C02Rik	1	1	26	10	0.0578845007198026
2200002J24Rik	1	1	26	5	0.0672828540172686
2210010C04Rik	0.610733231185078	0.128288150753285	22	11	0.0901163936198116
2210016L21Rik	1	1	26	6	0.158813219979652
2210407C18Rik	0.201941913182725	0.0284363340602345	26	9	0.140405973941866
2210408I21Rik	1	1	26	17	0.216557513011003
2300002M23Rik	1	1	24	16	0.0709648853033791
2310002L09Rik	1	1	26	13	0.122643331084434
2310011J03Rik	1	1	26	4	0.0995025920896819
2310022A10Rik	1	1	26	4	0.0493077347523518
2310022B05Rik	0.695439456255518	0.152404357059416	26	7	0.0528319262301763
2310030G06Rik	1	1	24	4	0.113240990518876
2310033P09Rik	1	0.464562129644362	22	6	0.0774118461512322
2310034C09Rik	1	1	24	16	0.0786991354986793
2310039H08Rik	1	1	26	18	0.08460934248619
2310057M21Rik	1	0.343238762701059	22	18	0.0904138818078901
2310057N15Rik	1	1	26	24	0.123172761798111
2310067E19Rik	1	0.621240468019619	26	14	0.0541899823922647
2410004B18Rik	1	1	22	14	0.0798992702249132
2410137M14Rik	1	1	26	10	0.113026691854586
2510009E07Rik	1	1	22	21	0.0982258107613187
2510039O18Rik	1	1	26	3	0.0597725791194082
2610001J05Rik	1	1	24	4	0.0803195983714239
2610008E11Rik	1	1	26	0	0.120710666029493
2610028H24Rik	1	1	26	13	0.0771512058147378
2610507B11Rik	1	0.399929952143191	22	16	0.0560953747543266
2610528J11Rik	0.000410896039641296	6.48211812614105e-06	22	4	0.296816919541
2700097O09Rik	1	1	26	19	0.151971789521029
2810004N23Rik	1	1	22	2	0.0768500861700246
2810006K23Rik	1	0.293670538780989	24	22	0.0652597404958895
2810025M15Rik	1	1	26	12	0.0758874040260629
2810032G03Rik	1	1	24	21	0.0365434198226458
2810408A11Rik	1	1	26	10	0.0752008889435067
2900005J15Rik	1	1	26	10	0.121354605154496
2900026A02Rik	0.0177343145412541	0.00107221764944791	24	8	0.190563898421973
3110009E18Rik	1	1	26	17	0.0833645319365048
3110040N11Rik	1	1	26	24	0.112488537868197
3110070M22Rik	1	1	26	21	0.086247910613099
3110082I17Rik	0.173441365154906	0.0231560666254374	26	8	0.0982243795023587
3300002I08Rik	1	1	26	1	0.103443871216761
3830406C13Rik	1	0.464562129644362	26	24	0.120943282724004
3830417A13Rik	1	1	26	10	0.114307631497584
4430402I18Rik	0.00778817659924899	0.000350431632807364	26	25	0.176559326909649
4632404H12Rik	1	1	24	10	0.0994728128045414
4632415L05Rik	1	1	24	22	0.0371532086521867
4833420G17Rik	1	0.621240468019619	22	9	0.11631311192535
4833427G06Rik	1	1	26	21	0.091668651371842
4921504E06Rik	1	0.715243697753171	22	12	0.0387876334598528
4921507P07Rik	1	1	22	6	0.0327166322317048
4921517D22Rik	1	0.715243697753171	22	13	0.0897346323687857
4921524J17Rik	0.610733231185078	0.128288150753285	22	19	0.215902865125507
4921524L21Rik	1	1	26	11	0.0793823557849978
4921530L21Rik	1	1	26	6	0.109080651389789
4921536K21Rik	1	1	26	21	0.113020529224131
4922502D21Rik	1	1	26	22	0.0936112527989561
4930415O20Rik	0.99262129125789	0.250469484979357	22	0	0.0811114894377446
4930429B21Rik	1	1	26	20	0.209926180527703
4930430A15Rik	1	1	22	14	0.042950512810558
4930430F08Rik	1	0.621240468019619	22	19	0.132006374358094
4930432K21Rik	1	1	24	12	0.110955155807008
4930433N12Rik	0.99262129125789	0.250469484979357	26	9	0.309779564218903
4930447C04Rik	1	1	22	2	0.0346664514320476
4930451I11Rik	1	1	26	11	0.106994126745861
4930452B06Rik	1	1	22	11	0.0783519801832215
4930465K10Rik	1	1	26	4	0.161449506961229
4930470P17Rik	1	1	26	10	0.121414520747313
4930471G03Rik	1	1	24	8	0.0660150718907582
4930474N05Rik	1	1	26	15	0.118983082392677
4930483J18Rik	1	1	26	4	0.0979353263351261
4930486L24Rik	1	1	24	16	0.0670706801253199
4930503B20Rik	1	1	22	12	0.0741382611339854
4930503L19Rik	1	1	26	17	0.15781626603826
4930505A04Rik	1	1	26	4	0.118846132884023
4930515G01Rik	1	1	22	13	0.0892101814218397
4930519G04Rik	1	1	26	13	0.156045916008285
