annot	BH.Q	ADJ.P	PER	LAG	AMP
0610009B22Rik	0.777203483014786	0.113850525760248	24	22	0.189618341355242
0610010F05Rik	1	1	24	18	0.196404115756916
0610012G03Rik	1	1	28	14	0.148075329816043
0610040J01Rik	0.96872547822094	0.17901998657207	24	8	0.164378430057561
1110004F10Rik	1	1	24	0	0.0534157916524073
1110006O24Rik	1	0.817298910901341	24	8	0.0538727928315814
1110008L16Rik	1	0.403653156899685	24	22	0.134909840400149
1110008P14Rik	1	1	24	10	0.0623825402609291
1110012L19Rik	1	1	28	10	0.218817265913599
1110017D15Rik	1	1	24	10	0.0904692468761606
1110038F14Rik	1	1	24	22	0.104940780606591
1110051M20Rik	0.96872547822094	0.17901998657207	24	6	0.134063153924881
1110059G10Rik	1	1	28	18	0.175194607817173
1300017J02Rik	1	1	28	26	0.0361472533016141
1500002F19Rik	1	0.272744571208113	24	14	0.111608998108055
1500015O10Rik	1	1	28	2	0.170047513949206
1600002K03Rik	1	1	28	14	0.172457011272604
1600012H06Rik	1	1	24	22	0.0879393120416861
1600014C10Rik	1	1	28	22	0.0588329384047775
1600015I10Rik	1	1	28	0	0.131807442971559
1700001C02Rik	1	1	28	8	0.125541673855413
1700001C19Rik	0.96872547822094	0.17901998657207	24	22	0.0705697136086376
1700001G17Rik	1	1	28	12	0.158815179488239
1700001K19Rik	1	0.581579681571001	28	4	0.0732598152176259
1700001O22Rik	1	1	24	6	0.110658407021465
1700001P01Rik	1	1	28	14	0.174020833909328
1700007K13Rik	1	1	24	10	0.0650987263934287
1700009J07Rik	1	1	28	2	0.0625317814825972
1700010I14Rik	1	1	28	26	0.0960635580675291
1700012A03Rik	1	1	28	24	0.0487929580884479
1700012B09Rik	1	1	28	20	0.0509143847613301
1700013G24Rik	1	0.272744571208113	28	8	0.0338456714435184
1700016H13Rik	1	1	28	2	0.228392393330059
1700016K19Rik	1	1	24	6	0.165880721997416
1700018B08Rik	1	1	28	20	0.145930009073646
1700018B24Rik	1	1	24	12	0.0453061926257549
1700019D03Rik	1	1	28	16	0.0332269779029177
1700019M22Rik	1	1	28	20	0.153252240635373
1700019N19Rik	1	1	24	10	0.0815640641111079
1700020D05Rik	1	1	24	18	0.0484670671416403
1700020L24Rik	1	1	24	6	0.0623333097415479
1700020N01Rik	1	1	28	20	0.188517332110053
1700021F05Rik	1	1	28	8	0.202816640372255
1700021F07Rik	1	0.581579681571001	24	4	0.0734103316942247
1700025F22Rik	1	1	28	14	0.0973953088628577
1700025G04Rik	0.96872547822094	0.17901998657207	24	12	0.116961560207565
1700028P14Rik	1	1	28	14	0.0574602512142729
1700029H14Rik	1	0.581579681571001	24	8	0.099760898596774
1700029I15Rik	1	1	28	26	0.0793595272799338
1700029M20Rik	1	1	28	24	0.370808577545665
1700030J22Rik	1	1	28	20	0.207876735140744
1700030K09Rik	1	1	24	22	0.124126524174108
1700034E13Rik	1	1	24	12	0.125323921643745
1700034J05Rik	1	0.403653156899685	24	6	0.152960256258972
1700037H04Rik	0.295853165540161	0.012668254135268	28	2	0.222606677200468
1700052K11Rik	1	1	28	20	0.134449598047399
1700065D16Rik	1	0.272744571208113	28	8	0.0807101277069089
1700067K01Rik	1	1	28	2	0.0851583931878868
1700067P10Rik	1	1	28	8	0.0602273636378685
1700073E17Rik	1	0.817298910901341	24	2	0.13867397345142
1700074P13Rik	1	1	28	12	0.0952076674558728
1700088E04Rik	1	1	28	2	0.126670154498149
1700093K21Rik	1	1	28	26	0.146150745540469
1700102P08Rik	1	0.817298910901341	24	10	0.0329246999076021
1700120K04Rik	0.614781007108629	0.0699440001870557	28	4	0.218371443649581
1700123O20Rik	0.777203483014786	0.113850525760248	28	18	0.0653779443889629
1700125H20Rik	0.777203483014786	0.113850525760248	24	6	0.193325809963864
1700129C05Rik	1	1	28	24	0.0656042107098237
1810030O07Rik	1	0.403653156899685	24	22	0.177367679041442
1810032O08Rik	1	1	28	8	0.151600433406725
1810065E05Rik	1	0.581579681571001	24	10	0.0673542476771062
2010003K11Rik	0.96872547822094	0.17901998657207	24	4	0.110422825164094
2010106E10Rik	1	1	28	12	0.159764549257855
2010204K13Rik	1	1	28	8	0.297432601855477
2010300C02Rik	1	1	28	2	0.160577114313651
2200002J24Rik	1	1	28	2	0.130805989899494
2210010C04Rik	0.483413837855097	0.0413614109013415	24	8	0.100070644043501
2210016L21Rik	1	1	28	0	0.126710394774061
2210407C18Rik	1	0.403653156899685	28	8	0.0688455450216591
2210408I21Rik	1	1	28	16	0.367741586226652
2300002M23Rik	1	1	28	2	0.191478222943796
2310002L09Rik	1	1	28	12	0.127647188607491
2310011J03Rik	1	1	24	6	0.0954579279991788
2310022A10Rik	1	1	28	2	0.105609015618735
2310022B05Rik	0.295853165540161	0.012668254135268	24	6	0.115157213002968
2310030G06Rik	1	0.272744571208113	28	22	0.0977695556806808
2310033P09Rik	1	1	28	4	0.0978797425436425
2310034C09Rik	0.777203483014786	0.113850525760248	28	8	0.0289114571410946
2310039H08Rik	1	1	24	10	0.0498595112344481
2310057M21Rik	1	0.817298910901341	28	16	0.185857974461239
2310057N15Rik	1	1	28	16	0.0565733209965836
2310067E19Rik	1	0.581579681571001	24	14	0.119043643072008
2410004B18Rik	1	1	28	18	0.118753953246146
2410137M14Rik	1	1	24	12	0.122718801630423
2510009E07Rik	1	1	28	20	0.194549685250734
2510039O18Rik	1	1	24	0	0.0866826827051712
2610001J05Rik	1	1	24	0	0.108762153770093
2610008E11Rik	1	1	28	26	0.0995407462428413
2610028H24Rik	1	1	28	2	0.0950910274037783
2610507B11Rik	1	0.817298910901341	24	16	0.0827402644616807
2610528J11Rik	0.213440484041418	0.00648548564347175	28	26	0.303633380444332
2700097O09Rik	1	1	28	18	0.216019645765941
2810004N23Rik	1	1	24	18	0.0662830419254636
2810006K23Rik	0.483413837855097	0.0413614109013415	24	20	0.19234538294174
2810025M15Rik	1	1	28	10	0.0736379193522531
2810032G03Rik	1	1	28	2	0.107194019371331
2810408A11Rik	1	1	28	2	0.157048417482404
2900005J15Rik	1	1	24	8	0.0663214430854155
2900026A02Rik	0.483413837855097	0.0413614109013415	28	4	0.194329677414239
3110009E18Rik	1	0.581579681571001	28	22	0.059957930676645
3110040N11Rik	1	1	28	22	0.183758499057939
3110070M22Rik	1	1	28	10	0.0407092876737064
3110082I17Rik	0.381847077490801	0.0234425855780022	28	4	0.122103783738136
3300002I08Rik	1	0.817298910901341	28	0	0.11026766301372
3830406C13Rik	1	1	28	26	0.131689178262236
3830417A13Rik	1	0.817298910901341	28	8	0.0262738473850172
4430402I18Rik	0.295853165540161	0.012668254135268	28	24	0.152478806237308
4632404H12Rik	1	1	28	16	0.150834351738864
4632415L05Rik	1	1	28	8	0.0429186303000287
4833420G17Rik	1	1	28	8	0.105511247169491
4833427G06Rik	1	1	28	20	0.171088771384383
4921504E06Rik	0.96872547822094	0.17901998657207	24	6	0.0513773076640361
4921507P07Rik	1	1	28	10	0.100473091983784
4921517D22Rik	1	0.403653156899685	24	10	0.120409647013481
4921524J17Rik	0.96872547822094	0.17901998657207	28	16	0.0863674154802063
4921524L21Rik	1	0.581579681571001	28	10	0.0683772440940492
4921530L21Rik	0.614781007108629	0.0699440001870557	28	8	0.267307496640892
4921536K21Rik	1	1	24	12	0.0802458836659339
