annot	BH.Q	ADJ.P	PER	LAG	AMP
0610009B22Rik	1	1	28	26	0.225948290700149
0610010F05Rik	1	0.581579681571001	28	8	0.182492134705076
0610012G03Rik	0.307119812740024	0.0413614109013415	24	18	0.101900074150475
0610040J01Rik	0.186090290197065	0.012668254135268	28	12	0.190816133622476
1110004F10Rik	1	1	28	26	0.197536535756567
1110006O24Rik	1	1	24	22	0.0706809116060996
1110008L16Rik	1	1	28	20	0.10291618112477
1110008P14Rik	1	1	28	16	0.0584261723507814
1110012L19Rik	1	1	28	24	0.26561773312939
1110017D15Rik	1	0.581579681571001	24	22	0.0968659937333467
1110038F14Rik	0.840641231690059	0.272744571208113	24	0	0.0734830530685035
1110051M20Rik	1	1	28	16	0.053860839090752
1110059G10Rik	1	0.817298910901341	24	6	0.154551691760097
1300017J02Rik	1	0.581579681571001	24	2	0.0744302362486753
1500002F19Rik	1	1	28	18	0.169175688836929
1500015O10Rik	1	1	24	12	0.10252955631885
1600002K03Rik	1	1	28	24	0.153937620373687
1600012H06Rik	1	1	28	14	0.0882746083653322
1600014C10Rik	0.243273541304623	0.0234425855780022	24	10	0.140740705847548
1600015I10Rik	0.840641231690059	0.272744571208113	28	16	0.0420995622955463
1700001C02Rik	1	0.817298910901341	28	26	0.0683758994128777
1700001C19Rik	1	0.817298910901341	24	8	0.192110042189801
1700001G17Rik	0.519697965761927	0.113850525760248	24	0	0.0704155390426497
1700001K19Rik	1	1	28	4	0.211268501173745
1700001O22Rik	1	0.403653156899685	24	18	0.0660004551349706
1700001P01Rik	1	1	28	18	0.0995323174716874
1700007K13Rik	1	0.403653156899685	24	22	0.178028060881807
1700009J07Rik	1	1	28	4	0.118075615764187
1700010I14Rik	1	1	24	0	0.0740811510215057
1700012A03Rik	1	1	28	12	0.172423155624854
1700012B09Rik	1	1	28	22	0.106802992793862
1700013G24Rik	1	1	28	4	0.113656281062324
1700016H13Rik	1	1	28	10	0.071779159571894
1700016K19Rik	1	1	28	6	0.156823339892532
1700018B08Rik	1	1	28	0	0.105231350416635
1700018B24Rik	1	1	28	12	0.0525427840425928
1700019D03Rik	0.401803301074568	0.0699440001870557	28	24	0.109169322836015
1700019M22Rik	1	1	24	12	0.178228787545946
1700019N19Rik	1	1	28	18	0.0952807479143424
1700020D05Rik	1	0.817298910901341	28	26	0.10096612372737
1700020L24Rik	1	0.581579681571001	24	0	0.0923851558089651
1700020N01Rik	1	1	28	22	0.197170271311025
1700021F05Rik	0.307119812740024	0.0413614109013415	28	24	0.204752115124788
1700021F07Rik	0.66082306001417	0.17901998657207	24	22	0.149997328183371
1700025F22Rik	1	1	28	12	0.0130385913175149
1700025G04Rik	1	0.403653156899685	28	8	0.577285483555176
1700028P14Rik	1	1	28	14	0.0290325299053141
1700029H14Rik	0.66082306001417	0.17901998657207	24	18	0.0979342218268277
1700029I15Rik	1	0.403653156899685	28	18	0.133241679920972
1700029M20Rik	0.66082306001417	0.17901998657207	28	14	0.00332715363016632
1700030J22Rik	1	1	24	0	0.116328619753838
1700030K09Rik	1	1	28	18	0.0532866653984439
1700034E13Rik	1	1	28	26	0.125139696497509
1700034J05Rik	1	0.581579681571001	28	26	0.0677926532427901
1700037H04Rik	1	1	28	22	0.0627914498789556
1700052K11Rik	0.307119812740024	0.0413614109013415	24	22	0.185922579680385
1700065D16Rik	1	1	24	12	0.0715471994764262
1700067K01Rik	1	1	28	22	0.0908214892449887
1700067P10Rik	1	1	24	18	0.12799692735313
1700073E17Rik	0.401803301074568	0.0699440001870557	24	0	0.195127091076916
1700074P13Rik	1	0.581579681571001	24	10	0.039644504218796
1700088E04Rik	1	1	28	20	0.0874749913189338
1700093K21Rik	0.307119812740024	0.0413614109013415	24	16	0.0815144116254366
1700102P08Rik	1	1	28	20	0.119400507567527
1700120K04Rik	1	0.817298910901341	28	14	0.294935912279395
1700123O20Rik	1	1	28	18	0.232318858907566
1700125H20Rik	1	1	28	18	0.17904371528825
1700129C05Rik	1	0.581579681571001	28	4	0.0864681580724611
1810030O07Rik	0.66082306001417	0.17901998657207	24	6	0.110536910538639
1810032O08Rik	1	0.581579681571001	24	14	0.06064745991137
1810065E05Rik	1	1	28	26	0.0844825012905335
2010003K11Rik	1	0.817298910901341	24	8	0.0717747991367916
2010106E10Rik	1	1	28	24	0.0284586122022477
2010204K13Rik	1	1	24	6	0.12540804855086
2010300C02Rik	1	1	28	16	0.0817841902154851
2200002J24Rik	1	1	28	22	0.202484530251831
2210010C04Rik	1	0.581579681571001	24	14	0.0737494864217471
2210016L21Rik	1	0.581579681571001	28	4	0.175476280863479
2210407C18Rik	0.519697965761927	0.113850525760248	28	8	0.153596862273552
2210408I21Rik	0.519697965761927	0.113850525760248	24	12	0.217043804345746
2300002M23Rik	1	0.403653156899685	24	22	0.129435059123569
2310002L09Rik	1	1	28	4	0.14341635622274
2310011J03Rik	1	0.581579681571001	24	0	0.0710788710902308
2310022A10Rik	1	1	28	22	0.0818940980789067
2310022B05Rik	1	1	28	4	0.0803534191650897
2310030G06Rik	1	1	28	4	0.0856658994751909
2310033P09Rik	0.840641231690059	0.272744571208113	24	4	0.0776630765141673
2310034C09Rik	1	1	28	18	0.076124783564806
2310039H08Rik	0.519697965761927	0.113850525760248	28	20	0.119031200345056
2310057M21Rik	1	1	24	18	0.135811004203115
2310057N15Rik	1	1	28	4	0.272709381731243
2310067E19Rik	1	0.403653156899685	28	16	0.0548947042305698
2410004B18Rik	1	1	28	18	0.076558055234908
2410137M14Rik	1	1	28	6	0.100706826555756
2510009E07Rik	1	1	24	22	0.0853440172374253
2510039O18Rik	1	1	24	22	0.02482299497044
2610001J05Rik	1	1	28	2	0.0649206933174764
2610008E11Rik	1	1	24	0	0.133744070409805
2610028H24Rik	1	1	28	20	0.172263525257378
2610507B11Rik	0.66082306001417	0.17901998657207	24	12	0.0518944069232898
2610528J11Rik	0.0988970854944788	0.00312031525573192	24	2	0.306862992833004
2700097O09Rik	1	1	28	8	0.205881825557428
2810004N23Rik	1	1	24	0	0.0620298077122647
2810006K23Rik	1	1	28	6	0.137521166183611
2810025M15Rik	1	0.581579681571001	24	18	0.0784596097418029
2810032G03Rik	1	1	24	22	0.0532761937075884
2810408A11Rik	1	1	28	18	0.0954796699589949
2900005J15Rik	1	1	28	10	0.129432726654236
2900026A02Rik	0.66082306001417	0.17901998657207	24	10	0.187501565017299
3110009E18Rik	1	1	28	14	0.111995273836538
3110040N11Rik	1	1	24	2	0.041155065033501
3110070M22Rik	1	0.581579681571001	24	16	0.0104065301398316
3110082I17Rik	0.66082306001417	0.17901998657207	24	12	0.131413835410589
3300002I08Rik	1	1	28	6	0.103380905847964
3830406C13Rik	0.186090290197065	0.012668254135268	24	4	0.101516537429536
3830417A13Rik	1	1	28	10	0.151335907832582
4430402I18Rik	0.307119812740024	0.0413614109013415	28	24	0.167144256902024
4632404H12Rik	1	1	28	8	0.124231373975435
4632415L05Rik	1	1	28	22	0.0858659088428331
4833420G17Rik	1	0.581579681571001	24	10	0.147246257680545
4833427G06Rik	1	1	28	0	0.100044548986779
4921504E06Rik	1	0.581579681571001	24	14	0.0504207460688975
4921507P07Rik	1	1	28	2	0.0894117676400602
4921517D22Rik	1	1	28	12	0.121042079137352
4921524J17Rik	1	0.817298910901341	24	20	0.134400194790528
4921524L21Rik	1	1	28	22	0.14331387586249
4921530L21Rik	1	1	28	24	0.0683166043629814
4921536K21Rik	1	1	28	22	0.162191704294547
4922502D21Rik	1	0.403653156899685	28	22	0.205282295845272
4930415O20Rik	0.66082306001417	0.17901998657207	24	22	0.088626624077615
4930429B21Rik	1	1	28	22	0.307700693959514
4930430A15Rik	1	1	28	22	0.0147138724990152
4930430F08Rik	1	1	28	18	0.135108681261857
4930432K21Rik	1	1	28	22	0.30766469974553
4930433N12Rik	1	0.403653156899685	28	8	0.344788781022076
4930447C04Rik	0.0699230461616973	0.00139650472983806	24	0	0.0372755716614305
4930451I11Rik	1	1	24	22	0.105193926485779
4930452B06Rik	1	1	28	18	0.119239250031966
4930465K10Rik	1	0.403653156899685	24	18	0.035085323580932
4930470P17Rik	1	1	28	16	0.130950105779629
4930471G03Rik	0.66082306001417	0.17901998657207	24	14	0.182485041731304
4930474N05Rik	1	1	28	20	0.135020581753963
4930483J18Rik	1	1	28	24	0.0661430985873261
4930486L24Rik	1	0.403653156899685	24	18	0.0856178177131045
4930503B20Rik	1	1	24	20	0.048965409436426
4930503L19Rik	1	1	24	18	0.065867814367306
4930505A04Rik	1	1	28	0	0.107462563572659
4930515G01Rik	1	1	28	22	0.127718991357876
4930519G04Rik	1	1	28	22	0.062047767368706
4930522H14Rik	1	0.403653156899685	24	10	0.0556497934259184
4930524B15Rik	1	1	28	18	0.128551750045832
4930539E08Rik	1	1	28	0	0.10453023929791
4930544G11Rik	0.519697965761927	0.113850525760248	24	2	0.174629445583822
4930544M13Rik	1	1	28	26	0.0825571411872736
4930548H24Rik	1	1	24	0	0.048884240235253
4930550C14Rik	1	1	28	8	0.0605958412325824
4930556L07Rik	1	1	28	22	0.119448453017769
4930578I06Rik	1	1	28	12	0.233235045824547
4930579K19Rik	0.307119812740024	0.0413614109013415	24	0	0.125316622838553
4930591A17Rik	1	1	28	12	0.164365883411098
4931406B18Rik	0.840641231690059	0.272744571208113	24	20	0.121352105527914
4931406C07Rik	1	0.817298910901341	28	16	0.0599229961970609
4931406H21Rik	1	0.403653156899685	28	10	0.0232537110141038
4931414P19Rik	0.66082306001417	0.17901998657207	28	22	0.193600025597138
4931417E11Rik	0.401803301074568	0.0699440001870557	24	22	0.129221136836044
4931428F04Rik	1	1	28	22	0.107035385981729
4931428L18Rik	1	1	28	6	0.0845437128856954
4931429L15Rik	1	0.817298910901341	24	20	0.0461370789259633
4931431C16Rik	1	0.817298910901341	24	22	0.110933946754653
4932414N04Rik	1	1	28	12	0.0674334953728655
4932435O22Rik	1	1	28	12	0.240445644120528
4932438A13Rik	0.307119812740024	0.0413614109013415	24	2	0.321530350974609
4932438H23Rik	1	1	28	22	0.114503554677074
4933400A11Rik	1	1	28	14	0.0909782864396698
4933402J07Rik	0.519697965761927	0.113850525760248	24	18	0.132713787667446
4933404G15Rik	1	1	28	6	0.0294611074502182
4933411K16Rik	1	1	24	6	0.195517886794026
4933414I15Rik	1	1	28	14	0.116967551228032
4933415F23Rik	1	1	28	22	0.221302718712365
4933425L06Rik	1	1	28	10	0.0913392848083096
4933427D06Rik	1	1	28	0	0.108633801262867
4933427D14Rik	1	1	28	20	0.0212897657288018
