annot	BH.Q	ADJ.P	PER	LAG	AMP
0610009B22Rik	0.00935748875816346	0.00139838754133885	24	3	0.146485346103679
0610010F05Rik	1	1	26	23	0.083422773765897
0610012G03Rik	1	1	22	18	0.046246873124093
0610040J01Rik	0.0361475265553678	0.00778964028116529	24	19	0.100383920276243
1110004F10Rik	0.0519991995864902	0.0121996878731438	26	4	0.106334105739913
1110006O24Rik	1	1	26	14	0.0813414831778016
1110008L16Rik	0.0207965028509905	0.00384156724252443	22	7	0.0875690301657131
1110008P14Rik	7.16026352581254e-05	1.99205342107623e-06	26	1	0.151661775696951
1110012L19Rik	1	1	26	12	0.0872194864285801
1110017D15Rik	1	1	22	20	0.0406521495553604
1110038F14Rik	0.0361475265553678	0.00778964028116529	24	5	0.0935455210693816
1110051M20Rik	0.640609000344764	0.293670538780989	24	16	0.0215114904167665
1110059G10Rik	1	1	24	8	0.108214400408151
1300017J02Rik	1	1	24	10	0.0173740322715352
1500002F19Rik	1	1	26	22	0.0623736898430824
1500015O10Rik	1	0.538016926326593	26	12	0.0538741144039881
1600002K03Rik	1	1	26	10	0.0552646698064977
1600012H06Rik	0.0729217706979285	0.0187801327395815	24	7	0.088251417512755
1600014C10Rik	0.000378883146591796	1.94623686584689e-05	22	16	0.152855798466067
1600015I10Rik	1	1	26	17	0.0677326581100691
1700001C02Rik	0.725373033082152	0.343238762701059	24	19	0.0526192393019054
1700001C19Rik	0.101334463219911	0.0284363340602345	24	10	0.120434088365632
1700001G17Rik	1	1	26	17	0.0389241734400929
1700001K19Rik	1	1	26	14	0.0787634284226822
1700001O22Rik	1	1	26	14	0.0910590246753881
1700001P01Rik	1	1	26	19	0.0618365325715276
1700007K13Rik	1	1	26	0	0.0505675532658155
1700009J07Rik	0.640609000344764	0.293670538780989	24	17	0.0585481023455555
1700010I14Rik	0.0252353804861607	0.00488508958587397	26	6	0.138667643686664
1700012A03Rik	1	1	26	14	0.1011146520974
1700012B09Rik	1	1	26	10	0.0230573855775879
1700013G24Rik	1	1	26	16	0.0543368581680786
1700016H13Rik	1	0.715243697753171	26	17	0.00452262807727369
1700016K19Rik	1	1	26	14	0.0949335790994915
1700018B08Rik	1	1	26	14	0.0759941878927172
1700018B24Rik	1	1	26	17	0.100538437952004
1700019D03Rik	1	1	24	18	0.0316486476049735
1700019M22Rik	0.33765840128723	0.128288150753285	26	17	0.0474570479056638
1700019N19Rik	0.499565142545975	0.212940224344473	26	15	0.0492395033230701
1700020D05Rik	1	1	26	24	0.0789665447296199
1700020L24Rik	1	1	26	14	0.109409513843419
1700020N01Rik	1	1	26	21	0.0975805982404397
1700021F05Rik	1	1	26	12	0.0625295514651701
1700021F07Rik	1	0.538016926326593	24	18	0.0396788421749247
1700025F22Rik	1	1	26	21	0.0266192866629496
1700025G04Rik	1	1	26	19	0.0636097211996957
1700028P14Rik	1	1	26	15	0.0656994270327096
1700029H14Rik	0.0114319851066686	0.00181412135435323	26	15	0.0638168950488117
1700029I15Rik	1	1	24	22	0.0192263028285199
1700029M20Rik	1	1	22	16	0.0437369309397081
1700030J22Rik	1	0.821102067263864	24	16	0.0449610554767047
1700030K09Rik	0.00100157897503529	7.54219790806029e-05	24	5	0.0733594563458961
1700034E13Rik	1	1	26	18	0.0588113743743093
1700034J05Rik	1	1	26	14	0.087116663692748
1700037H04Rik	1	1	26	14	0.0934695421581448
1700052K11Rik	0.189899568805781	0.0622028817622292	22	3	0.0684987104186118
1700065D16Rik	1	1	26	15	0.0586151678732598
1700067K01Rik	1	1	24	20	0.048207216818717
