annot	BH.Q	ADJ.P	PER	LAG	AMP
0610009B22Rik	0.0465549815118036	0.00139650472983806	28	26	0.161363348500561
0610010F05Rik	0.66095614732693	0.272744571208113	24	18	0.0823685260418087
0610012G03Rik	1	0.817298910901341	28	16	0.0262231809060417
0610040J01Rik	0.153829266301751	0.0234425855780022	28	14	0.0274914501006801
1110004F10Rik	0.0839589831591494	0.00648548564347175	28	2	0.0751261060954585
1110006O24Rik	1	1	28	6	0.0840233152743385
1110008L16Rik	0.851788918167455	0.403653156899685	24	4	0.0402374454569827
1110008P14Rik	0.0465549815118036	0.00139650472983806	24	2	0.133129201942171
1110012L19Rik	1	1	24	12	0.0440532802031012
1110017D15Rik	1	1	28	22	0.0392472731096621
1110038F14Rik	1	1	28	0	0.071525416879382
1110051M20Rik	0.501989363087687	0.17901998657207	24	16	0.0327916661554582
1110059G10Rik	1	1	24	6	0.0953477095266551
1300017J02Rik	1	1	28	20	0.013008668280301
1500002F19Rik	0.378952034527385	0.113850525760248	28	26	0.0679953324494396
1500015O10Rik	1	1	28	6	0.0577099170060348
1600002K03Rik	0.11344126250009	0.012668254135268	28	12	0.0621663790188296
1600012H06Rik	0.0360103608187958	0.000573680755972423	28	6	0.0736797211911085
1600014C10Rik	0.11344126250009	0.012668254135268	24	14	0.182559322735538
1600015I10Rik	1	1	28	24	0.0471478331325563
1700001C02Rik	0.11344126250009	0.012668254135268	24	18	0.0585406731845102
1700001C19Rik	0.501989363087687	0.17901998657207	24	8	0.0705286888639922
1700001G17Rik	1	1	28	22	0.0987891749404612
1700001K19Rik	1	1	28	12	0.0654595891876688
1700001O22Rik	0.378952034527385	0.113850525760248	28	12	0.112546693900207
1700001P01Rik	1	0.581579681571001	24	16	0.0590089883095987
1700007K13Rik	1	0.581579681571001	28	2	0.0459934939650719
1700009J07Rik	1	1	28	6	0.0238446456292637
1700010I14Rik	0.282853360907301	0.0699440001870557	24	6	0.188055695623295
1700012A03Rik	1	1	28	10	0.0308823793331966
1700012B09Rik	1	1	28	18	0.0412962414410578
1700013G24Rik	1	1	24	22	0.0271334443119361
1700016H13Rik	1	1	28	4	0.0293107733820642
1700016K19Rik	1	1	28	12	0.0655884253002391
1700018B08Rik	1	1	28	6	0.0732277763786635
1700018B24Rik	0.851788918167455	0.403653156899685	24	22	0.0382730268717685
1700019D03Rik	0.501989363087687	0.17901998657207	24	18	0.0369786308948251
1700019M22Rik	1	0.817298910901341	24	18	0.0209701664612687
1700019N19Rik	1	0.817298910901341	28	18	0.0531398489791522
1700020D05Rik	1	1	28	16	0.0555878750648132
1700020L24Rik	1	1	24	10	0.0166808534744019
1700020N01Rik	1	1	28	20	0.0609972556950966
1700021F05Rik	1	1	24	10	0.0199479532479145
1700021F07Rik	0.501989363087687	0.17901998657207	28	14	0.033819203721232
1700025F22Rik	1	1	24	18	0.0196006417339513
1700025G04Rik	1	1	28	18	0.0836572087511691
1700028P14Rik	1	1	28	12	0.0121878262705225
1700029H14Rik	0.501989363087687	0.17901998657207	24	16	0.0504156293156736
1700029I15Rik	1	0.581579681571001	24	22	0.0425520556711922
1700029M20Rik	1	1	28	4	0.0595118180048685
1700030J22Rik	1	1	28	14	0.0488741168302913
1700030K09Rik	0.378952034527385	0.113850525760248	24	4	0.0679467352706016
1700034E13Rik	1	1	28	16	0.0545704434697025
1700034J05Rik	0.851788918167455	0.403653156899685	28	14	0.130913278026878
1700037H04Rik	1	1	28	12	0.0415780849599783
1700052K11Rik	1	1	24	22	0.0418344302585726
1700065D16Rik	1	1	28	14	0.0511387938080317
1700067K01Rik	0.501989363087687	0.17901998657207	28	12	0.0337725004929907
1700067P10Rik	1	1	28	12	0.0432056697206671
1700073E17Rik	0.378952034527385	0.113850525760248	24	16	0.081625295187097
1700074P13Rik	1	1	28	20	0.0442041428894405
1700088E04Rik	1	1	24	18	0.0290499495838285
1700093K21Rik	1	1	28	18	0.0512257484123696
1700102P08Rik	1	1	28	26	0.0262231659875225
1700120K04Rik	1	1	28	6	0.0425963847782614
1700123O20Rik	1	1	28	26	0.0683974906889835
1700125H20Rik	1	0.581579681571001	28	18	0.0185247386566169
1700129C05Rik	1	1	28	22	0.0174237201664551
1810030O07Rik	0.153829266301751	0.0234425855780022	24	6	0.253737627232919
1810032O08Rik	1	0.817298910901341	28	12	0.0390952123060313
1810065E05Rik	1	1	24	0	0.0180427105279525
2010003K11Rik	0.66095614732693	0.272744571208113	24	12	0.0995841457702215
2010106E10Rik	0.66095614732693	0.272744571208113	28	22	0.112053430301659
2010204K13Rik	1	1	28	26	0.0459202469360548
2010300C02Rik	0.851788918167455	0.403653156899685	28	12	0.0441715065745475
2200002J24Rik	1	0.817298910901341	28	10	0.0575700660882475
2210010C04Rik	1	0.581579681571001	24	20	0.0912119803518327
2210016L21Rik	0.66095614732693	0.272744571208113	24	4	0.134252441720068
2210407C18Rik	1	1	24	0	0.0368071739797227
2210408I21Rik	1	0.581579681571001	24	14	0.0998331355754619
2300002M23Rik	1	1	28	22	0.0758224266747157
2310002L09Rik	1	1	28	16	0.0874938458132397
2310011J03Rik	1	1	28	6	0.0807549135145884
2310022A10Rik	1	1	28	26	0.119567853059344
2310022B05Rik	0.11344126250009	0.012668254135268	28	10	0.110611085457672
2310030G06Rik	1	0.581579681571001	24	12	0.071774324492534
2310033P09Rik	0.210287884424521	0.0413614109013415	28	6	0.0916888548800622
2310034C09Rik	1	1	28	22	0.0344023552462368
2310039H08Rik	1	1	28	10	0.0494054678496939
2310057M21Rik	1	1	24	18	0.0432126558513849
2310057N15Rik	1	1	28	16	0.0275056140689258
2310067E19Rik	0.66095614732693	0.272744571208113	28	22	0.143662981599723
