annot	BH.Q	ADJ.P	PER	LAG	AMP
0610009B22Rik	0.514238409129084	0.272744571208113	24	4	0.156757427921657
0610010F05Rik	0.890182864571862	0.581579681571001	28	2	0.121747178316504
0610012G03Rik	1	1	28	6	0.0519186763598116
0610040J01Rik	0.287204188489094	0.113850525760248	24	20	0.112189404584467
1110004F10Rik	0.385932180802378	0.17901998657207	24	6	0.143551770046126
1110006O24Rik	0.678449428289595	0.403653156899685	28	18	0.0281325856011759
1110008L16Rik	0.111477897715348	0.0234425855780022	24	6	0.143053797293642
1110008P14Rik	0.0198444192684224	0.000573680755972423	28	0	0.178241028488919
1110012L19Rik	0.890182864571862	0.581579681571001	28	8	0.0755670196423309
1110017D15Rik	1	1	28	14	0.0568625639292801
1110038F14Rik	0.0795583671120688	0.012668254135268	24	6	0.11258604931487
1110051M20Rik	1	1	28	14	0.0522683851396354
1110059G10Rik	1	1	24	10	0.114586814220158
1300017J02Rik	1	1	24	10	0.015602290388585
1500002F19Rik	0.678449428289595	0.403653156899685	24	18	0.0408303088975921
1500015O10Rik	0.0795583671120688	0.012668254135268	24	16	0.0947644697522061
1600002K03Rik	1	1	28	8	0.103815424952817
1600012H06Rik	0.385932180802378	0.17901998657207	24	6	0.127355196904026
1600014C10Rik	0.0579550203195795	0.00648548564347175	24	14	0.137587979560582
1600015I10Rik	0.514238409129084	0.272744571208113	24	16	0.0670517288274323
1700001C02Rik	0.385932180802378	0.17901998657207	28	18	0.120192579859268
1700001C19Rik	0.0795583671120688	0.012668254135268	28	8	0.153614330499169
1700001G17Rik	1	1	28	14	0.0765744252935721
1700001K19Rik	0.890182864571862	0.581579681571001	28	16	0.0767986769466929
1700001O22Rik	1	1	28	12	0.0912410072007877
1700001P01Rik	1	1	28	20	0.0807936216386964
1700007K13Rik	0.212674715124535	0.0699440001870557	28	22	0.0872193267183813
1700009J07Rik	0.154361553213011	0.0413614109013415	24	18	0.10611845486488
1700010I14Rik	0.212674715124535	0.0699440001870557	28	4	0.0780287696323571
1700012A03Rik	0.890182864571862	0.581579681571001	24	12	0.0814799696458187
1700012B09Rik	1	1	28	10	0.0587871719819725
1700013G24Rik	1	0.817298910901341	28	20	0.0629706403679899
1700016H13Rik	0.0198444192684224	0.000573680755972423	28	18	0.063940304100479
1700016K19Rik	0.385932180802378	0.17901998657207	28	16	0.120594711713521
1700018B08Rik	0.287204188489094	0.113850525760248	28	16	0.107842154218519
1700018B24Rik	0.385932180802378	0.17901998657207	28	14	0.168812097942883
1700019D03Rik	1	1	24	18	0.0337946859715087
1700019M22Rik	0.111477897715348	0.0234425855780022	28	18	0.0836004112364317
1700019N19Rik	0.154361553213011	0.0413614109013415	28	14	0.063734732002721
1700020D05Rik	0.514238409129084	0.272744571208113	24	2	0.0676110092122261
1700020L24Rik	0.678449428289595	0.403653156899685	28	18	0.167425825679714
1700020N01Rik	1	1	24	22	0.071387221830539
1700021F05Rik	1	1	24	18	0.0259683299420172
1700021F07Rik	1	0.817298910901341	24	18	0.0389152383879192
1700025F22Rik	0.678449428289595	0.403653156899685	24	16	0.045562428057889
1700025G04Rik	1	1	28	22	0.0567880137271257
1700028P14Rik	1	0.817298910901341	24	16	0.0429142219439302
1700029H14Rik	0.212674715124535	0.0699440001870557	28	14	0.0997787952173294
1700029I15Rik	1	1	28	12	0.0579162294025322
1700029M20Rik	1	0.817298910901341	28	14	0.0925167462268352
1700030J22Rik	0.678449428289595	0.403653156899685	28	14	0.0833357179174009
1700030K09Rik	0.0579550203195795	0.00648548564347175	24	6	0.0804209511530005
1700034E13Rik	0.678449428289595	0.403653156899685	28	18	0.0462750011762225
1700034J05Rik	1	1	28	14	0.0840438309677966
1700037H04Rik	0.678449428289595	0.403653156899685	28	16	0.0752901649561119
1700052K11Rik	0.890182864571862	0.581579681571001	28	20	0.0127308334956777
1700065D16Rik	0.154361553213011	0.0413614109013415	28	16	0.0668914590712118
1700067K01Rik	0.890182864571862	0.581579681571001	24	0	0.0630108113916504
1700067P10Rik	0.111477897715348	0.0234425855780022	28	14	0.0604551008636058
1700073E17Rik	0.287204188489094	0.113850525760248	24	18	0.105860178971869
1700074P13Rik	1	1	28	10	0.0404612309172607
1700088E04Rik	1	1	24	22	0.0387476754543127
1700093K21Rik	1	1	24	18	0.0449727707485148
1700102P08Rik	1	1	28	22	0.0107894847763503
1700120K04Rik	1	1	28	8	0.112415347901294
1700123O20Rik	0.385932180802378	0.17901998657207	28	22	0.103274621436477
1700125H20Rik	1	1	28	14	0.0420735521597038
1700129C05Rik	0.678449428289595	0.403653156899685	28	16	0.0546222751357022
1810030O07Rik	0.111477897715348	0.0234425855780022	24	6	0.267075262163397
1810032O08Rik	1	0.817298910901341	28	10	0.0714138559823989
1810065E05Rik	1	1	28	4	0.0200511345374646
2010003K11Rik	1	1	28	10	0.0766756211416485
2010106E10Rik	1	0.817298910901341	24	18	0.0649223448588896
2010204K13Rik	0.385932180802378	0.17901998657207	28	20	0.0343575401066137
2010300C02Rik	0.514238409129084	0.272744571208113	28	18	0.0251362927824329
2200002J24Rik	0.678449428289595	0.403653156899685	28	16	0.0354996893387381
2210010C04Rik	1	0.817298910901341	24	14	0.184899247596587
2210016L21Rik	0.154361553213011	0.0413614109013415	24	6	0.0884647190859263
2210407C18Rik	1	1	28	16	0.066023625190406
2210408I21Rik	1	0.817298910901341	24	14	0.113236795809068
2300002M23Rik	1	1	28	16	0.151348765811616
2310002L09Rik	0.0795583671120688	0.012668254135268	24	16	0.148129598113753
2310011J03Rik	1	1	28	8	0.0598526817121248
2310022A10Rik	0.678449428289595	0.403653156899685	24	4	0.0493295213628074
2310022B05Rik	1	1	24	18	0.0511425719373395
2310030G06Rik	1	1	28	26	0.178215020005864
2310033P09Rik	0.678449428289595	0.403653156899685	24	10	0.0754833592915468
2310034C09Rik	0.385932180802378	0.17901998657207	28	18	0.0854928706905073
2310039H08Rik	1	1	28	8	0.0909951212137719
2310057M21Rik	0.890182864571862	0.581579681571001	28	0	0.0591324346383923
