pVal	phase	peak.shape	period
0610009B22Rik	0.0144407098403235	20	22	24
0610010F05Rik	1.52854945056901e-09	21	11	24
0610012G03Rik	0.028203295026027	20	14	24
0610040J01Rik	3.9966802822851e-08	19	10	24
1110004F10Rik	0.685536956159747	13	2	24
1110006O24Rik	0.0194191760748721	8	3	24
1110008L16Rik	0.00023293962287376	11	9	24
1110008P14Rik	2.21492295877847e-08	22	21	24
1110012L19Rik	0.276674867534505	11	22	24
1110017D15Rik	0.868838141237105	4	6	24
1110038F14Rik	0.035524027040008	10	9	24
1110051M20Rik	0.942389170968502	16	10	24
1110059G10Rik	0.000397876318225954	10	22	24
1300017J02Rik	0.0552500483677468	4	19	24
1500002F19Rik	0.674780112685697	8	5	24
1500015O10Rik	0.348779825634334	16	20	24
1600002K03Rik	0.00143534007372012	3	7	24
1600012H06Rik	0.252506471762725	13	3	24
1600014C10Rik	0.000105866851917885	19	2	24
1600015I10Rik	0.184363928054912	24	9	24
1700001C02Rik	0.019254910492685	7	3	24
1700001C19Rik	1.08631880931196e-05	13	9	24
1700001G17Rik	0.00429490714937203	24	12	24
1700001K19Rik	0.282700729143803	24	9	24
1700001O22Rik	0.00241406838007436	24	10	24
1700001P01Rik	0.0225705274953305	24	11	24
1700007K13Rik	0.016973135444598	23	15	24
1700009J07Rik	0.418357868868064	2	12	24
1700010I14Rik	9.42090666462182e-07	9	9	24
1700012A03Rik	0.885875908417893	24	4	24
1700012B09Rik	0.434530427210038	24	11	24
1700013G24Rik	0.184316510428962	3	6	24
1700016H13Rik	0.904359440350028	20	15	24
1700016K19Rik	0.0331256543525554	20	14	24
1700018B08Rik	0.00725294545925752	22	17	24
1700018B24Rik	0.131004976420093	24	11	24
1700019D03Rik	0.642881287482986	24	8	24
1700019M22Rik	0.0702721018247765	24	4	24
1700019N19Rik	0.394418385491311	19	22	24
1700020D05Rik	0.908831378419374	20	16	24
1700020L24Rik	0.000682338299423897	24	10	24
1700020N01Rik	0.631629555316517	21	5	24
1700021F05Rik	0.00021584698811172	9	19	24
1700021F07Rik	0.0136943301707599	21	13	24
1700025F22Rik	0.90880972078348	24	12	24
1700025G04Rik	0.811310079243718	20	13	24
1700028P14Rik	0.93613233749319	20	10	24
1700029H14Rik	0.03859747515826	24	9	24
1700029I15Rik	0.964782068472228	15	13	24
1700029M20Rik	0.147884166694916	23	10	24
1700030J22Rik	0.927021347968863	23	22	24
1700030K09Rik	0.31729894980978	8	11	24
1700034E13Rik	0.0489539966578163	24	14	24
1700034J05Rik	0.208943452739323	20	12	24
1700037H04Rik	0.625778504394705	23	2	24
1700052K11Rik	0.0527336959479064	10	2	24
1700065D16Rik	0.765849761267768	5	14	24
1700067K01Rik	0.038652811516263	23	14	24
1700067P10Rik	0.873238118286092	7	11	24
1700073E17Rik	7.09907698954071e-06	21	15	24
1700074P13Rik	0.255036688148539	1	14	24
1700088E04Rik	0.573763315274814	22	16	24
1700093K21Rik	0.927508486636746	7	11	24
1700102P08Rik	0.0194487395886325	24	10	24
1700120K04Rik	0.732338640518483	24	10	24
1700123O20Rik	3.41083692512154e-07	21	19	24
1700125H20Rik	0.40414787259412	19	14	24
1700129C05Rik	0.0772663328273924	23	14	24
1810030O07Rik	0.0206215921441712	13	2	24
1810032O08Rik	0.880013298217655	20	12	24
1810065E05Rik	0.339605495088836	21	21	24
2010003K11Rik	6.66907820361058e-06	14	14	24
2010106E10Rik	0.0780461753233583	24	17	24
2010204K13Rik	0.893633275777351	6	4	24
2010300C02Rik	0.665028404444509	21	16	24
