pVal	phase	peak.shape	period
0610009B22Rik	0.0107885746393965	12	4	24
0610010F05Rik	0.000136760085314333	22	10	24
0610012G03Rik	0.182386603932538	22	12	24
0610040J01Rik	1.62349496323118e-06	20	10	24
1110004F10Rik	0.884787922853113	14	10	24
1110006O24Rik	0.0930425504289195	2	10	24
1110008L16Rik	0.0407877865063598	12	10	24
1110008P14Rik	0.000705411071581592	24	20	24
1110012L19Rik	0.43453449371448	12	20	24
1110017D15Rik	0.916285046389186	24	6	24
1110038F14Rik	0.390666611347316	10	14	24
1110051M20Rik	0.71682648986089	22	12	24
1110059G10Rik	0.196453773440385	20	12	24
1300017J02Rik	0.169722846880605	14	8	24
1500002F19Rik	0.276406068054973	6	4	24
1500015O10Rik	0.912654267880967	24	4	24
1600002K03Rik	0.0544382775490661	4	8	24
1600012H06Rik	0.0876106733328399	14	12	24
1600014C10Rik	0.00112188543147639	18	4	24
1600015I10Rik	0.028988426923126	6	4	24
1700001C02Rik	0.31140780899748	8	6	24
1700001C19Rik	0.0167266688852033	16	4	24
1700001G17Rik	0.0638531605060893	2	8	24
1700001K19Rik	0.126106991265274	22	14	24
1700001O22Rik	0.0436628026925116	24	12	24
1700001P01Rik	0.0828915538919229	6	6	24
1700007K13Rik	0.00192437218501461	24	14	24
1700009J07Rik	0.769807623468363	4	14	24
1700010I14Rik	0.0028803454126567	10	12	24
1700012A03Rik	0.907034071561245	18	18	24
1700012B09Rik	0.350816421495619	24	12	24
1700013G24Rik	0.635969970893533	4	6	24
1700016H13Rik	0.826760962161594	2	10	24
1700016K19Rik	0.402936614341693	18	16	24
1700018B08Rik	0.589466097008041	24	16	24
1700018B24Rik	0.653241816125721	24	12	24
1700019D03Rik	0.946046289692912	4	10	24
1700019M22Rik	0.712324160257235	16	20	24
1700019N19Rik	0.924742253258318	8	10	24
1700020D05Rik	0.915004640858099	6	14	24
1700020L24Rik	0.0138536897412654	24	12	24
1700020N01Rik	0.937180718981195	10	18	24
1700021F05Rik	0.497568818419976	10	16	24
1700021F07Rik	0.172512121709206	24	4	24
1700025F22Rik	0.515230155672976	10	8	24
1700025G04Rik	0.933118052639422	20	14	24
1700028P14Rik	0.87086586491462	16	18	24
1700029H14Rik	0.644230080886387	22	12	24
1700029I15Rik	0.58163250937619	16	12	24
1700029M20Rik	0.82611636665494	24	10	24
1700030J22Rik	0.863130155003394	24	14	24
1700030K09Rik	0.608372975815385	6	14	24
1700034E13Rik	0.964860761387453	24	10	24
1700034J05Rik	0.83800671190273	18	8	24
1700037H04Rik	0.968659854468544	24	12	24
1700052K11Rik	0.828396557210343	10	4	24
1700065D16Rik	0.12024414688328	6	12	24
1700067K01Rik	0.33944569376121	24	14	24
1700067P10Rik	0.839415091297578	8	12	24
1700073E17Rik	0.000829172755333885	22	16	24
1700074P13Rik	0.0293140348939469	2	14	24
1700088E04Rik	0.95445561196723	24	10	24
1700093K21Rik	0.071105515631021	12	14	24
1700102P08Rik	0.801877048373436	24	20	24
1700120K04Rik	0.956862521150612	24	10	24
1700123O20Rik	5.74915012531533e-05	22	18	24
