pVal	phase	peak.shape	period
0610009B22Rik	0.305191630238444	20	20	24
0610010F05Rik	5.62828507808374e-05	20	14	24
0610012G03Rik	0.4822362583459	20	14	24
0610040J01Rik	3.40640159887824e-05	16	16	24
1110004F10Rik	0.945200775232142	12	4	24
1110006O24Rik	0.126663445828299	8	4	24
1110008L16Rik	0.00382066020530917	10	10	24
1110008P14Rik	8.003666675514e-06	22	18	24
1110012L19Rik	0.705985147032858	20	10	24
1110017D15Rik	0.189096685840672	4	6	24
1110038F14Rik	0.0638453113390191	10	14	24
1110051M20Rik	0.935309367887831	6	12	24
1110059G10Rik	0.0024141783979211	18	14	24
1300017J02Rik	0.00523330403379321	2	20	24
1500002F19Rik	0.927896927656727	8	6	24
1500015O10Rik	0.211709499237519	16	20	24
1600002K03Rik	0.0269098303793679	24	10	24
1600012H06Rik	0.921770572502912	8	8	24
1600014C10Rik	0.0427052872271413	16	16	24
1600015I10Rik	0.840817126349399	24	18	24
1700001C02Rik	0.0705164592724442	6	4	24
1700001C19Rik	0.000555890252020737	12	10	24
1700001G17Rik	0.0129301104251811	24	12	24
1700001K19Rik	0.89043036316779	24	4	24
1700001O22Rik	0.0147029075032138	24	10	24
1700001P01Rik	0.0880667107029233	24	14	24
1700007K13Rik	0.94898549419438	24	14	24
1700009J07Rik	0.179002978377405	24	14	24
1700010I14Rik	5.26543445080609e-05	8	10	24
1700012A03Rik	0.931411468879172	16	12	24
1700012B09Rik	0.975231421916894	24	12	24
1700013G24Rik	0.517754624632979	24	20	24
1700016H13Rik	0.936014818155277	20	6	24
1700016K19Rik	0.104590392153016	24	10	24
1700018B08Rik	0.00381803350171348	24	12	24
1700018B24Rik	0.0836896426513494	24	10	24
1700019D03Rik	0.177907110272033	20	6	24
1700019M22Rik	0.0442125326586874	24	4	24
1700019N19Rik	0.329339802841226	22	20	24
1700020D05Rik	0.951020131381891	24	12	24
1700020L24Rik	0.0215375756935264	24	10	24
1700020N01Rik	0.340354283569011	20	6	24
1700021F05Rik	0.000217785856865134	10	18	24
1700021F07Rik	0.0230244468578164	6	4	24
1700025F22Rik	0.0825049683153608	22	14	24
1700025G04Rik	0.911113222383638	20	10	24
1700028P14Rik	0.521462550698901	24	4	24
1700029H14Rik	0.00400493477407104	24	12	24
1700029I15Rik	0.846164075622856	16	12	24
1700029M20Rik	0.144608708760799	20	14	24
1700030J22Rik	0.912559463723077	6	12	24
1700030K09Rik	0.585999917020974	8	10	24
1700034E13Rik	0.0019324099542948	24	14	24
1700034J05Rik	0.0501219015580408	20	12	24
1700037H04Rik	0.951206083265318	22	16	24
1700052K11Rik	0.105774688908666	10	4	24
1700065D16Rik	0.355573943352011	14	10	24
1700067K01Rik	0.0360360809370811	24	10	24
1700067P10Rik	0.948738556730598	6	12	24
1700073E17Rik	0.0131882720619732	24	12	24
1700074P13Rik	0.896648901857931	22	20	24
1700088E04Rik	0.390403707995232	22	20	24
1700093K21Rik	0.937055664294618	2	16	24
1700102P08Rik	0.000949387223677075	24	10	24
1700120K04Rik	0.946489903302993	24	10	24
1700123O20Rik	0.000681411058728632	22	18	24
1700125H20Rik	0.912595075568482	22	14	24
1700129C05Rik	0.92190727021714	24	12	24
1810030O07Rik	0.113717585103847	4	20	24
1810032O08Rik	0.863130155003394	6	6	24
1810065E05Rik	0.244534251575737	22	20	24
2010003K11Rik	0.00194936403157324	14	14	24
2010106E10Rik	0.521462550698901	24	10	24
2010204K13Rik	0.180017485986116	24	10	24
2010300C02Rik	0.894523885953264	20	18	24
2200002J24Rik	0.00980990858691076	24	10	24
2210010C04Rik	0.0752005544119267	24	10	24
