pVal	phase	peak.shape	period
0610009B22Rik	0.00616825088225402	24	12	24
0610010F05Rik	0.594768842005337	16	6	24
0610012G03Rik	0.0594288660662369	24	4	24
0610040J01Rik	8.39022000225142e-05	12	14	24
1110004F10Rik	0.149885642401889	6	4	24
1110006O24Rik	0.945435008498342	12	12	24
1110008L16Rik	0.0281124350208907	24	12	24
1110008P14Rik	0.912459758639246	12	10	24
1110012L19Rik	0.908305511891472	24	20	24
1110017D15Rik	0.940974126096722	18	10	24
1110038F14Rik	0.00448699493615133	22	16	24
1110051M20Rik	0.112959253800235	4	12	24
1110059G10Rik	0.923024876214999	6	16	24
1300017J02Rik	0.0928863952986819	6	8	24
1500002F19Rik	0.416556972154756	14	20	24
1500015O10Rik	0.233149415841098	10	10	24
1600002K03Rik	0.811055595948687	16	12	24
1600012H06Rik	0.925352916927948	4	12	24
1600014C10Rik	0.0165601453086368	10	16	24
1600015I10Rik	0.635471586830588	18	6	24
1700001C02Rik	0.787068267420401	2	12	24
1700001C19Rik	0.0837348304399986	10	6	24
1700001G17Rik	0.481066997066098	2	12	24
1700001K19Rik	0.524988400153075	8	20	24
1700001O22Rik	0.901599477230078	18	12	24
1700001P01Rik	0.683119460602966	18	16	24
1700007K13Rik	0.929272720008255	2	12	24
1700009J07Rik	0.959853089270508	4	20	24
1700010I14Rik	0.764069059462652	6	4	24
1700012A03Rik	0.870238940323063	14	14	24
1700012B09Rik	0.272446726456237	2	14	24
1700013G24Rik	0.198627446105791	6	20	24
1700016H13Rik	0.869903369678182	10	14	24
1700016K19Rik	0.941113671679997	12	12	24
1700018B08Rik	0.896901530661744	18	18	24
1700018B24Rik	0.895399549984069	14	8	24
1700019D03Rik	0.638688513725305	2	8	24
1700019M22Rik	0.903782085824196	10	10	24
1700019N19Rik	0.596312810053819	14	10	24
1700020D05Rik	0.651018948766965	2	6	24
1700020L24Rik	0.44397331878936	2	12	24
1700020N01Rik	0.81090723913857	2	14	24
1700021F05Rik	0.249815631949347	2	8	24
1700021F07Rik	0.705985147032858	2	14	24
1700025F22Rik	0.684183639585753	20	10	24
1700025G04Rik	0.539187769370437	10	16	24
1700028P14Rik	0.71036543948326	20	8	24
1700029H14Rik	0.170268064451809	18	6	24
1700029I15Rik	0.932683434775087	18	10	24
1700029M20Rik	0.811277059973994	18	14	24
1700030J22Rik	0.802580132755112	20	20	24
1700030K09Rik	0.253889927144543	4	4	24
1700034E13Rik	0.929368541140272	20	12	24
1700034J05Rik	0.423397473414819	2	14	24
1700037H04Rik	0.0507047143668552	8	12	24
1700052K11Rik	0.109116023188332	22	12	24
1700065D16Rik	0.0792405159713293	14	10	24
1700067K01Rik	0.949354816552473	18	12	24
1700067P10Rik	0.891442683957407	24	10	24
1700073E17Rik	0.0587685950813782	22	16	24
1700074P13Rik	0.893108405694952	10	14	24
1700088E04Rik	0.745178671215718	12	12	24
1700093K21Rik	0.18007490417204	18	8	24
1700102P08Rik	0.101332353246762	12	18	24
1700120K04Rik	0.324689194485965	8	18	24
1700123O20Rik	0.211803924913504	14	20	24
1700125H20Rik	0.327872421882886	12	12	24
1700129C05Rik	0.216256537074818	10	10	24
1810030O07Rik	0.0519990556833501	4	14	24
1810032O08Rik	0.0831164022447611	14	14	24
1810065E05Rik	0.896672195707713	14	10	24
2010003K11Rik	0.0151999713519802	10	10	24
2010106E10Rik	0.959853089270508	12	20	24
2010204K13Rik	0.600152055176756	8	20	24
2010300C02Rik	0.836714262368948	8	8	24
2200002J24Rik	0.885845760454949	2	12	24
2210010C04Rik	0.00322280871819217	14	10	24
2210016L21Rik	0.357459504764392	6	18	24
2210407C18Rik	0.00493437548349437	10	14	24
2210408I21Rik	0.695481542267492	16	10	24
2300002M23Rik	0.906446824651576	12	12	24
2310002L09Rik	0.5089467497691	20	4	24
2310011J03Rik	0.818702912511167	22	18	24
2310022A10Rik	0.866134098454851	12	12	24
2310022B05Rik	0.0113211281523464	8	16	24
2310030G06Rik	0.204352753921855	4	8	24
2310033P09Rik	0.263685116052185	6	12	24
2310034C09Rik	0.846877688390648	14	10	24
2310039H08Rik	0.946065814912836	18	16	24
2310057M21Rik	0.0908784351762212	14	20	24
2310057N15Rik	0.748666703952634	22	20	24
2310067E19Rik	0.0577192846125044	16	14	24
2410004B18Rik	0.204321746075575	14	20	24
2410137M14Rik	0.564524558886143	12	12	24
2510009E07Rik	0.329339802841226	18	20	24
2510039O18Rik	0.629672898503131	8	10	24
2610001J05Rik	0.146519641830735	24	14	24
2610008E11Rik	0.189078649380642	6	8	24
2610028H24Rik	0.911113222383638	18	12	24
2610507B11Rik	0.0390704060218815	16	10	24
2610528J11Rik	8.95626177397928e-08	6	8	24
2700097O09Rik	0.941413879670618	16	10	24
2810004N23Rik	0.0331654303209457	6	4	24
2810006K23Rik	0.0318411458671955	24	8	24
2810025M15Rik	0.229387745156463	18	16	24
2810032G03Rik	0.924754334056982	18	12	24
2810408A11Rik	0.967900936044286	12	12	24
2900005J15Rik	0.887987936316617	8	20	24
2900026A02Rik	1.68701470520191e-06	8	18	24
3110009E18Rik	0.921577373793952	22	20	24
3110040N11Rik	0.947414532230374	24	10	24
3110070M22Rik	0.958086862991638	18	12	24
3110082I17Rik	0.000400298921794807	10	16	24
3300002I08Rik	0.366203770534632	4	18	24
3830406C13Rik	0.032448024097722	6	6	24
3830417A13Rik	0.532357193411048	12	14	24
4430402I18Rik	1.99998715020781e-05	6	8	24
4632404H12Rik	0.687577117734984	8	20	24
4632415L05Rik	0.891686509321914	18	12	24
4833420G17Rik	0.0130349200612526	14	4	24
4833427G06Rik	0.966339813050436	20	18	24
4921504E06Rik	0.0536080299441364	14	6	24
4921507P07Rik	0.881043313835756	20	8	24
4921517D22Rik	0.0489562759404119	12	12	24
4921524J17Rik	0.00527875305524349	18	18	24
4921524L21Rik	0.95972900352913	18	4	24
4921530L21Rik	0.515466329737959	16	8	24
4921536K21Rik	0.34724376771754	22	6	24
4922502D21Rik	0.891196952206494	22	12	24
4930415O20Rik	0.00278882449305226	2	6	24
4930429B21Rik	0.521462550698901	16	14	24
4930430A15Rik	0.938730104106138	16	16	24
4930430F08Rik	0.0592879910213408	16	20	24
4930432K21Rik	0.530108693011834	18	4	24
4930433N12Rik	0.0127399334663592	14	6	24
4930447C04Rik	0.551404992200685	2	8	24
4930451I11Rik	0.950758654156775	12	16	24
4930452B06Rik	0.895399549984069	14	14	24
4930465K10Rik	0.969833917352417	8	12	24
4930470P17Rik	0.861893632858818	8	16	24
4930471G03Rik	0.602739892705983	8	18	24
4930474N05Rik	0.946860393319987	12	16	24
4930483J18Rik	0.936622129342118	8	8	24
4930486L24Rik	0.95930862079447	12	12	24
4930503B20Rik	0.883385346376945	12	8	24
4930503L19Rik	0.345856847963666	14	20	24
4930505A04Rik	0.936441448284313	6	18	24
4930515G01Rik	0.58163250937619	18	12	24
4930519G04Rik	0.944623759164109	20	4	24
4930522H14Rik	0.100845713650077	10	12	24
4930524B15Rik	0.499769280310871	8	16	24
4930539E08Rik	0.166451547954436	2	6	24
4930544G11Rik	0.233623878026704	2	16	24
4930544M13Rik	0.86189584999034	2	14	24
4930548H24Rik	0.864817398743697	4	10	24
4930550C14Rik	0.829051011467795	12	20	24
4930556L07Rik	0.895285978806326	12	12	24
4930578I06Rik	0.00187589764678362	12	12	24
4930579K19Rik	0.0628751275259756	2	8	24
4930591A17Rik	0.276790230492773	14	10	24
4931406B18Rik	0.837425264108884	12	12	24
4931406C07Rik	0.00252425351288072	24	8	24
4931406H21Rik	0.349724123761647	16	10	24
4931414P19Rik	0.0023909646191397	20	16	24
4931417E11Rik	0.014063650655248	22	10	24
4931428F04Rik	0.907061512499929	12	12	24
4931428L18Rik	0.953071605886168	22	4	24
4931429L15Rik	0.803695300178533	16	18	24
4931431C16Rik	0.899907386529516	18	16	24
4932414N04Rik	0.969965030489603	16	12	24
4932435O22Rik	0.941146655847695	12	4	24
4932438A13Rik	2.17943938671459e-06	24	12	24
4932438H23Rik	0.879049761980623	8	12	24
4933400A11Rik	0.0228897867027918	8	12	24
4933402J07Rik	0.135772712597135	22	8	24
4933404G15Rik	0.852202982125333	8	16	24
4933411K16Rik	0.0259956870908264	10	4	24
4933414I15Rik	0.949642183916518	14	6	24
