pVal	phase	peak.shape	period
0610009B22Rik	0.964386815339898	4	8	24
0610010F05Rik	0.00242638434845579	16	4	24
0610012G03Rik	0.00817759834437044	20	12	24
0610040J01Rik	0.0074836916925058	16	12	24
1110004F10Rik	0.0519019298869855	8	4	24
1110006O24Rik	0.847023045099432	4	4	24
1110008L16Rik	0.758836984699842	24	16	24
1110008P14Rik	0.659165726818671	20	16	24
1110012L19Rik	0.883182534438062	4	4	24
1110017D15Rik	0.0202028685720027	4	4	24
1110038F14Rik	0.0233865365390806	24	16	24
1110051M20Rik	0.932232670834816	8	8	24
1110059G10Rik	0.123268626747814	8	20	24
1300017J02Rik	0.103803859773971	8	8	24
1500002F19Rik	0.948583248753201	16	20	24
1500015O10Rik	0.491889588216645	12	20	24
1600002K03Rik	0.883182534438062	4	4	24
1600012H06Rik	0.350599605696951	12	20	24
1600014C10Rik	0.000504244395872516	12	16	24
1600015I10Rik	0.159521079112059	20	8	24
1700001C02Rik	0.190786869513532	4	12	24
1700001C19Rik	0.0519605550754842	12	8	24
1700001G17Rik	0.00850470227814526	4	12	24
1700001K19Rik	0.728355774529931	4	20	24
1700001O22Rik	0.0213492591795928	20	12	24
1700001P01Rik	0.127519269049463	16	20	24
1700007K13Rik	0.0971551534251682	4	4	24
1700009J07Rik	0.953770141818736	12	4	24
1700010I14Rik	0.693447872718955	8	4	24
1700012A03Rik	0.182159304630712	16	8	24
1700012B09Rik	0.491889588216645	4	4	24
1700013G24Rik	0.177927357471143	8	20	24
1700016H13Rik	0.855256646164794	12	20	24
1700016K19Rik	0.93016788782305	4	4	24
1700018B08Rik	0.687933806982074	4	8	24
1700018B24Rik	0.912250292278758	16	8	24
1700019D03Rik	0.0851727096042551	4	8	24
1700019M22Rik	0.368125567181675	12	12	24
1700019N19Rik	0.966271569085862	4	16	24
1700020D05Rik	0.163220657754283	8	4	24
1700020L24Rik	0.0488326717009277	4	12	24
1700020N01Rik	0.919695560121844	4	20	24
1700021F05Rik	0.000132499703485318	4	8	24
1700021F07Rik	0.00435876582117623	4	8	24
1700025F22Rik	0.947136758718211	20	12	24
1700025G04Rik	0.150973370684712	12	16	24
1700028P14Rik	0.912111236424177	24	4	24
1700029H14Rik	0.0186358084685069	20	12	24
1700029I15Rik	0.820937387932871	24	8	24
1700029M20Rik	0.14725022687267	20	8	24
1700030J22Rik	0.0731133136181809	8	4	24
1700030K09Rik	0.932232670834816	20	8	24
1700034E13Rik	0.935133571830463	24	12	24
1700034J05Rik	0.368125567181675	4	12	24
1700037H04Rik	0.844380921692038	4	8	24
1700052K11Rik	0.00292484373468689	24	12	24
1700065D16Rik	0.312122028499297	16	12	24
1700067K01Rik	0.720281604229147	4	4	24
1700067P10Rik	0.483585663030278	16	12	24
1700073E17Rik	0.00435876582117623	24	16	24
1700074P13Rik	0.0926820176553313	12	8	24
1700088E04Rik	0.903755304074835	4	8	24
1700093K21Rik	0.00383571392263508	20	8	24
1700102P08Rik	0.938970297180924	12	20	24
1700120K04Rik	0.288529964926549	24	4	24
1700123O20Rik	0.816902191708202	16	20	24
1700125H20Rik	0.693447872718955	16	20	24
1700129C05Rik	0.0891580955678053	12	12	24
1810030O07Rik	0.0218002998664856	12	8	24
1810032O08Rik	0.0209799019786182	16	20	24
1810065E05Rik	0.313362438303527	24	20	24
2010003K11Rik	0.28381120204228	12	4	24
2010106E10Rik	0.892826304496358	24	8	24
2010204K13Rik	0.293947316400933	12	4	24
2010300C02Rik	0.868156695301513	24	8	24
2200002J24Rik	0.177927357471143	20	20	24
2210010C04Rik	0.102207251525106	16	16	24
2210016L21Rik	0.195652586455209	8	16	24
2210407C18Rik	0.0413764571975032	12	12	24
2210408I21Rik	0.0436005997329712	16	12	24
2300002M23Rik	0.106347386074706	20	16	24
2310002L09Rik	0.951641433696972	20	4	24
2310011J03Rik	0.175412663718464	24	16	24
2310022A10Rik	0.206882285987516	4	4	24
2310022B05Rik	0.843119349185266	12	4	24
2310030G06Rik	0.677673291651841	12	12	24
2310033P09Rik	0.0962907432132298	8	12	24
2310034C09Rik	0.965380573471859	16	20	24
2310039H08Rik	0.0233865365390806	20	16	24
2310057M21Rik	0.288529964926549	16	20	24
2310057N15Rik	0.942274078237427	8	12	24
2310067E19Rik	0.368125567181675	20	12	24
2410004B18Rik	0.206882285987516	16	20	24
2410137M14Rik	0.943563348025011	20	8	24
2510009E07Rik	0.752984147962036	20	20	24
2510039O18Rik	0.965380573471859	12	20	24
2610001J05Rik	0.861858384588014	4	12	24
2610008E11Rik	0.0558094850810756	8	8	24
2610028H24Rik	0.95028886150194	20	12	24
2610507B11Rik	0.00316858071257746	16	12	24
2610528J11Rik	0.00155746454531592	8	8	24
2700097O09Rik	0.324168039624338	8	20	24
2810004N23Rik	0.199986209787932	8	4	24
2810006K23Rik	0.628058644516936	8	12	24
2810025M15Rik	0.0354220191804063	20	16	24
2810032G03Rik	0.103441142993758	20	12	24
2810408A11Rik	0.725378494545417	4	8	24
2900005J15Rik	0.791059828190921	24	4	24
2900026A02Rik	0.00155746454531592	12	16	24
3110009E18Rik	0.853691607787323	12	20	24
3110040N11Rik	0.879455806354932	8	4	24
3110070M22Rik	0.106989714681366	20	12	24
3110082I17Rik	0.0233865365390806	12	16	24
3300002I08Rik	0.847977969486421	8	16	24
3830406C13Rik	0.00719628654304599	8	12	24
3830417A13Rik	0.918825545155148	8	20	24
4430402I18Rik	0.00142767583320626	8	8	24
4632404H12Rik	0.47804675332325	16	8	24
4632415L05Rik	0.368125567181675	20	12	24
4833420G17Rik	0.0194258351653873	16	4	24
4833427G06Rik	0.328900778049162	24	16	24
4921504E06Rik	0.0930970286943822	16	8	24
4921507P07Rik	0.78247524765077	4	20	24
4921517D22Rik	0.368125567181675	20	12	24
4921524J17Rik	0.103803859773971	20	16	24
4921524L21Rik	0.670693069414946	4	12	24
4921530L21Rik	0.97564755175694	24	8	24
4921536K21Rik	0.278912299428997	20	20	24
4922502D21Rik	0.153385652992365	4	8	24
4930415O20Rik	0.0130964604618852	4	4	24
4930429B21Rik	0.294876559630283	4	4	24
4930430A15Rik	0.852727964285026	4	12	24
4930430F08Rik	0.127519269049463	16	20	24
4930432K21Rik	0.573278172485062	20	16	24
4930433N12Rik	0.314782697097545	16	8	24
4930447C04Rik	0.00024161710635558	4	12	24
4930451I11Rik	0.225026272432916	24	12	24
4930452B06Rik	0.720281604229147	16	4	24
4930465K10Rik	0.0107808967449209	4	4	24
4930470P17Rik	0.510363276283183	20	16	24
4930471G03Rik	0.0573836710722583	20	8	24
4930474N05Rik	0.788155019263494	16	20	24
4930483J18Rik	0.103441142993758	4	8	24
4930486L24Rik	0.0757810196716312	24	8	24
4930503B20Rik	0.773782797230177	16	4	24
4930503L19Rik	0.948261757628361	16	20	24
4930505A04Rik	0.288529964926549	8	4	24
4930515G01Rik	0.519291397922113	20	12	24
4930519G04Rik	0.883182534438062	4	8	24
4930522H14Rik	0.00850470227814526	12	12	24
4930524B15Rik	0.886936270735144	16	12	24
4930539E08Rik	0.338099933919585	4	8	24
4930544G11Rik	0.00929293956183602	4	16	24
