pVal	phase	peak.shape	period
0610009B22Rik	2.92806689314185e-05	4	14	24
0610010F05Rik	0.773199494606938	20	14	24
0610012G03Rik	0.60735755071895	20	16	24
0610040J01Rik	0.000124781631623346	16	18	24
1110004F10Rik	0.000356395494469174	8	10	24
1110006O24Rik	0.963940686024671	18	6	24
1110008L16Rik	0.000155093338614862	8	10	24
1110008P14Rik	2.06402011729752e-07	4	14	24
1110012L19Rik	0.157839640345591	12	10	24
1110017D15Rik	0.148864217628088	18	18	24
1110038F14Rik	0.000764461952809444	6	12	24
1110051M20Rik	0.0184915650395632	18	10	24
1110059G10Rik	0.143701956410913	12	10	24
1300017J02Rik	0.939004443477015	6	18	24
1500002F19Rik	0.894480502731752	22	14	24
1500015O10Rik	0.0398279862390592	18	6	24
1600002K03Rik	0.463569111144407	22	10	24
1600012H06Rik	3.33878781140798e-05	12	6	24
1600014C10Rik	8.16942473903428e-05	16	10	24
1600015I10Rik	0.718246541658617	18	8	24
1700001C02Rik	0.00655238269164963	18	14	24
1700001C19Rik	0.000356395494469174	12	10	24
1700001G17Rik	0.953071605886168	20	20	24
1700001K19Rik	0.55724093820592	22	10	24
1700001O22Rik	0.0583274062315239	16	16	24
1700001P01Rik	0.354716338542106	18	20	24
1700007K13Rik	0.369626235679815	2	10	24
1700009J07Rik	0.0132645795952907	18	10	24
1700010I14Rik	0.000121497904475363	6	18	24
1700012A03Rik	0.0612430622426994	18	6	24
1700012B09Rik	0.934361809610025	18	6	24
1700013G24Rik	0.305498061715438	22	14	24
1700016H13Rik	0.120884022710145	22	8	24
1700016K19Rik	0.0990650556810524	22	4	24
1700018B08Rik	0.585999917020974	18	10	24
1700018B24Rik	0.648161047791037	24	4	24
1700019D03Rik	0.132860686655578	18	10	24
1700019M22Rik	0.0132645795952907	18	14	24
1700019N19Rik	0.0222810385439819	18	14	24
1700020D05Rik	0.887334284346556	22	16	24
1700020L24Rik	0.171902612320248	22	4	24
1700020N01Rik	0.887946637578719	18	10	24
1700021F05Rik	0.776065156879117	12	18	24
1700021F07Rik	0.0644866419016613	18	14	24
1700025F22Rik	0.0823248174614776	18	10	24
1700025G04Rik	0.899373312104548	20	14	24
1700028P14Rik	0.498962875585499	18	10	24
1700029H14Rik	3.98240328765695e-05	18	12	24
1700029I15Rik	0.939004443477015	4	12	24
1700029M20Rik	0.419518114156479	18	6	24
1700030J22Rik	0.0885432507481904	22	6	24
1700030K09Rik	5.80595789213199e-07	8	10	24
1700034E13Rik	0.359094477444605	22	12	24
1700034J05Rik	0.0736173848453598	18	10	24
1700037H04Rik	0.17854355285468	14	10	24
1700052K11Rik	0.0846625506212396	22	14	24
1700065D16Rik	0.387773317459083	22	4	24
1700067K01Rik	0.971160400076919	22	16	24
1700067P10Rik	0.00406216706342073	18	12	24
1700073E17Rik	0.000140359034927869	18	10	24
1700074P13Rik	0.955696665606469	18	10	24
1700088E04Rik	0.192027353078275	22	10	24
1700093K21Rik	0.933314089354777	18	10	24
1700102P08Rik	0.888741259066827	18	20	24
1700120K04Rik	0.881043313835756	10	16	24
1700123O20Rik	0.0365767220562788	2	12	24
1700125H20Rik	0.846877688390648	18	14	24
1700129C05Rik	0.648706458395112	22	8	24
1810030O07Rik	1.5982244575597e-06	12	6	24
1810032O08Rik	0.159166709752642	16	10	24
1810065E05Rik	0.950461874539535	6	14	24
2010003K11Rik	0.106862533221122	16	12	24
2010106E10Rik	0.0984733681943493	18	18	24
2010204K13Rik	0.0620112424145675	22	16	24
2010300C02Rik	0.0732707138238843	22	4	24
2200002J24Rik	0.0223085530287896	10	20	24
2210010C04Rik	0.952515373453886	18	14	24
2210016L21Rik	0.000912678984557675	12	6	24
2210407C18Rik	0.599940192890946	18	18	24
2210408I21Rik	0.0233867889845211	18	4	24
