pVal	phase	peak.shape	period
0610009B22Rik	0.00127857130754503	4	16	24
0610010F05Rik	0.0401386643937071	16	20	24
0610012G03Rik	0.202374452122124	20	16	24
0610040J01Rik	0.000132499703485318	16	16	24
1110004F10Rik	0.000778732272657958	8	12	24
1110006O24Rik	0.551295327093089	16	8	24
1110008L16Rik	0.0470886477116089	8	12	24
1110008P14Rik	0.000483234212711161	4	16	24
1110012L19Rik	0.912152653258746	12	8	24
1110017D15Rik	0.724672179286616	20	20	24
1110038F14Rik	0.314029322258468	4	20	24
1110051M20Rik	0.0109825649367153	20	8	24
1110059G10Rik	0.557017773937207	12	12	24
1300017J02Rik	0.874026929435918	16	20	24
1500002F19Rik	0.202374452122124	4	8	24
1500015O10Rik	0.78247524765077	16	4	24
1600002K03Rik	0.0539731272979888	16	12	24
1600012H06Rik	0.000124414044850149	12	8	24
1600014C10Rik	0.00418441518832918	16	16	24
1600015I10Rik	0.903962452769447	4	8	24
1700001C02Rik	0.0189771192707491	20	12	24
1700001C19Rik	0.0269425100391399	12	12	24
1700001G17Rik	0.362336089643308	4	12	24
1700001K19Rik	0.883182534438062	20	12	24
1700001O22Rik	0.0500360900726885	16	16	24
1700001P01Rik	0.171791931351448	24	4	24
1700007K13Rik	0.0705921648727264	8	4	24
1700009J07Rik	0.921184498073651	16	12	24
1700010I14Rik	0.0112255375387587	4	20	24
1700012A03Rik	0.491889588216645	8	20	24
1700012B09Rik	0.81623489096897	8	4	24
1700013G24Rik	0.903962452769447	24	16	24
1700016H13Rik	0.817815353889107	20	20	24
1700016K19Rik	0.519291397922113	20	12	24
1700018B08Rik	0.527088903573426	16	4	24
1700018B24Rik	0.0500482895338789	24	12	24
1700019D03Rik	0.0638084316448237	24	4	24
1700019M22Rik	0.446888629085549	20	12	24
1700019N19Rik	0.169049966959793	20	12	24
1700020D05Rik	0.848314510386836	16	16	24
1700020L24Rik	0.456125146139379	12	16	24
1700020N01Rik	0.848314510386836	20	8	24
1700021F05Rik	0.969502297584956	8	20	24
1700021F07Rik	0.0205585458766449	20	12	24
1700025F22Rik	0.928539356676212	16	12	24
1700025G04Rik	0.456125146139379	20	4	24
1700028P14Rik	0.929626789309559	20	20	24
1700029H14Rik	0.0075233904768208	20	12	24
1700029I15Rik	0.113050556013049	24	16	24
1700029M20Rik	0.938970297180924	20	4	24
1700030J22Rik	0.0655498673818174	24	4	24
1700030K09Rik	0.0112255375387587	8	12	24
1700034E13Rik	0.853435581865525	8	20	24
1700034J05Rik	0.0558094850810756	20	8	24
1700037H04Rik	0.591116264447621	12	4	24
1700052K11Rik	0.820937387932871	4	4	24
1700065D16Rik	0.840410509072998	4	4	24
1700067K01Rik	0.0109825649367153	16	16	24
1700067P10Rik	0.725378494545417	16	16	24
1700073E17Rik	0.0265665143853048	20	8	24
1700074P13Rik	0.494412392619326	24	12	24
1700088E04Rik	0.78247524765077	16	16	24
1700093K21Rik	0.886936270735144	16	12	24
1700102P08Rik	0.792339855317545	24	16	24
1700120K04Rik	0.892826304496358	12	20	24
1700123O20Rik	0.820937387932871	4	16	24
1700125H20Rik	0.111218421186398	24	8	24
1700129C05Rik	0.918825545155148	24	16	24
1810030O07Rik	2.72793507175655e-05	12	8	24
1810032O08Rik	0.429958629363796	20	8	24
1810065E05Rik	0.792948619226838	8	4	24
2010003K11Rik	0.019767832573697	16	12	24
2010106E10Rik	0.0233865365390806	4	8	24
2010204K13Rik	0.456125146139379	8	4	24
2010300C02Rik	0.280945634341093	12	20	24
2200002J24Rik	0.491313136447585	16	12	24
2210010C04Rik	0.157391348548772	24	12	24
2210016L21Rik	0.029658245649706	12	4	24
2210407C18Rik	0.491889588216645	24	20	24
2210408I21Rik	0.108863498382936	16	16	24
2300002M23Rik	0.947136758718211	4	12	24
2310002L09Rik	0.206882285987516	24	4	24
2310011J03Rik	0.859758663589086	12	16	24
2310022A10Rik	0.554168900068893	24	16	24
2310022B05Rik	0.00207975801296211	12	20	24
2310030G06Rik	0.240395262542571	16	12	24
2310033P09Rik	0.00785049441059562	12	12	24
2310034C09Rik	0.245944794108322	20	16	24
2310039H08Rik	0.965975781581121	16	20	24
2310057M21Rik	0.858200002003242	20	8	24
2310057N15Rik	0.935133571830463	24	16	24
2310067E19Rik	0.00162235890137074	24	16	24
2410004B18Rik	0.0817658012200849	20	16	24
2410137M14Rik	0.910444718162414	4	4	24
2510009E07Rik	0.103803859773971	4	8	24
2510039O18Rik	0.303124078686525	16	8	24
2610001J05Rik	0.0470886477116089	8	12	24
2610008E11Rik	0.0872303672940189	24	20	24
2610028H24Rik	0.293094034107904	20	4	24
2610507B11Rik	0.000907490680083443	24	12	24
2610528J11Rik	0.106266057541219	24	20	24
2700097O09Rik	0.917520280070839	16	20	24
2810004N23Rik	0.00155746454531592	4	16	24
2810006K23Rik	0.033733204561243	4	16	24
2810025M15Rik	0.00817759834437044	24	12	24
2810032G03Rik	0.491889588216645	20	4	24
2810408A11Rik	0.169090175166877	12	8	24
2900005J15Rik	0.033733204561243	8	8	24
2900026A02Rik	0.173117978955929	12	20	24
3110009E18Rik	0.317559371909536	8	4	24
3110040N11Rik	0.00359814327152299	8	8	24
3110070M22Rik	0.0105601585929955	8	16	24
3110082I17Rik	0.0463622096952588	20	8	24
3300002I08Rik	0.288529964926549	4	16	24
3830406C13Rik	0.00221663799480615	8	8	24
3830417A13Rik	0.682953286229858	20	16	24
4430402I18Rik	0.0354318471953701	24	20	24
4632404H12Rik	0.551295327093089	4	16	24
4632415L05Rik	0.186944903251961	12	12	24
4833420G17Rik	0.0101377522492757	16	8	24
4833427G06Rik	0.657953334869152	4	20	24
4921504E06Rik	0.628058644516936	24	12	24
4921507P07Rik	0.933786828037557	20	20	24
4921517D22Rik	0.78247524765077	20	8	24
4921524J17Rik	0.0201691899636361	24	8	24
4921524L21Rik	0.510363276283183	16	16	24
4921530L21Rik	0.942274078237427	16	20	24
4921536K21Rik	0.720281604229147	16	12	24
4922502D21Rik	0.964386815339898	24	8	24
4930415O20Rik	0.677673291651841	16	12	24
4930429B21Rik	0.0962907432132298	24	12	24
4930430A15Rik	0.175412663718464	20	16	24
4930430F08Rik	0.0145335332443237	24	16	24
4930432K21Rik	0.670693069414946	4	16	24
4930433N12Rik	0.659374832170001	20	16	24
4930447C04Rik	0.323114647595981	20	8	24
4930451I11Rik	0.848314510386836	20	4	24
4930452B06Rik	0.278912299428997	20	8	24
4930465K10Rik	0.446888629085549	24	12	24
4930470P17Rik	0.879708796638285	20	8	24
