pVal	phase	peak.shape	period
0610009B22Rik	0.0630287186363628	24	20	24
0610010F05Rik	0.847977969486421	4	20	24
0610012G03Rik	0.859758663589086	24	12	24
0610040J01Rik	0.0189771192707491	24	12	24
1110004F10Rik	0.0488326717009277	8	12	24
1110006O24Rik	0.206882285987516	24	4	24
1110008L16Rik	0.0028029752457416	8	12	24
1110008P14Rik	0.000115217133465494	4	16	24
1110012L19Rik	0.103803859773971	16	8	24
1110017D15Rik	0.628133220576323	20	8	24
1110038F14Rik	0.0028029752457416	8	12	24
1110051M20Rik	0.293094034107904	12	20	24
1110059G10Rik	0.456125146139379	8	16	24
1300017J02Rik	0.947136758718211	12	12	24
1500002F19Rik	0.0590530786589502	20	16	24
1500015O10Rik	0.000434017281779038	20	8	24
1600002K03Rik	0.951641433696972	12	4	24
1600012H06Rik	0.00929293956183602	12	8	24
1600014C10Rik	0.00146242186734345	20	8	24
1600015I10Rik	0.0233865365390806	20	8	24
1700001C02Rik	0.0344045694803204	24	4	24
1700001C19Rik	0.00528007929649774	12	12	24
1700001G17Rik	0.724672179286616	24	4	24
1700001K19Rik	0.0944529727714804	24	4	24
1700001O22Rik	0.720281604229147	12	20	24
1700001P01Rik	0.206882285987516	20	20	24
1700007K13Rik	0.0230935800335485	20	20	24
1700009J07Rik	0.0107578068079771	20	12	24
1700010I14Rik	0.000963582406045518	8	20	24
1700012A03Rik	0.0519605550754842	20	8	24
1700012B09Rik	0.725378494545417	20	8	24
1700013G24Rik	0.45862253798805	24	16	24
1700016H13Rik	0.000907490680083443	20	12	24
1700016K19Rik	0.0705921648727264	24	4	24
1700018B08Rik	0.0862009524947984	20	12	24
1700018B24Rik	0.0538850200782799	20	8	24
1700019D03Rik	0.174879276165303	24	4	24
1700019M22Rik	0.00719628654304599	20	12	24
1700019N19Rik	0.0519019298869855	24	4	24
1700020D05Rik	0.0250180450363442	24	20	24
1700020L24Rik	0.0537555702400922	24	4	24
1700020N01Rik	0.368125567181675	20	12	24
1700021F05Rik	0.892826304496358	16	12	24
1700021F07Rik	0.456125146139379	20	12	24
1700025F22Rik	0.098800343140936	20	8	24
1700025G04Rik	0.813891473109953	4	8	24
1700028P14Rik	0.188905945542961	20	8	24
1700029H14Rik	0.00392524720529781	20	8	24
1700029I15Rik	0.878394268992004	12	20	24
1700029M20Rik	0.612550363436766	20	8	24
1700030J22Rik	0.179529755954297	20	12	24
1700030K09Rik	0.000259646702295964	8	12	24
1700034E13Rik	0.0766928264961823	16	20	24
1700034J05Rik	0.164205052610176	20	20	24
1700037H04Rik	0.00539703163952801	24	4	24
1700052K11Rik	0.188417593355081	24	16	24
1700065D16Rik	0.0655498673818174	24	4	24
1700067K01Rik	0.102207251525106	24	16	24
1700067P10Rik	0.00392524720529781	20	8	24
1700073E17Rik	0.0114049712804351	20	8	24
1700074P13Rik	0.0252574594622071	20	8	24
1700088E04Rik	0.565042734422087	24	8	24
1700093K21Rik	0.859917258727593	20	16	24
1700102P08Rik	0.724672179286616	20	20	24
