pVal	phase	peak.shape	period
0610009B22Rik	0.000125686937600226	20	22	24
0610010F05Rik	6.05019279772578e-12	21	11	24
0610012G03Rik	0.000100595766574882	20	14	24
0610040J01Rik	1.21479643838453e-10	19	10	24
1110004F10Rik	0.00216396937463685	13	2	24
1110006O24Rik	0.000163305487440957	8	3	24
1110008L16Rik	6.41706950065454e-07	11	9	24
1110008P14Rik	7.35260427788299e-11	22	21	24
1110012L19Rik	0.00113379567615215	11	22	24
1110017D15Rik	0.0150546150508134	4	6	24
1110038F14Rik	0.000623457726041178	10	9	24
1110051M20Rik	0.0156679842438362	16	10	24
1110059G10Rik	2.50676965165573e-06	10	22	24
1300017J02Rik	0.000357570060539628	4	19	24
1500002F19Rik	0.00223198826523102	8	5	24
1500015O10Rik	0.00228644568299159	16	20	24
1600002K03Rik	1.0358924880723e-05	3	7	24
1600012H06Rik	0.00121962036610849	13	3	24
1600014C10Rik	2.85355396005081e-07	19	2	24
1600015I10Rik	0.00095515648587216	24	9	24
1700001C02Rik	0.000227622219282824	7	3	24
1700001C19Rik	7.49444704456452e-08	13	9	24
1700001G17Rik	2.58550845310835e-05	24	12	24
1700001K19Rik	0.00143974919266459	24	9	24
1700001O22Rik	9.1952947543837e-06	24	10	24
1700001P01Rik	0.000197527567381868	24	11	24
1700007K13Rik	4.38667198817961e-05	23	15	24
1700009J07Rik	0.00491902406245448	2	12	24
1700010I14Rik	3.67612897607339e-09	9	9	24
1700012A03Rik	0.0639555051457387	24	4	24
1700012B09Rik	0.00195929990123865	24	11	24
1700013G24Rik	0.00107034828759137	3	6	24
1700016H13Rik	0.0359011788419528	20	15	24
1700016K19Rik	0.000391563067404425	20	14	24
1700018B08Rik	4.16264230452321e-05	22	17	24
1700018B24Rik	0.000738450185406172	24	11	24
1700019D03Rik	0.00828361316267809	24	8	24
1700019M22Rik	0.000298361587513473	24	4	24
1700019N19Rik	0.00157452449297929	19	22	24
1700020D05Rik	0.0246085725481554	20	16	24
1700020L24Rik	1.87971983312368e-06	24	10	24
1700020N01Rik	0.0037495736578105	21	5	24
1700021F05Rik	1.16693453459147e-06	9	19	24
1700021F07Rik	0.000153023365224845	21	13	24
1700025F22Rik	0.0496556334516571	24	12	24
1700025G04Rik	0.0148076689139547	20	13	24
1700028P14Rik	0.0169359250257339	20	10	24
1700029H14Rik	0.000199387761352984	24	9	24
1700029I15Rik	0.00687329123963041	15	13	24
1700029M20Rik	0.000865266929674336	23	10	24
1700030J22Rik	0.0318479490384068	23	22	24
1700030K09Rik	0.00176577887022289	8	11	24
1700034E13Rik	0.000348067748197773	24	14	24
1700034J05Rik	0.00131933196004314	20	12	24
1700037H04Rik	0.00778426451325006	23	2	24
1700052K11Rik	0.000172548597922601	10	2	24
1700065D16Rik	0.00963188189797669	5	14	24
1700067K01Rik	0.000114498744845811	23	14	24
1700067P10Rik	0.0340067188364636	7	11	24
1700073E17Rik	3.48288475851552e-08	21	15	24
1700074P13Rik	0.001812704445931	1	14	24
1700088E04Rik	0.00362114724836032	22	16	24
1700093K21Rik	0.0364711685834404	7	11	24
1700102P08Rik	5.17040093659674e-05	24	10	24
1700120K04Rik	0.00812792960703249	24	10	24
1700123O20Rik	1.28362494418058e-09	21	19	24
1700125H20Rik	0.00745567205487869	19	14	24
1700129C05Rik	0.000439995007093403	23	14	24
1810030O07Rik	8.36790473374925e-05	13	2	24
1810032O08Rik	0.0682537782258937	20	12	24
1810065E05Rik	0.00161279948928378	21	21	24
2010003K11Rik	2.7461630282213e-08	14	14	24
2010106E10Rik	0.00177562269710794	24	17	24
2010204K13Rik	0.066744483705662	6	4	24
2010300C02Rik	0.00967759729139171	21	16	24
2200002J24Rik	1.2423900845483e-05	24	10	24
2210010C04Rik	0.00244961609753413	24	10	24
2210016L21Rik	0.0175842292807521	18	2	24
2210407C18Rik	0.000964784315513277	24	10	24
2210408I21Rik	0.0109556508970313	19	21	24
2300002M23Rik	0.00147528126599204	3	10	24
2310002L09Rik	0.00282323109009255	19	20	24
2310011J03Rik	0.000734065266394056	12	21	24
2310022A10Rik	0.00138245056584121	7	2	24
2310022B05Rik	1.83771660548365e-09	16	5	24
2310030G06Rik	0.00177074262698079	11	19	24
2310033P09Rik	0.0428941535254365	8	10	24
2310034C09Rik	0.165212226132628	21	11	24
2310039H08Rik	0.0178912390990071	14	9	24
2310057M21Rik	0.0027026472934802	22	10	24
2310057N15Rik	0.000522682304886823	21	13	24
2310067E19Rik	0.0464242330116577	15	2	24
2410004B18Rik	4.39061024534655e-12	20	20	24
2410137M14Rik	0.00803309657959163	23	20	24
2510009E07Rik	2.54648889355133e-05	8	7	24
2510039O18Rik	8.6209703682349e-07	19	4	24
2610001J05Rik	0.00211714322790483	23	17	24
2610008E11Rik	0.000775170450064071	10	10	24
2610028H24Rik	0.00106038412149525	20	22	24
2610507B11Rik	7.75086625022337e-08	2	22	24
2610528J11Rik	1.05223095310621e-12	13	6	24
2700097O09Rik	9.17806824917837e-06	20	21	24
2810004N23Rik	5.79564936762906e-06	10	14	24
2810006K23Rik	0.00014835186330293	22	7	24
2810025M15Rik	2.21725075593974e-06	23	10	24
2810032G03Rik	0.0152012544632829	23	2	24
2810408A11Rik	0.0393989004345034	22	22	24
2900005J15Rik	0.00625510956951097	24	14	24
2900026A02Rik	2.5315153311544e-06	15	5	24
3110009E18Rik	3.42215685928934e-06	1	12	24
3110040N11Rik	0.00106038412149525	12	2	24
3110070M22Rik	0.00223198826523102	9	5	24
3110082I17Rik	2.35072918503016e-08	16	15	24
3300002I08Rik	0.000326520497854701	21	19	24
3830406C13Rik	0.00022548016971785	11	5	24
3830417A13Rik	0.00279784646874072	6	5	24
4430402I18Rik	0.000773272448380658	9	9	24
4632404H12Rik	0.00103262977173273	15	11	24
4632415L05Rik	0.112236906788035	19	18	24
4833420G17Rik	2.17606044447436e-09	16	6	24
4833427G06Rik	0.0299608895401426	24	8	24
4921504E06Rik	0.0157696625919798	23	17	24
4921507P07Rik	0.00402829430055916	24	5	24
4921517D22Rik	0.0469815078409982	20	19	24
4921524J17Rik	1.83639194876073e-11	20	13	24
4921524L21Rik	0.000159253148138914	17	18	24
4921530L21Rik	0.00477156636287682	15	10	24
4921536K21Rik	0.00028706571615442	23	11	24
4922502D21Rik	0.0363863590184681	13	21	24
4930415O20Rik	0.00737856888687145	24	3	24
4930429B21Rik	0.001812704445931	24	10	24
4930430A15Rik	0.00827855985815105	22	3	24
4930430F08Rik	2.05864120806802e-10	20	21	24
4930432K21Rik	0.0229089176970937	22	14	24
4930433N12Rik	0.000464735570503812	22	11	24
4930447C04Rik	0.00109295882189533	3	4	24
4930451I11Rik	0.00311999270904222	24	9	24
4930452B06Rik	0.00228644568299159	5	4	24
4930465K10Rik	0.0123879789545515	24	18	24
4930470P17Rik	0.00572099957868145	24	10	24
4930471G03Rik	0.00433141792716568	21	13	24
4930474N05Rik	0.000439995007093403	24	10	24
4930483J18Rik	0.00346947758069377	5	4	24
4930486L24Rik	0.00206751437605781	20	5	24
4930503B20Rik	2.61572233064903e-06	21	17	24
4930503L19Rik	0.000427071642549382	19	22	24
4930505A04Rik	0.00683238768460039	16	14	24
4930515G01Rik	3.96110707671556e-05	22	11	24
4930519G04Rik	1.38298375920381e-05	20	20	24
4930522H14Rik	0.00020570061476533	20	17	24
4930524B15Rik	0.0426846929171217	13	17	24
4930539E08Rik	0.0169359250257339	23	10	24
4930544G11Rik	0.00164415827115179	23	6	24
4930544M13Rik	0.0340067188364636	22	11	24
4930548H24Rik	0.0122342619540614	19	15	24
4930550C14Rik	0.0132234544274528	24	9	24
4930556L07Rik	1.06955724353757e-05	24	10	24
4930578I06Rik	0.00821390588745836	16	2	24
4930579K19Rik	0.00828361316267809	23	16	24
4930591A17Rik	7.4011606565215e-05	24	9	24
4931406B18Rik	0.104521740205118	15	13	24
4931406C07Rik	3.612275153148e-09	4	8	24
4931406H21Rik	0.0104701618928346	4	14	24
4931414P19Rik	2.3857827856113e-09	3	9	24
4931417E11Rik	0.000500584789346005	24	9	24
4931428F04Rik	0.000775170450064071	24	14	24
4931428L18Rik	5.92115757914089e-05	24	10	24
4931429L15Rik	0.0022179858278205	24	10	24
4931431C16Rik	0.00195929990123865	24	11	24
4932414N04Rik	0.00211533576620268	24	8	24
4932435O22Rik	0.00491902406245448	24	12	24
4932438A13Rik	1.91654035183276e-09	4	15	24
4932438H23Rik	0.000368870151241861	24	2	24
4933400A11Rik	0.00895711891104401	3	11	24
4933402J07Rik	0.0447429041831537	24	11	24
4933404G15Rik	0.000850383819195107	22	17	24
4933411K16Rik	0.0693947974240504	13	17	24
4933414I15Rik	0.000197527567381868	21	13	24
4933415F23Rik	0.0027026472934802	18	10	24
4933425L06Rik	0.0370505891078601	5	20	24
4933427D06Rik	0.0212324030556469	8	4	24
4933427D14Rik	2.45357277558994e-05	15	8	24
4933427E11Rik	0.00812792960703249	8	10	24
4933430I17Rik	8.44634066473521e-05	23	20	24
4933431E20Rik	0.000357318752635442	22	15	24
4933434E20Rik	1.20541954362953e-05	22	2	24
4933436I01Rik	0.00017679847896327	21	12	24
4933440M02Rik	0.000314032422481007	3	7	24
5330439B14Rik	0.00107034828759137	18	18	24
5430419D17Rik	0.000224551008772575	19	15	24
5730455P16Rik	0.00092447355916918	3	13	24
6030458C11Rik	0.00128916647755862	9	19	24
6030498E09Rik	4.5604909432398e-05	22	11	24
6330403K07Rik	0.001812704445931	24	14	24
6330549D23Rik	0.10269144128831	22	9	24
6430548M08Rik	0.000366116149955619	24	11	24
6820408C15Rik	5.00831711857042e-05	22	15	24
8030451A03Rik	0.0284624485591753	21	12	24
8030462N17Rik	1.05074468197947e-09	20	3	24
9030612E09Rik	0.00119559089370329	23	14	24
9130008F23Rik	0.00179030569727689	24	2	24
9130401M01Rik	4.30725774538961e-07	22	7	24
9330133O14Rik	5.6392353290501e-05	22	19	24
9330175E14Rik	6.81834387410234e-05	20	16	24
9330182L06Rik	0.0375443632393096	11	14	24
9530002B09Rik	0.000790449692081825	22	21	24
9530003J23Rik	0.00158963420998254	23	13	24
9530068E07Rik	2.70515224898431e-07	16	4	24
9530077C05Rik	0.0347666691999029	20	18	24
9630013D21Rik	1.51729289895457e-05	22	3	24
9930012K11Rik	0.000197527567381868	1	11	24
9930021J03Rik	0.000623457726041178	24	9	24
9930104L06Rik	0.0889250861565391	2	7	24
a	0.015120975308249	24	3	24
A130010J15Rik	0.000471809769535234	20	6	24
A1cf	5.48533446132274e-09	2	17	24
A230050P20Rik	1.19668960245199e-11	10	9	24
A2m	0.0153554643584159	24	12	24
A2ml1	4.06842073536238e-06	14	13	24
A330008L17Rik	0.160960728372024	24	2	24
A430005L14Rik	6.19157376277119e-07	20	18	24
A430033K04Rik	0.00476029270543507	14	11	24
A430093F15Rik	0.0445809655267493	1	2	24
A4galt	0.0741904856367515	23	11	24
A530016L24Rik	0.00535340543139489	24	9	24
A530021J07Rik	0.122529561199225	2	22	24
A530053G22Rik	0.000100595766574882	17	10	24
A630001G21Rik	0.0329169209203627	16	19	24
A630023P12Rik	0.0108472528671032	21	20	24
A630038E17Rik	0.0329169209203627	22	19	24
A630052C17Rik	0.0178912390990071	20	15	24
A730020M07Rik	0.000100595766574882	24	14	24
A730089K16Rik	0.025028649546041	3	3	24
A830005F24Rik	0.00812792960703249	23	10	24
A930012O16Rik	0.0167571109535889	20	22	24
A930018P22Rik	0.0055346875776752	22	8	24
A930024E05Rik	0.000201605041708517	20	22	24
AA986860	8.15100848868013e-06	18	18	24
Aaas	1.08869706427776e-07	13	9	24
Aacs	1.41033670236348e-08	1	7	24
Aadac	3.28587915805461e-05	21	21	24
Aadat	0.0173723412871234	19	13	24
Aagab	2.70667407381944e-08	14	5	24
Aamdc	5.30519202628094e-08	21	11	24
Aamp	2.88258663501918e-08	18	13	24
Aanat	0.000228002940029582	24	12	24
Aar2	0.00248082966044129	19	6	24
Aard	0.00683238768460039	20	14	24
