pVal	phase	peak.shape	period
0610009B22Rik	0.00282584842813374	20	20	24
0610010F05Rik	1.10397631608571e-06	20	14	24
0610012G03Rik	0.00515963831672148	20	14	24
0610040J01Rik	4.60324540388952e-07	16	16	24
1110004F10Rik	0.0155706875249889	12	4	24
1110006O24Rik	0.0034147035592038	8	4	24
1110008L16Rik	5.42737444576864e-05	10	10	24
1110008P14Rik	1.0671555567352e-07	22	18	24
1110012L19Rik	0.0065368995095635	20	10	24
1110017D15Rik	0.00253711141153865	4	6	24
1110038F14Rik	0.00242480051529628	10	14	24
1110051M20Rik	0.0713770956520346	6	12	24
1110059G10Rik	5.42737444576864e-05	18	14	24
1300017J02Rik	6.97513379189397e-05	2	20	24
1500002F19Rik	0.0147252414725509	8	6	24
1500015O10Rik	0.0034147035592038	16	20	24
1600002K03Rik	0.00106058472124402	24	10	24
1600012H06Rik	0.0391294815256902	8	8	24
1600014C10Rik	0.000812816045695085	16	16	24
1600015I10Rik	0.0147252414725509	24	18	24
1700001C02Rik	0.00282584842813374	6	4	24
1700001C19Rik	7.12679810282996e-06	12	10	24
1700001G17Rik	0.00015392988601406	24	12	24
1700001K19Rik	0.0276759288079416	24	4	24
1700001O22Rik	0.000159814211991454	24	10	24
1700001P01Rik	0.00242480051529628	24	14	24
1700007K13Rik	0.0337984986564103	24	14	24
1700009J07Rik	0.00515963831672148	24	14	24
1700010I14Rik	6.66510689975454e-07	8	10	24
1700012A03Rik	0.0166900346524078	16	12	24
1700012B09Rik	0.0166900346524078	24	12	24
1700013G24Rik	0.0114251903314547	24	20	24
1700016H13Rik	0.0440434687300183	20	6	24
1700016K19Rik	0.00242480051529628	24	10	24
1700018B08Rik	7.43162756898075e-05	24	12	24
1700018B24Rik	0.00140884270991091	24	10	24
1700019D03Rik	0.00253711141153865	20	6	24
1700019M22Rik	0.000660051842996086	24	4	24
1700019N19Rik	0.00587201111383249	22	20	24
1700020D05Rik	0.0135059977369846	24	12	24
1700020L24Rik	0.000224349746807567	24	10	24
1700020N01Rik	0.00315142855156491	20	6	24
1700021F05Rik	2.47483928255834e-06	10	18	24
1700021F07Rik	0.000328370597237086	6	4	24
1700025F22Rik	0.00140884270991091	22	14	24
1700025G04Rik	0.102475654107018	20	10	24
1700028P14Rik	0.0114251903314547	24	4	24
1700029H14Rik	0.000107543184500629	24	12	24
1700029I15Rik	0.111139269477177	16	12	24
1700029M20Rik	0.00515963831672148	20	14	24
1700030J22Rik	0.0249623967301128	6	12	24
1700030K09Rik	0.0102673954355504	8	10	24
1700034E13Rik	2.49918465586313e-05	24	14	24
1700034J05Rik	0.000582812808814428	20	12	24
1700037H04Rik	0.0196489137808847	22	16	24
1700052K11Rik	0.00282584842813374	10	4	24
1700065D16Rik	0.0156829201553824	14	10	24
1700067K01Rik	0.000791584783283439	24	10	24
1700067P10Rik	0.0135059977369846	6	12	24
1700073E17Rik	0.00015392988601406	24	12	24
1700074P13Rik	0.0827929554829099	22	20	24
1700088E04Rik	0.00697674942243268	22	20	24
1700093K21Rik	0.0391294815256902	2	16	24
1700102P08Rik	1.66592668069429e-05	24	10	24
1700120K04Rik	0.0127329095876849	24	10	24
1700123O20Rik	7.9233844038213e-06	22	18	24
1700125H20Rik	0.0659578046790955	22	14	24
1700129C05Rik	0.0515718184480266	24	12	24
1810030O07Rik	0.0034147035592038	4	20	24
1810032O08Rik	0.0847365058757879	6	6	24
1810065E05Rik	0.00282584842813374	22	20	24
2010003K11Rik	2.49918465586313e-05	14	14	24
2010106E10Rik	0.00515963831672148	24	10	24
2010204K13Rik	0.00185585037099089	24	10	24
2010300C02Rik	0.119707756943103	20	18	24
2200002J24Rik	0.000159814211991454	24	10	24
2210010C04Rik	0.000791584783283439	24	10	24
2210016L21Rik	0.0249623967301128	10	12	24
2210407C18Rik	0.00242480051529628	24	10	24
2210408I21Rik	0.020598739600286	20	18	24
2300002M23Rik	0.0276759288079416	22	20	24
2310002L09Rik	0.00515963831672148	24	10	24
2310011J03Rik	3.70437783700249e-05	18	14	24
2310022A10Rik	0.020598739600286	6	6	24
2310022B05Rik	5.43433188933208e-06	16	6	24
2310030G06Rik	0.0591507992678942	12	4	24
2310033P09Rik	0.0065368995095635	8	10	24
2310034C09Rik	0.151587920010013	22	10	24
2310039H08Rik	0.0196489137808847	14	16	24
2310057M21Rik	0.00404236302418232	22	10	24
2310057N15Rik	0.00185585037099089	24	10	24
2310067E19Rik	0.0660164030157537	14	18	24
2410004B18Rik	1.34592656561049e-07	20	20	24
2410137M14Rik	0.0847365058757879	24	18	24
