pVal	phase	peak.shape	period
0610009B22Rik	0.0677673291651841	4	8	24
0610010F05Rik	8.66565838734211e-05	16	4	24
0610012G03Rik	0.000327103933774818	20	12	24
0610040J01Rik	0.000327103933774818	16	12	24
1110004F10Rik	0.00252114874545451	8	4	24
1110006O24Rik	0.18376510903103	4	4	24
1110008L16Rik	0.0960375472305529	24	16	24
1110008P14Rik	0.0304083430759586	20	16	24
1110012L19Rik	0.0878887635758228	4	4	24
1110017D15Rik	0.00077703340661549	4	4	24
1110038F14Rik	0.000935461461563225	24	16	24
1110051M20Rik	0.131843304698487	8	8	24
1110059G10Rik	0.00425064230164876	8	20	24
1300017J02Rik	0.00370728070621325	8	8	24
1500002F19Rik	0.0659374832170001	16	20	24
1500015O10Rik	0.0163963196072215	12	20	24
1600002K03Rik	0.146564418134475	4	4	24
1600012H06Rik	0.0241557393095539	12	20	24
1600014C10Rik	2.10101831613548e-05	12	16	24
1600015I10Rik	0.0116586184110202	20	8	24
1700001C02Rik	0.00681381676834041	4	12	24
1700001C19Rik	0.00192446500279571	12	8	24
1700001G17Rik	0.000327103933774818	4	12	24
1700001K19Rik	0.381221022797161	4	20	24
1700001O22Rik	0.000790713302947881	20	12	24
1700001P01Rik	0.00425064230164876	16	20	24
1700007K13Rik	0.00689607619958387	4	4	24
1700009J07Rik	0.0878887635758228	12	4	24
1700010I14Rik	0.0346194265281409	8	4	24
1700012A03Rik	0.0067466409122486	16	8	24
1700012B09Rik	0.0163963196072215	4	4	24
1700013G24Rik	0.00689607619958387	8	20	24
1700016H13Rik	0.0878887635758228	12	20	24
1700016K19Rik	0.0878887635758228	4	4	24
1700018B08Rik	0.0677673291651841	4	8	24
1700018B24Rik	0.0304083430759586	16	8	24
1700019D03Rik	0.00370728070621325	4	8	24
1700019M22Rik	0.0122708522393892	12	12	24
1700019N19Rik	0.0462298581812637	4	16	24
1700020D05Rik	0.00689607619958387	8	4	24
1700020L24Rik	0.00174402398931885	4	12	24
1700020N01Rik	0.146564418134475	4	20	24
1700021F05Rik	5.76085667327471e-06	4	8	24
1700021F07Rik	0.000174350632847049	4	8	24
1700025F22Rik	0.113063729264856	20	12	24
1700025G04Rik	0.0116586184110202	12	16	24
1700028P14Rik	0.146564418134475	24	4	24
1700029H14Rik	0.000790713302947881	20	12	24
1700029I15Rik	0.0677673291651841	24	8	24
1700029M20Rik	0.0116586184110202	20	8	24
1700030J22Rik	0.00252114874545451	8	4	24
1700030K09Rik	0.131843304698487	20	8	24
1700034E13Rik	0.113063729264856	24	12	24
1700034J05Rik	0.0122708522393892	4	12	24
1700037H04Rik	0.175696301191142	4	8	24
1700052K11Rik	0.000121868488945287	24	12	24
1700065D16Rik	0.0209352881505645	16	12	24
1700067K01Rik	0.0483585663030278	4	4	24
1700067P10Rik	0.0340242184188789	16	12	24
1700073E17Rik	0.000174350632847049	24	16	24
1700074P13Rik	0.00370728070621325	12	8	24
1700088E04Rik	0.175696301191142	4	8	24
1700093K21Rik	0.000174350632847049	20	8	24
1700102P08Rik	0.0483585663030278	12	20	24
1700120K04Rik	0.0108056013208113	24	4	24
1700123O20Rik	0.114655634497012	16	20	24
1700125H20Rik	0.0241557393095539	16	20	24
1700129C05Rik	0.00356632382271221	12	12	24
1810030O07Rik	0.000935461461563225	12	8	24
1810032O08Rik	0.00077703340661549	16	20	24
1810065E05Rik	0.0108056013208113	24	20	24
2010003K11Rik	0.0163963196072215	12	4	24
2010106E10Rik	0.175696301191142	24	8	24
2010204K13Rik	0.0163963196072215	12	4	24
2010300C02Rik	0.227651095409953	24	8	24
2200002J24Rik	0.00689607619958387	20	20	24
2210010C04Rik	0.0067466409122486	16	16	24
2210016L21Rik	0.0067466409122486	8	16	24
2210407C18Rik	0.00356632382271221	12	12	24
2210408I21Rik	0.00174402398931885	16	12	24
2300002M23Rik	0.0067466409122486	20	16	24
2310002L09Rik	0.0878887635758228	20	4	24
2310011J03Rik	0.0067466409122486	24	16	24
2310022A10Rik	0.00689607619958387	4	4	24
2310022B05Rik	0.0659374832170001	12	4	24
2310030G06Rik	0.0340242184188789	12	12	24
2310033P09Rik	0.00356632382271221	8	12	24
2310034C09Rik	0.0659374832170001	16	20	24
2310039H08Rik	0.000935461461563225	20	16	24
2310057M21Rik	0.0163963196072215	16	20	24
2310057N15Rik	0.113063729264856	8	12	24
2310067E19Rik	0.0122708522393892	20	12	24
2410004B18Rik	0.00689607619958387	16	20	24
2410137M14Rik	0.0960375472305529	20	8	24
2510009E07Rik	0.0483585663030278	20	20	24
2510039O18Rik	0.0659374832170001	12	20	24
2610001J05Rik	0.0340242184188789	4	12	24
2610008E11Rik	0.00192446500279571	8	8	24
2610028H24Rik	0.0528632412817892	20	12	24
2610507B11Rik	0.000121868488945287	16	12	24
2610528J11Rik	6.48943560548298e-05	8	8	24
2700097O09Rik	0.0108056013208113	8	20	24
2810004N23Rik	0.00689607619958387	8	4	24
2810006K23Rik	0.0209352881505645	8	12	24
2810025M15Rik	0.00192446500279571	20	16	24
2810032G03Rik	0.00681381676834041	20	12	24
2810408A11Rik	0.0462298581812637	4	8	24
2900005J15Rik	0.0659374832170001	24	4	24
2900026A02Rik	6.48943560548298e-05	12	16	24
3110009E18Rik	0.114655634497012	12	20	24
3110040N11Rik	0.0878887635758228	8	4	24
3110070M22Rik	0.00356632382271221	20	12	24
3110082I17Rik	0.000935461461563225	12	16	24
3300002I08Rik	0.0677673291651841	8	16	24
3830406C13Rik	0.000327103933774818	8	12	24
3830417A13Rik	0.0659374832170001	8	20	24
4430402I18Rik	6.48943560548298e-05	8	8	24
4632404H12Rik	0.0304083430759586	16	8	24
4632415L05Rik	0.0122708522393892	20	12	24
4833420G17Rik	0.00077703340661549	16	4	24
4833427G06Rik	0.0116586184110202	24	16	24
4921504E06Rik	0.0067466409122486	16	8	24
4921507P07Rik	0.0659374832170001	4	20	24
4921517D22Rik	0.0122708522393892	20	12	24
4921524J17Rik	0.00370728070621325	20	16	24
4921524L21Rik	0.0788155019263494	4	12	24
4921530L21Rik	0.0462298581812637	24	8	24
4921536K21Rik	0.0163963196072215	20	20	24
4922502D21Rik	0.0116586184110202	4	8	24
4930415O20Rik	0.00077703340661549	4	4	24
4930429B21Rik	0.0241557393095539	4	4	24
4930430A15Rik	0.156495049530154	4	12	24
4930430F08Rik	0.00425064230164876	16	20	24
4930432K21Rik	0.0304083430759586	20	16	24
4930433N12Rik	0.0116586184110202	16	8	24
4930447C04Rik	1.08186125956652e-05	4	12	24
4930451I11Rik	0.0209352881505645	24	12	24
4930452B06Rik	0.0483585663030278	16	4	24
4930465K10Rik	0.000399292472034108	4	4	24
4930470P17Rik	0.0304083430759586	20	16	24
4930471G03Rik	0.00370728070621325	20	8	24
4930474N05Rik	0.0659374832170001	16	20	24
4930483J18Rik	0.0067466409122486	4	8	24
4930486L24Rik	0.0067466409122486	24	8	24
4930503B20Rik	0.325556589243981	16	4	24
4930503L19Rik	0.0878887635758228	16	20	24
4930505A04Rik	0.0108056013208113	8	4	24
4930515G01Rik	0.0209352881505645	20	12	24
4930519G04Rik	0.175696301191142	4	8	24
4930522H14Rik	0.000327103933774818	12	12	24
4930524B15Rik	0.209445157907197	16	12	24
4930539E08Rik	0.0116586184110202	4	8	24
4930544G11Rik	0.000422406343719819	4	16	24
4930544M13Rik	0.273645795977624	4	20	24
4930548H24Rik	0.131843304698487	24	16	24
4930550C14Rik	0.156495049530154	20	12	24
4930556L07Rik	0.0340242184188789	24	12	24
4930578I06Rik	0.00689607619958387	12	20	24
4930579K19Rik	0.000174350632847049	4	8	24
4930591A17Rik	0.0462298581812637	16	8	24
4931406B18Rik	0.00370728070621325	20	16	24
4931406C07Rik	0.0067466409122486	20	16	24
4931406H21Rik	0.0192353309951033	16	16	24
4931414P19Rik	0.00425064230164876	20	20	24
4931417E11Rik	2.10101831613548e-05	24	16	24
4931428F04Rik	0.0192353309951033	4	8	24
4931428L18Rik	0.0659374832170001	24	20	24
4931429L15Rik	0.0067466409122486	4	8	24
4931431C16Rik	0.0067466409122486	4	8	24
4932414N04Rik	0.175696301191142	16	8	24
4932435O22Rik	0.0462298581812637	20	8	24
4932438A13Rik	8.66565838734211e-05	24	20	24
4932438H23Rik	0.0163963196072215	4	4	24
4933400A11Rik	0.0241557393095539	12	20	24
4933402J07Rik	0.000935461461563225	24	8	24
4933404G15Rik	0.226217202769823	16	4	24
4933411K16Rik	0.00077703340661549	12	4	24
4933414I15Rik	0.0462298581812637	16	16	24
4933415F23Rik	0.0108056013208113	20	20	24
4933425L06Rik	0.175696301191142	16	16	24
4933427D06Rik	0.0346194265281409	20	20	24
4933427D14Rik	0.0340242184188789	8	12	24
4933427E11Rik	0.0163963196072215	16	20	24
4933430I17Rik	0.000399292472034108	4	4	24
4933431E20Rik	0.000192751129983143	8	4	24
4933434E20Rik	0.00425064230164876	20	4	24
4933436I01Rik	0.0067466409122486	24	8	24
4933440M02Rik	0.00370728070621325	16	16	24
5330439B14Rik	0.0788155019263494	16	12	24
5430419D17Rik	0.0163963196072215	4	4	24
5730455P16Rik	0.0116586184110202	12	8	24
6030458C11Rik	0.00077703340661549	16	4	24
6030498E09Rik	0.0192353309951033	24	8	24
6330403K07Rik	0.00356632382271221	20	12	24
6330549D23Rik	0.000422406343719819	12	8	24
6430548M08Rik	0.0067466409122486	20	16	24
6820408C15Rik	0.00425064230164876	4	4	24
8030451A03Rik	0.18376510903103	12	4	24
8030462N17Rik	0.000121868488945287	16	12	24
9030612E09Rik	0.209445157907197	4	12	24
9130008F23Rik	0.0462298581812637	4	8	24
9130401M01Rik	0.00077703340661549	20	4	24
9330133O14Rik	0.114655634497012	12	4	24
9330175E14Rik	0.0304083430759586	8	8	24
9330182L06Rik	0.000935461461563225	24	8	24
9530002B09Rik	0.0788155019263494	4	12	24
9530003J23Rik	0.0116586184110202	4	16	24
9530068E07Rik	0.00370728070621325	12	8	24
9530077C05Rik	0.00370728070621325	4	8	24
9630013D21Rik	8.66565838734211e-05	8	20	24
9930012K11Rik	0.0163963196072215	20	20	24
9930021J03Rik	0.00681381676834041	8	12	24
9930104L06Rik	0.0346194265281409	4	4	24
a	0.0677673291651841	8	8	24
A130010J15Rik	0.00174402398931885	16	12	24
A1cf	0.0241557393095539	8	20	24
A230050P20Rik	0.000174350632847049	24	16	24
A2m	0.00174402398931885	4	12	24
A2ml1	0.0067466409122486	16	8	24
A330008L17Rik	0.00681381676834041	20	12	24
A430005L14Rik	0.00356632382271221	20	12	24
A430033K04Rik	0.0878887635758228	24	20	24
A430093F15Rik	0.0960375472305529	8	8	24
A4galt	0.0304083430759586	4	8	24
A530016L24Rik	0.0122708522393892	4	12	24
A530021J07Rik	0.0304083430759586	4	8	24
A530053G22Rik	0.00425064230164876	4	4	24
A630001G21Rik	0.0192353309951033	16	16	24
A630023P12Rik	0.0788155019263494	12	12	24
A630038E17Rik	0.00370728070621325	20	16	24
A630052C17Rik	0.0677673291651841	20	16	24
A730020M07Rik	0.156495049530154	16	12	24
A730089K16Rik	0.00681381676834041	20	12	24
A830005F24Rik	0.00356632382271221	12	12	24
A930012O16Rik	0.0483585663030278	4	4	24
A930018P22Rik	0.0108056013208113	20	20	24
A930024E05Rik	0.0659374832170001	20	20	24
AA986860	0.000121868488945287	16	12	24
Aaas	0.00356632382271221	8	12	24
Aacs	0.000121868488945287	20	12	24
Aadac	0.0209352881505645	4	12	24
Aadat	0.00425064230164876	8	20	24
Aagab	0.00174402398931885	8	12	24
Aamdc	0.0304083430759586	12	16	24
Aamp	0.0108056013208113	8	20	24
Aanat	0.0659374832170001	8	4	24
Aar2	0.00689607619958387	12	20	24
Aard	0.00425064230164876	4	4	24
Aars2	0.0462298581812637	4	16	24
Aarsd1	0.0116586184110202	20	16	24
Aasdh	0.000327103933774818	4	12	24
Aasdhppt	0.0241557393095539	8	4	24
Aass	0.0462298581812637	24	16	24
Aatf	3.94561165253671e-05	8	12	24
AB124611	0.146564418134475	4	20	24
Abat	0.00143352372834668	12	4	24
Abca1	0.0483585663030278	8	20	24
Abca12	0.0659374832170001	4	20	24
Abca13	0.0878887635758228	4	20	24
Abca14	0.0346194265281409	8	20	24
Abca2	2.10101831613548e-05	8	8	24
Abca3	0.0163963196072215	12	4	24
Abca4	0.000399292472034108	20	20	24
Abca5	0.00370728070621325	12	8	24
Abca6	6.48943560548298e-05	12	16	24
Abca7	0.00681381676834041	20	12	24
Abca9	0.000399292472034108	16	20	24
Abcb10	0.000422406343719819	20	8	24
Abcb11	5.76085667327471e-06	8	8	24
Abcb6	0.0346194265281409	24	4	24
Abcb9	0.0116586184110202	20	8	24
Abcc1	0.131843304698487	4	16	24
Abcc10	0.131843304698487	16	16	24
Abcc12	0.0659374832170001	4	20	24
Abcc2	2.10101831613548e-05	12	16	24
Abcc3	0.00192446500279571	12	16	24
Abcc5	0.0192353309951033	4	8	24
Abcc6	0.00370728070621325	12	8	24
Abcc9	0.000327103933774818	16	12	24
Abcd1	0.0116586184110202	12	16	24
Abcd2	0.0067466409122486	12	8	24
Abcd3	0.0304083430759586	12	8	24
Abcd4	0.0067466409122486	16	16	24
Abce1	0.0108056013208113	16	20	24
Abcf1	0.0209352881505645	8	12	24
Abcf2	0.0067466409122486	16	8	24
Abcf3	0.0192353309951033	8	16	24
Abcg1	0.0192353309951033	16	16	24
Abcg2	0.0192353309951033	16	16	24
Abcg3	0.271644225470069	8	12	24
Abcg4	0.0340242184188789	20	12	24
Abcg5	5.76085667327471e-06	12	16	24
Abcg8	6.48943560548298e-05	12	16	24
Abhd1	0.0304083430759586	20	16	24
Abhd10	0.00370728070621325	12	16	24
Abhd11	0.00192446500279571	20	8	24
Abhd12	0.0304083430759586	12	16	24
Abhd13	0.000935461461563225	16	16	24
Abhd14a	5.76085667327471e-06	24	16	24
Abhd15	0.000174350632847049	16	16	24
Abhd16a	2.10101831613548e-05	16	16	24
Abhd16b	0.00192446500279571	20	16	24
Abhd17a	3.94561165253671e-05	20	12	24
Abhd17b	6.48943560548298e-05	16	8	24
Abhd17c	0.000422406343719819	12	8	24
Abhd2	0.227651095409953	8	8	24
Abhd3	0.00356632382271221	24	12	24
Abhd4	0.00192446500279571	12	8	24
Abhd5	0.0192353309951033	4	8	24
Abhd6	0.000192751129983143	24	4	24
Abhd8	0.00174402398931885	24	12	24
Abi2	0.0122708522393892	16	12	24
Abi3	0.18376510903103	4	4	24
Abi3bp	0.0209352881505645	16	12	24
Abl1	0.000422406343719819	12	16	24
Ablim1	0.00252114874545451	20	20	24
Ablim2	0.00174402398931885	20	12	24
Ablim3	0.00077703340661549	16	20	24
Abo	0.0241557393095539	12	4	24
Abr	0.114655634497012	4	20	24
Abra	0.0304083430759586	24	16	24
Abraxas1	0.00174402398931885	8	12	24
Abraxas2	0.00143352372834668	8	20	24
Abtb1	2.10101831613548e-05	12	8	24
Acaa2	0.114655634497012	24	4	24
Acaca	3.94561165253671e-05	16	12	24
Acacb	1.08186125956652e-05	24	12	24
Acad11	0.000174350632847049	12	16	24
Acad8	0.0116586184110202	8	8	24
Acad9	0.0462298581812637	8	8	24
Acadl	0.00689607619958387	8	20	24
Acadm	8.66565838734211e-05	8	20	24
Acads	0.00370728070621325	20	8	24
Acadsb	0.0192353309951033	4	16	24
Acadvl	0.0067466409122486	4	8	24
Acan	0.0659374832170001	20	4	24
Acap1	0.0122708522393892	12	12	24
Acap3	0.000935461461563225	16	16	24
Acat1	0.0122708522393892	16	12	24
Acbd3	0.00425064230164876	8	4	24
Acbd4	0.000422406343719819	4	8	24
Acbd5	0.000935461461563225	12	16	24
Acbd6	0.226217202769823	8	20	24
Accs	0.000174350632847049	12	8	24
Acd	0.0878887635758228	12	20	24
Ace2	0.18376510903103	8	20	24
Acer1	0.18376510903103	12	20	24
Acer2	0.0192353309951033	16	8	24
Acer3	0.114655634497012	16	20	24
Acin1	0.0067466409122486	8	8	24
Ackr1	0.226217202769823	12	4	24
Ackr2	0.113063729264856	20	12	24
Ackr3	0.0163963196072215	12	4	24
Ackr4	0.0528632412817892	16	12	24
Acly	5.76085667327471e-06	24	8	24
Aco1	0.00425064230164876	24	4	24
Aco2	0.000935461461563225	20	8	24
Acot11	5.76085667327471e-06	20	8	24
Acot12	5.76085667327471e-06	12	16	24
Acot13	0.209445157907197	16	12	24
Acot2	0.0462298581812637	8	8	24
Acot3	0.0462298581812637	24	16	24
Acot4	0.0108056013208113	24	4	24
Acot5	0.000399292472034108	4	4	24
Acot6	0.0122708522393892	16	12	24
Acot7	2.22736141675459e-06	20	12	24
Acot8	0.0346194265281409	20	20	24
Acox1	0.000935461461563225	12	16	24
Acox2	0.0067466409122486	8	8	24
Acox3	0.00077703340661549	8	20	24
Acp1	0.000327103933774818	12	12	24
Acp2	0.0209352881505645	8	12	24
Acp5	0.00252114874545451	20	20	24
Acp6	0.000790713302947881	8	12	24
Acp7	0.00252114874545451	20	20	24
Acpp	0.0067466409122486	8	8	24
Acr	0.0483585663030278	20	20	24
Acrbp	0.0192353309951033	24	8	24
Acrv1	0.0483585663030278	20	20	24
Acsbg1	0.00143352372834668	4	20	24
Acsf2	0.113063729264856	12	12	24
Acsl1	0.0067466409122486	8	8	24
Acsl4	2.10101831613548e-05	16	16	24
Acsl5	0.000174350632847049	24	16	24
Acsl6	0.113063729264856	4	12	24
Acsm1	0.0659374832170001	20	20	24
Acsm2	0.287286128196005	8	16	24
Acsm5	1.18605872685068e-06	12	16	24
Acss1	0.287286128196005	8	16	24
Acta1	0.114655634497012	4	4	24
Actb	0.273645795977624	4	4	24
Actg2	0.0116586184110202	24	16	24
Actl11	0.0116586184110202	24	8	24
Actl6a	0.00370728070621325	16	16	24
Actl6b	0.0122708522393892	20	12	24
Actl7a	0.00370728070621325	4	8	24
Actl7b	0.175696301191142	4	8	24
Actl9	0.0462298581812637	20	16	24
Actn1	0.00077703340661549	16	4	24
Actn2	0.114655634497012	4	20	24
Actn3	0.0241557393095539	4	4	24
Actn4	0.0116586184110202	8	8	24
Actr1a	0.000422406343719819	8	16	24
Actr1b	0.000327103933774818	16	12	24
Actr2	0.0483585663030278	8	4	24
Actr6	0.000327103933774818	16	12	24
Actrt1	0.209445157907197	12	12	24
Actrt2	0.00192446500279571	20	16	24
Actrt3	0.0346194265281409	4	4	24
Acvr1	0.000174350632847049	12	8	24
Acvr1b	6.48943560548298e-05	12	16	24
Acvr2a	0.00681381676834041	16	12	24
Acvr2b	0.00192446500279571	16	16	24
Acvrl1	0.114655634497012	20	4	24
Acy1	5.76085667327471e-06	20	8	24
Acy3	5.76085667327471e-06	12	16	24
Acyp1	0.0960375472305529	24	8	24
Acyp2	0.00356632382271221	16	12	24
Ada	0.131843304698487	20	16	24
Adad1	0.0659374832170001	4	4	24
Adal	0.0677673291651841	16	8	24
Adam10	0.00356632382271221	16	12	24
