ID	Waveform	PeriodMean	PeriodStdDev	PhaseMean	PhaseStdDev	NadirMean	NadirStdDev	Mean	Std_Dev	Max	Min	Max_Amp	FC	IQR_FC	NumBoots	TauMean	TauStdDev	empP	GammaP	GammaBH
lTrend_451	cosine	24.0	0.0	12.0	-0.0	0.0	-0.0	-6.97416376923	106.326830066	149.8872	-145.657	295.5442	-1.02904220189	-0.662814645502	25	2.64665241236	0.0	0.000999000999001	1.02982734611e-14	2.55255334862e-11
lTrend_70	cosine	24.0	0.0	0.0	-0.0	12.0	-0.0	34.4223732308	343.59015662	470.8261	-472.6211	943.4472	-0.996202031606	-1.7007805509	25	2.64665241236	0.0	0.000999000999001	1.02982734611e-14	2.55255334862e-11
lTrend_742	cosine	24.0	0.0	0.0	-0.0	12.0	-0.0	3.43214646154	52.323229579	71.67752	-73.75903	145.43655	-0.971779590919	-1.50873515115	25	2.64665241236	0.0	0.000999000999001	1.02982734611e-14	2.55255334862e-11
lTrend_265	cosine	24.0	0.0	0.0	-0.0	12.0	-0.0	50.018102	580.109981274	794.8796	-806.0061	1600.8857	-0.986195513905	-1.62024677212	25	2.64665241236	0.0	0.000999000999001	1.02982734611e-14	2.55255334862e-11
lTrend_339	cosine	24.0	0.0	0.0	-0.0	12.0	-0.0	3.03673450769	43.528506755	59.63328	-61.18372	120.817	-0.974659272107	-1.53059882888	25	2.62301648914	0.115791902969	0.000999000999001	1.51115741936e-14	2.55255334862e-11
amped_429	cosine	24.0	0.0	0.0	-0.0	14.0	-0.0	15.86379	171.923297507	258.7316	-233.2754	492.007	-1.1091250942	-1.1323394326	25	2.56371913866	0.229887690635	0.000999000999001	3.94945934712e-14	2.55255334862e-11
lTrend_747	cosine	24.0	0.0	14.0	-0.0	2.0	5.69182430834e-08	-114.96598	1475.0689536	2074.959	-2046.179	4121.138	-1.01406524063	-0.610434015459	25	2.56371913866	0.229887690635	0.000999000999001	3.94945934712e-14	2.55255334862e-11
damp_344	cosine	24.0	0.0	0.0	-0.0	10.0	5.69182430834e-08	1.24467330769	13.4991314118	20.33582	-18.31851	38.65433	-1.11012413127	-1.13356332671	25	2.55210871949	0.216626814536	0.000999000999001	4.76571637572e-14	2.55255334862e-11
amped_42	cosine	24.0	0.0	22.0	-0.0	12.0	-0.0	1.59421592308	13.448659775	20.28456	-17.58879	37.87335	-1.15326637023	-1.15326620069	25	2.55210871949	0.216626814536	0.000999000999001	4.76571637572e-14	2.55255334862e-11
amped_245	cosine	24.0	0.0	22.0	-0.0	12.0	-0.0	1.62625107692	13.7883533926	20.71811	-18.04763	38.76574	-1.14796845902	-1.14796748096	25	2.55210871949	0.216626814536	0.000999000999001	4.76571637572e-14	2.55255334862e-11
amped_316	cosine	24.0	0.0	14.0	-0.0	0.0	-0.0	-3.65706076923	40.5732586062	55.23539	-63.15799	118.39338	-0.87455902254	-0.851426178411	25	2.54406936722	0.286492337451	0.000999000999001	5.42754517032e-14	2.55255334862e-11
amped_321	cosine	24.0	0.0	0.0	-0.0	14.0	-0.0	1.97931107692	21.5278045804	32.55797	-29.22629	61.78426	-1.1139959947	-1.1383095537	25	2.54008321544	0.249671196015	0.000999000999001	5.78894495892e-14	2.55255334862e-11
damp_80	cosine	24.0	0.0	10.0	5.69182430834e-08	0.0	-0.0	-0.968163153846	10.6602886003	14.49821	-16.40688	30.90509	-0.883666486255	-0.862076617084	25	2.54008321544	0.249671196015	0.000999000999001	5.78894495892e-14	2.55255334862e-11
amped_599	cosine	24.0	0.0	14.0	-0.0	0.0	-0.0	-7.41307538462	81.9464338888	111.5077	-126.8608	238.3685	-0.878976799768	-0.856589980269	25	2.53966813055	0.28971480471	0.000999000999001	5.82793171272e-14	2.55255334862e-11
amped_630	cosine	24.0	0.0	12.0	-0.0	22.0	-0.0	-55.1532230769	449.397801774	584.2377	-695.2653	1279.503	-0.840309015853	-0.840308820853	25	2.52847279627	0.236359232183	0.000999000999001	6.98424702258e-14	2.55255334862e-11
amped_309	cosine	24.0	0.0	22.0	-0.0	12.0	-0.0	10.5796861538	89.4899757433	134.7048	-117.0899	251.7947	-1.15043910705	-1.15043965653	25	2.52847279627	0.236359232183	0.000999000999001	6.98424702258e-14	2.55255334862e-11
saw_927	cosine	24.0	0.0	0.0	-0.0	4.0	-0.0	19.1670407692	11.3888549305	35.59593	0.0	35.59593	-10000.0	2.66666697881	25	2.52847279627	0.236359232183	0.000999000999001	6.98424702258e-14	2.55255334862e-11
amped_45	cosine	24.0	0.0	22.0	-0.0	12.0	-0.0	9.92476461538	84.6629783713	126.6262	-110.9215	237.5477	-1.14158391295	-1.14158409062	25	2.52847279627	0.236359232183	0.000999000999001	6.98424702258e-14	2.55255334862e-11
damp_440	cosine	24.0	0.0	10.0	5.69182430834e-08	0.0	-0.0	-6.14008692308	66.952413708	90.92987	-101.6164	192.54627	-0.894834593629	-0.875167844274	25	2.52805771138	0.278307401928	0.000999000999001	7.03126355489e-14	2.55255334862e-11
amped_153	cosine	24.0	0.0	0.0	-0.0	14.0	-0.0	2.22981538462	24.4091640357	37.25131	-33.1697	70.42101	-1.12305236406	-1.14942350226	25	2.52682130678	0.295596162126	0.000999000999001	7.17319014444e-14	2.55255334862e-11
damp_360	cosine	24.0	0.0	0.0	-0.0	10.0	5.69182430834e-08	86.8432692308	955.724747439	1469.814	-1299.713	2769.527	-1.13087581643	-1.15903849069	25	2.520433444	0.301058689053	0.000999000999001	7.95326978044e-14	2.55255334862e-11
amped_761	cosine	24.0	0.0	22.0	-0.0	12.0	-0.0	3.90676384615	32.6793801855	49.60186	-42.68028	92.28214	-1.16217278799	-1.16217267559	25	2.51644729222	0.265905524954	0.000999000999001	8.48236983488e-14	2.55255334862e-11
amped_212	cosine	24.0	0.0	22.0	-0.0	12.0	-0.0	2.73006861538	22.6871045328	34.60232	-29.59722	64.19954	-1.16910709857	-1.16910704692	25	2.51644729222	0.265905524954	0.000999000999001	8.48236983488e-14	2.55255334862e-11
lTrend_164	cosine	24.0	0.0	2.0	5.69182430834e-08	14.0	-0.0	606.963215538	6646.2735157	9258.786	-9272.043	18530.829	-0.99857021802	-1.72220856397	25	2.51644729222	0.265905524954	0.000999000999001	8.48236983488e-14	2.55255334862e-11
amped_642	cosine	24.0	0.0	0.0	-0.0	14.0	-0.0	2.07695038462	22.8588228218	35.15839	-31.08657	66.24496	-1.13098325097	-1.15917085033	25	2.50840793995	0.324473483186	0.000999000999001	9.65868387136e-14	2.55255334862e-11
amped_431	cosine	24.0	0.0	12.0	-0.0	22.0	-0.0	-1.59789123077	13.5839475749	17.78753	-20.37001	38.15754	-0.873221466263	-0.873221343111	25	2.50483687305	0.252362601761	0.000999000999001	1.02321191668e-13	2.55255334862e-11
amped_928	cosine	24.0	0.0	0.0	-0.0	14.0	-0.0	1.89377053846	20.7588671287	31.74237	-28.21482	59.95719	-1.12502472105	-1.15184663387	25	2.50483687305	0.252362601761	0.000999000999001	1.02321191668e-13	2.55255334862e-11
