ID	Waveform	PeriodMean	PeriodStdDev	PhaseMean	PhaseStdDev	NadirMean	NadirStdDev	Mean	Std_Dev	Max	Min	Max_Amp	FC	IQR_FC	NumBoots	TauMean	TauStdDev	empP	GammaP	GammaBH
sin_283	cosine	24.0	0.0	16.0	-0.0	8.0	8.0494551315e-08	-1.44775323137	29.9462227158	49.6170850908	-36.6882996144	86.3053847052	-1.35239533072	-1.11329050251	25	1.34501510978	0.0	0.000999000999001	0.000999000999001	0.0174152313613
amped_437	cosine	24.0	0.0	16.0	-0.0	8.0	8.0494551315e-08	0.266692121205	55.7931033917	78.0394389849	-84.2356855614	162.275124546	-0.926441548671	-1.07303193929	25	1.34501510978	0.0	0.000999000999001	0.000999000999001	0.0174152313613
amped_928	cosine	24.0	0.0	0.0	-0.0	16.0	-0.0	7.94363177716	26.096658266	39.0396701572	-29.2826218584	68.3222920156	-1.33320268745	-1.30481468936	25	1.34501510978	0.0	0.000999000999001	0.000999000999001	0.0174152313613
sin_282	cosine	24.0	0.0	0.0	-0.0	8.0	8.0494551315e-08	17.9756095804	41.6948573573	61.0278944234	-51.7928393959	112.820733819	-1.17830756404	-1.57992061307	25	1.34501510978	0.0	0.000999000999001	0.000999000999001	0.0174152313613
amped_699	cosine	24.0	0.0	16.0	-0.0	8.0	8.0494551315e-08	0.187815507692	26.6446768927	40.5965487296	-34.3657665114	74.9623152409	-1.18130782027	-0.902217906491	25	1.34501510978	0.0	0.000999000999001	0.000999000999001	0.0174152313613
amped_696	cosine	24.0	0.0	8.0	8.0494551315e-08	16.0	-0.0	-101.981417614	1009.72142223	1204.2782447	-1692.45160808	2896.72985277	-0.711558451035	-0.749872471341	25	1.34501510978	0.0	0.000999000999001	0.000999000999001	0.0174152313613
sin_885	cosine	24.0	0.0	8.0	8.0494551315e-08	0.0	-0.0	-2.7339723037	30.962983207	53.6759947988	-40.1179745503	93.7939693491	-1.33795375765	-0.700731758281	25	1.34501510978	0.0	0.000999000999001	0.000999000999001	0.0174152313613
saw_478	cosine	24.0	0.0	0.0	-0.0	16.0	-0.0	11.7727935104	13.655892727	31.853426627	-9.80127399411	41.6547006211	-3.24992716724	-9.66937166951	25	1.34501510978	0.0	0.000999000999001	0.000999000999001	0.0174152313613
lTrend_564	cosine	24.0	0.0	0.0	-0.0	16.0	-0.0	-23.5949626837	156.892274561	184.67442945	-221.302804611	405.977234062	-0.834487523891	-0.852471362608	25	1.34501510978	0.0	0.000999000999001	0.000999000999001	0.0174152313613
lTrend_201	cosine	24.0	0.0	16.0	-0.0	0.0	-0.0	-214.723234398	542.315581491	525.161463613	-930.782615181	1455.94407879	-0.564214946699	-0.507605266812	25	1.34501510978	0.0	0.000999000999001	0.000999000999001	0.0174152313613
sin_861	cosine	24.0	0.0	8.0	8.0494551315e-08	0.0	-0.0	-2.05043552694	55.6792847758	88.7603098092	-68.1281063275	156.888416137	-1.30284422383	-0.860662763959	25	1.34501510978	0.0	0.000999000999001	0.000999000999001	0.0174152313613
amped_599	cosine	24.0	0.0	16.0	-0.0	0.0	-0.0	-18.3585196934	120.732362531	128.6187383	-181.203567089	309.822305389	-0.709802463421	-0.688579920187	25	1.34501510978	0.0	0.000999000999001	0.000999000999001	0.0174152313613
peak_329	cosine	24.0	0.0	16.0	-0.0	0.0	-0.0	-218.651646651	111.268637092	-8.2033110021	-342.640417021	334.437106018	0.023941457559	0.333584100157	25	1.34501510978	0.0	0.000999000999001	0.000999000999001	0.0174152313613
peak_853	cosine	24.0	0.0	16.0	-0.0	8.0	8.0494551315e-08	-147.71916661	22.7782729137	-116.335236898	-180.481652378	64.1464154798	0.644582068954	0.6869154451	25	1.34501510978	0.0	0.000999000999001	0.000999000999001	0.0174152313613
amped_880	cosine	24.0	0.0	0.0	-0.0	16.0	-0.0	0.493703628627	19.8805784661	27.3709312483	-37.9343997756	65.3053310239	-0.721533262955	-1.29304237916	25	1.34501510978	0.0	0.000999000999001	0.000999000999001	0.0174152313613
sin_743	cosine	24.0	0.0	16.0	-0.0	0.0	-0.0	145.618419589	923.785865646	1444.71871617	-897.006497282	2341.72521345	-1.61060005758	-1.6069025176	25	1.34501510978	0.0	0.000999000999001	0.000999000999001	0.0174152313613
sin_741	cosine	24.0	0.0	8.0	8.0494551315e-08	0.0	-0.0	-6.21655649392	34.7456648524	34.9338316212	-55.8117362205	90.7455678417	-0.625922681983	-0.765780217547	25	1.34501510978	0.0	0.000999000999001	0.000999000999001	0.0174152313613
sin_747	cosine	24.0	0.0	16.0	-0.0	0.0	-0.0	-100.695574835	1312.48491936	1555.70232741	-2029.31832254	3585.02064994	-0.766613256349	-0.720971935371	25	1.34501510978	0.0	0.000999000999001	0.000999000999001	0.0174152313613
lTrend_770	cosine	24.0	0.0	16.0	-0.0	0.0	-0.0	18.5246851569	145.122834918	169.922538059	-234.706209333	404.628747392	-0.723979729986	-1.68372271563	25	1.34501510978	0.0	0.000999000999001	0.000999000999001	0.0174152313613
