ID	Waveform	PeriodMean	PeriodStdDev	PhaseMean	PhaseStdDev	NadirMean	NadirStdDev	Mean	Std_Dev	Max	Min	Max_Amp	FC	IQR_FC	NumBoots	TauMean	TauStdDev	empP	GammaP	GammaBH
saw_845	cosine	24.0	0.0	6.0	-0.0	2.0	5.69182430834e-08	42.6285834934	27.024138836	88.0755857302	0.0	88.0755857302	-10000.0	3.5	25	2.0792224801	0.129421142066	0.000999000999001	7.15336029453e-06	0.000401230518772
saw_305	cosine	24.0	0.0	2.0	5.69182430834e-08	6.0	-0.0	12.922256562	7.68395797782	25.043132872	0.0	25.043132872	-10000.0	2.66666666667	25	2.07387582045	0.125493843254	0.000999000999001	7.39976752512e-06	0.000401230518772
saw_937	cosine	24.0	0.0	16.0	-0.0	12.0	-0.0	9.97989237385	5.88683885352	19.8013737576	0.0	19.8013737576	-10000.0	2.33333333333	25	2.06344197283	0.119429273321	0.000999000999001	7.90534814454e-06	0.000401230518772
saw_134	cosine	24.0	0.0	0.0	-0.0	20.0	-0.0	13.2106967216	7.9368338299	25.4051860031	0.0	25.4051860031	-10000.0	2.66666666667	25	2.05829280185	0.115555022075	0.000999000999001	8.16744925452e-06	0.000401230518772
saw_252	cosine	24.0	0.0	8.0	8.0494551315e-08	4.0	-0.0	10.8440631963	6.72013997667	22.2214409761	0.0	22.2214409761	-10000.0	3.5	25	2.0558906901	0.123724459083	0.000999000999001	8.29267742929e-06	0.000401230518772
saw_783	cosine	24.0	0.0	18.0	-0.0	22.0	-0.0	19.1926457973	12.1670644941	39.6542268539	0.0	39.6542268539	-10000.0	3.5	25	2.05362875178	0.112912693448	0.000999000999001	8.41235370272e-06	0.000401230518772
saw_702	cosine	24.0	0.0	10.0	5.69182430834e-08	6.0	-0.0	4.93054633181	2.9986707653	10.0214356338	0.0	10.0214356338	-10000.0	2.33333333333	25	2.0519092496	0.12371436301	0.000999000999001	8.50448517061e-06	0.000401230518772
saw_531	cosine	24.0	0.0	8.0	8.0494551315e-08	4.0	-0.0	40.4808570246	25.0862633919	82.9525758701	0.0	82.9525758701	-10000.0	3.5	25	2.050872357	0.135942299753	0.000999000999001	8.56052944244e-06	0.000401230518772
saw_466	cosine	24.0	0.0	4.0	-0.0	8.0	8.0494551315e-08	103.346470198	61.042426407	201.848574605	0.0	201.848574605	-10000.0	2.66666666667	25	2.05018974742	0.133623716131	0.000999000999001	8.59762619681e-06	0.000401230518772
saw_451	cosine	24.0	0.0	18.0	-0.0	14.0	-0.0	147.987480232	87.1686073457	291.313937464	0.0	291.313937464	-10000.0	2.33333333333	25	2.0491575226	0.129212946842	0.000999000999001	8.65402869957e-06	0.000401230518772
saw_689	cosine	24.0	0.0	8.0	8.0494551315e-08	12.0	-0.0	14.1621502418	8.35382719268	28.099504448	0.0	28.099504448	-10000.0	2.33333333333	25	2.04847491302	0.126762112469	0.000999000999001	8.69153084687e-06	0.000401230518772
saw_882	cosine	24.0	0.0	16.0	-0.0	12.0	-0.0	7.79270863105	4.59668483636	15.4617234743	0.0	15.4617234743	-10000.0	2.33333333333	25	2.04799445989	0.106644751196	0.000999000999001	8.7180241026e-06	0.000401230518772
saw_141	cosine	24.0	0.0	6.0	-0.0	10.0	5.69182430834e-08	48.0429331717	28.2985801962	94.5727030939	0.0	94.5727030939	-10000.0	2.33333333333	25	2.04449347252	0.126519105462	0.000999000999001	8.9135315329e-06	0.000401230518772
saw_148	cosine	24.0	0.0	18.0	-0.0	22.0	-0.0	44.9075103674	28.4688510735	92.7841123293	0.0	92.7841123293	-10000.0	3.5	25	2.04429131608	0.141678912922	0.000999000999001	8.92495368944e-06	0.000401230518772
saw_273	cosine	24.0	0.0	2.0	5.69182430834e-08	6.0	-0.0	47.6400268703	28.3281764898	92.3256334696	0.0	92.3256334696	-10000.0	2.66666666667	25	2.04319023638	0.123175358331	0.000999000999001	8.98742402026e-06	0.000401230518772
saw_652	cosine	24.0	0.0	4.0	-0.0	0.0	-0.0	21.4287010076	13.9469587583	44.6431270992	0.0	44.6431270992	-10000.0	3.5	25	2.04319023638	0.123175358331	0.000999000999001	8.98742402026e-06	0.000401230518772
saw_282	cosine	24.0	0.0	0.0	-0.0	20.0	-0.0	51.6034457683	31.0027535067	99.2373957083	0.0	99.2373957083	-10000.0	2.66666666667	25	2.04209136077	0.133774316044	0.000999000999001	9.05020548377e-06	0.000401230518772
saw_420	cosine	24.0	0.0	12.0	-0.0	8.0	8.0494551315e-08	11.0905110931	6.64747496403	22.3599013974	0.0	22.3599013974	-10000.0	2.33333333333	25	2.04161090764	0.114864717986	0.000999000999001	9.0777926376e-06	0.000401230518772
saw_196	cosine	24.0	0.0	16.0	-0.0	20.0	-0.0	412.101846962	255.382327278	844.470997873	0.0	844.470997873	-10000.0	3.5	25	2.04161090764	0.114864717986	0.000999000999001	9.0777926376e-06	0.000401230518772
