ID	Waveform	PeriodMean	PeriodStdDev	PhaseMean	PhaseStdDev	NadirMean	NadirStdDev	Mean	Std_Dev	Max	Min	Max_Amp	FC	IQR_FC	NumBoots	TauMean	TauStdDev	empP	GammaP	GammaBH
amped_69	cosine	24.0	0.0	12.0	-0.0	0.0	-0.0	4.90152780262	84.7392819409	152.826661791	-109.981883454	262.808545245	-1.38956214416	-0.673722145951	25	1.45596037799	0.0467722608804	0.000999000999001	2.50317852928e-07	0.00270244507383
saw_633	cosine	24.0	0.0	6.0	-0.0	0.0	-0.0	26.1523230184	40.3378980436	93.0559028507	-42.4911908547	135.547093705	-2.19000458634	-4.00309701714	25	1.38249953039	0.123798230668	0.000999000999001	9.55623984509e-07	0.00270244507383
sin_878	cosine	24.0	0.0	6.0	-0.0	18.1590629354	1.07976752783	-27.5847678303	353.886003293	552.722947097	-523.987373225	1076.71032032	-1.05484020292	-0.695172223345	25	1.36570093337	0.136574267196	0.000999000999001	1.29492674418e-06	0.00270244507383
sin_816	cosine	24.0	0.0	18.0	-0.0	6.0	-0.0	19.8198952834	62.359571103	122.036565343	-92.9124067291	214.948972072	-1.3134582306	-3.18331110522	25	1.36340483485	0.127863030452	0.000999000999001	1.34973593311e-06	0.00270244507383
amped_805	cosine	24.0	0.0	6.0	-0.0	18.0	-0.0	-4.09728718651	35.1733745821	58.7282531614	-50.2484963923	108.976749554	-1.16875642811	-0.545620509629	25	1.36282116014	0.141037131974	0.000999000999001	1.36403056131e-06	0.00270244507383
amped_51	cosine	24.0	0.0	12.0	-0.0	0.0	-0.0	3.07150262769	28.9652155079	55.5721572642	-39.5194191328	95.091576397	-1.40619873682	-1.29732367293	25	1.34152344912	0.117229433799	0.000999000999001	2.00176399787e-06	0.00270244507383
saw_243	cosine	24.0	0.0	6.0	-0.0	12.0	-0.0	187.910849156	195.025667234	532.76861384	-133.285517028	666.054130867	-3.99719808814	15.2869809843	25	1.33744225087	0.153983702215	0.000999000999001	2.15404437488e-06	0.00270244507383
amped_750	cosine	24.0	0.0	11.6686839515	1.52420762018	18.0	-0.0	-0.868307597367	41.2947957307	63.0881168248	-80.6007762193	143.688893044	-0.782723439948	-1.40877600366	25	1.33168909541	0.167923768529	0.000999000999001	2.3883396958e-06	0.00270244507383
amped_452	cosine	24.0	0.0	12.0	-0.0	6.0	-0.0	7.85612251098	92.0395668745	177.075538716	-160.744986279	337.820524995	-1.10159291941	-1.09004595238	25	1.33032155559	0.130237360594	0.000999000999001	2.44763820245e-06	0.00270244507383
lTrend_593	cosine	24.0	0.0	18.0	-0.0	6.0	-0.0	6.28640976628	63.5401072828	111.009347973	-84.8223606472	195.83170862	-1.30872740544	-2.1820322825	25	1.32945877402	0.144560644389	0.000999000999001	2.4857959434e-06	0.00270244507383
lTrend_626	cosine	24.0	0.0	6.0	-0.0	18.0	-0.0	43.4158243424	65.3961035882	154.539385039	-49.5615091251	204.100894164	-3.11813315951	-2.75849714181	25	1.32471112532	0.144561937319	0.000999000999001	2.70652867558e-06	0.00270244507383
saw_571	cosine	24.0	0.0	0.0	-0.0	6.0	-0.0	61.4262020448	88.5280193517	203.431869144	-128.508725261	331.940594405	-1.58301989792	-16.3895489111	25	1.31212388666	0.1880431422	0.000999000999001	3.3899307427e-06	0.00270244507383
damp_727	cosine	24.0	0.0	11.8409370646	1.07976752783	18.0	-0.0	-11.8735728379	51.6257586472	66.9901625833	-76.3917119136	143.381874497	-0.876929720584	-0.71180801897	25	1.31117968979	0.143458020592	0.000999000999001	3.44758384934e-06	0.00270244507383
saw_940	cosine	24.0	0.0	12.0	-0.0	18.0	-0.0	116.328650835	141.620203528	445.21167398	-114.668962749	559.880636729	-3.88258220277	10.4220683637	25	1.30789025572	0.175720169357	0.000999000999001	3.65610732984e-06	0.00270244507383
sin_151	cosine	24.0	0.0	12.0	-0.0	0.0	-0.0	-17.3588247234	50.6378551756	75.9423781874	-118.892684665	194.835062852	-0.638747273658	-0.0906380086211	25	1.30744684715	0.173463791545	0.000999000999001	3.6851523734e-06	0.00270244507383
saw_538	cosine	24.0	0.0	0.0	-0.0	18.0	-0.0	35.1451628862	44.6210698984	106.241542447	-48.2255684393	154.467110886	-2.2030127562	7.14809017225	25	1.29921528587	0.163331330924	0.000999000999001	4.26767868486e-06	0.00289639315534
